,Mean,Standard Deviation
AOI4 Saccade Length,125.61821966060714,73.07330044584785
AOI4 Absolute Saccade Angles,-58.667312445258055,116.60704556364703
AOI4 Relative Saccade Angles,88.28609754619269,35.24563987000488
