,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151
NOT_AOI Saccade Lengths,200.9572303588963,145.0514303676497,163.97067373500207,149.66931638829715,123.64720259321723,186.54186822835456,59.3327819942285,209.23205886217488,152.11837024817407,148.92234798393483,121.00964854706544,59.77930113395801,97.27910671994252,53.840256717029014,73.89331462131291,169.91180520891868,78.04026484188746,61.2517502536306,27.73496009705157,35.67964503482087,18.589832931992063,22.611111827863486,22.00289183224606,20.69792964577954,60.25882808140407,95.6288906834771,35.920315167804226,28.749476258300618,22.32000823625105,26.28440108317612,46.840789126938915,27.490730177466553,262.0529750633243,126.31402538043979,54.62565287071623,89.23341747479357,15.084455630397345,33.14739615757014,28.877578174570782,140.08931632181665,51.33738057060011,43.34874227127355,21.213242622152027,17.04452325109559,13.566639420639016,10.758691898401567,18.790144595543453,11.173852532033262,8.81055572560512,23.28996342530114,86.98766693011223,61.92077946022566,77.97442982761201,121.81847069425037,83.73160027901068,44.197368577810835,39.98847249157999,91.28058333745103,274.9009091439092,136.6351628305439,155.64426278860833,134.64783656909825,611.87502009412,102.54449341800668,15.089867321065139,143.52411839591488,23.130309058086226,320.3130280979008,230.73566133324198,166.8700863690815,152.5031838259339,135.92734178440722,313.43082548424223,275.8017387855282,499.9600904468179,112.9451426048097,123.2976699917433,68.06471097499426,125.7687835396496,129.4126885267068,94.66412850593206,87.3596119200781,18.212301364850756,56.72247464510944,111.33616147393654,58.16803696398552,56.53840746775979,49.94103102645005,43.878076144434864,36.97151675170893,237.02845391989698,127.05139994800336,702.766872284862,30.215852484932444,31.33087214134782,134.7616303093294,61.021439967942435,8.396290930123296,122.3257374954628,113.29374496801128,110.69754302270664,51.29440498101189,67.99099987126519,54.665444207649976,64.71238740756361,59.78526605555909,80.94230041719076,32.60257626031406,27.65852214181885,121.15907809858369,12.73820398233366,39.03194091706284,44.500682411058115,37.8504459442533,28.632240728294178,20.790061133848067,14.318305662838862,129.4794321095668,360.0542294991856,177.26301331136494,32.88257698823939,131.2840648260973,132.22477547736398,108.96116984282978,88.97826328305234,70.7107271855928,54.43468136716594,337.5519578412886,556.8290537130406,299.40569563450066,172.985119085987,65.73178837881032,16.33419802802867,251.94797200154176,161.65677492017525,195.70629560564967,114.55481249997675,49.01618157261601,25.098479635637908,17.250966309210224,73.53941108496402,281.06603777859414,69.27332430628678,94.45132951620874,91.51545833204679,73.64892868518781,41.84632193526215,31.447149922487863,75.7350019003651,70.13069938503364,61.81899775293714,56.803476319863215
NOT_AOI Absolute Saccade Angles,89.2797848816753,81.63593730820709,97.730649222242,91.80139191171264,92.01109758085211,92.39578703298525,142.100915355575,-83.59988310860828,-74.84644017971007,-83.18442725152535,-107.14900048714762,-127.25860578142903,-121.27506770631723,-126.53640086653459,-49.87057080861534,-53.50694215108584,-62.44988658238182,-61.29097651981618,104.68203661290833,132.54861494022512,-156.52324794398382,113.70261006956157,111.82928053053988,110.3185067290513,120.99610702034009,120.18674901936281,119.28156410037356,118.60814898240773,117.80803829279382,3.3882526203141716,45.699779515469785,23.826177360086707,102.85147330018353,-69.29755174298657,-70.94566726824632,-72.35377202262599,-112.81519213876584,-98.16840124007545,-91.64820492267363,-85.94617262694099,-86.1810134215009,76.81783748762041,-16.399584615142995,-9.078024631046823,-0.61837805388652,9.289541148482915,125.17348470925903,-99.57712954372596,-104.9550757692484,166.45927280459733,118.66292970931802,117.66349520530176,137.1955939383715,126.30966923578625,115.02269306708763,46.89872921517631,94.49527412499735,90.24510737774659,-90.9957569990921,-32.67822708603464,-86.9874430169865,-84.03568590717725,101.44604233527019,103.00893373949732,108.39470311123408,98.78656512123787,-101.69339820041802,-95.07037241359687,-94.83758712126507,-97.43153773629858,-86.45546905930205,-84.0078280088334,80.3826035177566,80.52952053340029,79.27340485271071,79.40338054170266,82.39937666237095,-57.80568099777132,143.15598099772632,138.5264333268859,132.1453840770872,128.69918857832081,3.207226984936301,50.74860887595748,-70.67370079300679,-69.63987957127249,-62.03683524551871,-63.170059678281135,-60.124178542819855,-61.18380869652758,-82.12259287353902,-84.96484588183863,-97.22269755667095,-166.62234417916028,143.63854726626576,91.58969729823205,100.97877780613887,52.52276595883038,98.74226460868604,96.76732844692393,93.02118715552952,46.31437550102483,65.89131340550665,64.06752246915877,67.54151231237722,-52.12358282231476,85.08758939870566,87.39862863167714,113.23364208684065,97.46750113487664,77.87738140382834,110.27742244767462,100.99377720713937,117.1994443525774,120.33608785946598,124.55376222773053,130.78707324658322,-82.03437692955377,-80.36743733362975,82.86263083420643,27.873678325625335,84.40720471321428,88.44769495942798,88.11787795451207,88.78947949166026,89.55352348869917,90.4755635431595,-82.67148847836289,-84.82288811471238,83.69143199321745,99.13587328168803,100.51380731165033,143.99820435660757,-115.01294827201434,-101.15035168593704,-80.86611547657918,-81.50692439507685,-74.75790402450768,-71.4774328986127,-103.50008581771617,-101.69729625296512,109.00142781046657,121.01121850005741,121.15595580733061,118.7409991612782,118.28309822307409,123.97823208019292,120.16698212652507,8.732695932272055,-15.843366953930879,-19.008413546072404,-0.4410399708310167
NOT_AOI Relative Saccade Angles,172.35615242653182,163.90528808596514,174.07074268947068,179.79029433086055,179.6153105478668,130.29487167741024,45.7007984641833,171.2465570711018,171.6620129281847,156.03542676437775,159.89039470571856,174.0164619248882,174.7386668397826,103.33416994208075,176.3636286575295,171.057055568704,178.84108993743433,14.026986867275504,152.1334216726832,109.07186288420893,90.22585801354538,178.12667046097835,178.4892261985114,169.32239970871117,179.19064199902272,179.09481508101075,179.32658488203415,179.1998893103861,65.58021432752034,137.68847310484438,158.12639784461692,100.97470405990317,7.850974956829894,178.35188447474027,178.59189524562032,139.53857988386014,165.35320910130963,173.47980368259815,174.29796770426736,179.7651592054401,17.0011490908787,86.78257789723659,172.67844001590385,171.5403534228397,170.09208079763056,64.1160564392239,44.750614252984995,174.6220537744776,91.41434857384569,132.20365690472067,179.00056549598375,160.46790126693026,169.11407529741473,168.71302383130137,111.8760361480887,132.40345509017897,175.74983325274926,1.2408643768386765,121.68247008694256,125.69078406904812,177.04824289019075,5.481728242447453,178.43710859577288,174.61423062826324,170.39186201000376,20.479963321655873,173.37697421317884,179.7672147076682,177.40604938496648,169.02393132300347,177.55235894953137,15.609568473409999,179.85308298435632,178.74388431931044,179.87002431100805,177.0040038793317,39.79494233985772,20.961661995497632,175.37045232915955,173.6189507502013,176.55380450123363,54.508038406615476,132.4586181089788,58.57769033103574,178.96617877826571,172.3969556742462,178.8667755672376,176.95411886453874,178.94036984629224,159.06121582298854,177.15774699170038,167.7421483251677,110.60035337751067,130.26089144542604,127.95115003196628,170.6109194920932,131.54398815269153,133.78050135014433,178.02506383823788,176.2538587086056,133.2931883454953,160.4230620955182,178.17620906365212,176.52601015678158,60.33490486530802,42.788827778979574,177.68896076702853,154.1649865448365,164.23385904803598,160.4098802689517,147.59995895615373,170.71635475946476,163.79433285456196,176.8633564931114,175.78232563173546,173.7666889811473,32.82145017613698,178.33306040407598,16.76993183216382,125.0110474914189,123.46647361241105,175.9595097537863,179.6701829950841,179.3283984628518,179.2359560029611,179.07795994553967,6.852947978477629,177.8486003636505,11.48567989207017,164.55555871152941,178.62206597003777,136.51560295504274,79.01115262862189,166.13740341392273,159.71576379064217,179.35919108150233,173.25097962943084,176.719528874105,147.97734708089655,178.19721043524893,30.698724063431676,167.99020931040914,179.8552626927268,177.58504335394758,179.5420990617959,174.30486614288114,176.1887500463321,68.565713805747,155.42393711379705,176.83495340785848,161.4326264247586,
