,Mean,Standard Deviation
AOI6 Saccade Length,91.18069726001396,53.174750042858
AOI6 Absolute Saccade Angles,-43.16329663604369,134.20924554716308
AOI6 Relative Saccade Angles,84.93976401324424,47.88634899444176
