Time,X Coordinate,Y Coordinate
29278.19999998808,299.6793896563212,811.0979932612248
29294.80000001192,242.19669690918326,906.8429834160039
29310.19999998808,145.13981258836475,990.2708391419098
30382.5,139.68523756277708,860.1889172520687
30398.80000001192,174.33300888928514,873.2267675618675
30413.100000023842,186.55510556861853,979.7156857051414
30427.899999976158,189.07454964990436,987.6586464780673
30441.80000001192,192.992563095988,988.9387958398559
30456.19999998808,187.58048794146507,973.209814388699
30470.899999976158,184.1563882067619,955.763119613397
30484.399999976158,164.0148144975096,1035.3637195110405
30502.19999998808,147.8759722164602,1100.6161747575666
30517.69999998808,135.33187548275728,1152.6896072927948
30532.0,125.67712119759155,1198.2040055621017
30545.69999998808,118.76023452956153,1232.6302946401022
30559.30000001192,114.13878181525746,1257.5061001983815
30573.80000001192,129.45427586268661,1178.8149712630545
30588.0,143.557256509454,1107.8459184706053
30602.80000001192,156.20612358356215,1045.390604661483
30615.80000001192,167.28014132127686,991.696066392698
30629.600000023842,148.2244065137246,917.022376770514
30643.100000023842,131.88807221897068,854.9164277462974
30657.69999998808,126.32038156220585,884.6386651629126
30839.19999998808,368.8467191000656,-169.7456295229947
30854.399999976158,575.4883174791547,-1063.9088421041533
30869.899999976158,747.4472834312153,-1804.3464712076334
31915.0,643.0566300854928,-1877.970253794537
31933.0,533.2096988544215,-1874.0578286390678
31949.5,416.289481550679,-1508.2516128034
31968.0,373.779235504619,-1162.331308434268
31983.100000023842,368.39692026763544,-939.7617777021285
31998.0,364.2094018084876,-740.4578599869204
32012.5,353.2181415333855,-598.6834719654444
32028.19999998808,344.30227411862984,-477.46103703214965
32042.69999998808,337.2719791809275,-376.2160048465345
32057.30000001192,299.1965791102689,-188.2566692743887
32071.899999976158,267.47210139063105,-33.23145773885987
32085.80000001192,241.69368589439406,91.33520779630379
32100.69999998808,221.3267733089455,188.47815237637315
32116.0,161.79219273480783,302.8775782132179
32130.5,186.8192263437703,261.6228445187338
32145.5,210.6536770277649,216.35767714435246
32160.0,233.9716707387446,134.3309206541189
32174.69999998808,209.5950672583548,135.56729584421876
32189.80000001192,189.39505240146622,132.93023560445317
32204.5,173.0790947417077,127.53803573519173
32534.19999998808,211.05222050632943,152.5178535494692
32548.899999976158,222.7911649682833,131.04543276876802
32564.30000001192,233.13059056653523,110.55402125996676
32578.399999976158,273.1724514780756,105.99395927249813
32592.899999976158,342.1980993650501,137.5411724210094
32608.19999998808,395.676160673925,106.56779069435898
33526.80000001192,411.850647221558,-157.51971371413248
33542.5,352.2357607298682,-303.69064374128163
33556.69999998808,309.6866328504743,-346.9161327746655
33571.60000002384,258.92955972833573,-435.0400542721537
33585.89999997616,218.8140096563636,-523.8097359419938
33601.69999998808,275.2517799284394,-555.4540607975476
33616.5,323.7723523484329,-518.3730390586252
33632.89999997616,365.19111850527156,-480.43987152468435
33647.39999997616,400.51042788553184,-500.4373693185062
33662.60000002384,429.2605709446394,-513.9946609348951
33676.39999997616,452.0214105901919,-522.2599991316048
33689.69999998808,469.4584198466141,-526.2908458736656
33704.0,482.27390056175005,-527.0357240276657
33718.39999997616,491.169509822356,-525.3251365586467
33734.19999998808,483.4705705486772,-585.9925213930187
33749.0,504.72729180185354,-611.8157988983129
33765.10000002384,521.4222064058422,-631.3237078030791
34230.30000001192,329.9409511874924,-756.368002151687
34245.89999997616,162.9731948532904,-879.5713459168613
34261.10000002384,25.55877820637565,-960.7299606408749
34276.5,-86.81194119896577,-1024.0663811756156
34292.19999998808,-176.2399442618446,-1071.7349188201993
34307.5,-245.1856240896412,-1105.9470137876713
35243.10000002384,-165.6757039027277,-776.0613751908106
35260.89999997616,-121.42440768722051,-514.6921021183604
35282.30000001192,-66.18757600017776,-258.3570910927135
35300.39999997616,-15.690103119113815,-45.436528813169105
35318.30000001192,29.307047395305137,126.99355988175677
35340.39999997616,20.825857143737522,207.7340821577048
35362.80000001192,-4.962455786181675,315.2588446538055
35382.19999998808,-12.080786000541869,309.66514834635586
35401.69999998808,-17.570658591100777,293.18316653697855
35417.39999997616,-21.64070248717416,269.31588615268043
35433.60000002384,-24.501215338466118,240.9421731802699
35448.30000001192,-26.355391986753137,210.36602280228806
35464.0,-27.3931301859655,179.37570346972524
35481.10000002384,-27.786984536045225,149.30786133450007
35507.10000002384,-10.677647172105669,199.8924090622136
35523.39999997616,-12.772542789080083,162.385935759429
35540.19999998808,-14.526329939080977,128.18074930183982
0.10000002384185791,154.68687119720045,604.4708952261421
336.60000002384186,165.12874773465288,552.6076626531595
347.30000001192093,171.2076428609326,499.98672195203926
357.0,173.82453784281898,448.89192446307277
366.89999997615814,173.78181364320878,400.94889119090215
378.39999997615814,171.77725626106798,357.2328604475797
387.89999997615814,168.4037764712188,318.37012237106603
1868.8999999761581,189.5408255937862,275.20854624473
1894.800000011921,180.74338662588943,94.10623751029357
