,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187
Page Saccade Lengths,23.796445185064442,16.18112768226495,11.318335166244735,44.12015157743064,86.28178857956628,89.08092770768633,9.509748266692712,15.046172117320578,112.82934655330062,42.6804261357701,55.1058787426128,91.91866793273213,141.21485332420283,61.020268975348394,57.592461739875795,70.05196650245757,154.4324311824309,184.46587799122526,25.257288088288572,44.540689925115934,158.41077944981868,145.24650995190015,106.32266622179414,97.40345338395059,48.835108890288105,210.68153474385304,274.62026198153757,112.42024121936495,36.79245433949683,88.82165229644175,73.90994146189604,66.88626791953277,120.09720969365365,114.3406254216295,174.72384507378416,91.16713169859032,61.12781725386536,160.73626032429942,160.30057327600355,24.712528638071554,49.60191863065206,9.974095640120806,32.25407128981561,170.73623072348065,25.422772113607436,86.24445350526331,29.244803165562622,180.54269248437362,177.66565298466074,128.7749901181025,39.51259545134879,167.56095732764592,88.9743434323353,182.5990857196025,279.0170256911261,104.6181024427734,83.61677295072823,195.10068586552381,19.570773240488165,238.08430487654599,117.9913040960698,146.67735470936395,67.35738177787144,102.50036113685466,132.36807790320583,25.612330073409414,103.10115441405323,120.51028201794337,109.88063480666028,93.2184079724603,31.77443033171125,106.68715247367103,195.11501258881054,19.095471599976193,141.15394213536638,117.23000530824761,99.2247505248399,174.62638951865566,142.26762643957483,70.89199879660157,108.6188683626621,80.5047262290097,91.99037381144912,205.7210778978477,87.40780813648578,102.75017540046339,162.80880740705553,174.75180829633828,73.6733562949951,93.83457840868631,81.39576413175686,124.0058398694378,54.886697901453594,136.38167162438512,77.0157647684354,93.50956752627694,53.342579364392186,123.09043130523507,83.51707653921892,48.342142605745835,141.12580813443398,159.58008947183097,54.28410386260492,165.8401171453429,51.111790921785726,38.724324920945705,84.95109732148653,191.67768722490558,97.7006590644419,8.111738587906524,189.0905344867757,76.88297955087909,95.20307727648867,61.73235448219297,131.86077367976955,93.27423054828759,122.10220692373152,223.1588712676595,71.67389595161227,95.57798691265558,83.4310117870642,66.36148833155131,125.90814551189064,30.428727102238508,53.33466930994939,56.39079861372902,110.09906606313875,107.64247863865567,139.5855766188479,39.79565502775158,77.52685363479033,186.161650038605,36.95965990521966,46.76916005345378,44.19370188236311,121.69144888240298,88.10740713209857,60.06548404496933,89.2069131811088,107.92204141309493,112.61775249031416,112.73528772216858,40.29699005840271,121.70841163846191,140.1089061127103,81.415231036906,72.08986725984344,46.65043132708952,94.96004628744777,149.151054101714,133.43100915052847,63.590135071406934,82.78268740109263,89.83033044427641,162.48794434454453,13.992615345132466,57.30876464154036,120.1407511467983,19.294422685726843,41.67455719358373,117.70390349280603,36.77069592615495,47.46383218778247,20.845160854481747,96.6144512982122,203.2043527202913,83.59888528657558,133.06148252850622,26.42334476270503,74.63291629904887,58.97743137643461,128.4430892703997,204.0060116277412,131.31718165791585,220.28432563510142,118.7130346460229,21.017464565237677,360.02972986607114,61.06116847662791,116.69805317956649,49.58202224309733,33.686293351468386,22.033602340181503,70.36813261521351,20.46186825859111,77.92935409740477,55.9945589789332,70.65013157083524
Page Absolute Saccade Angles,12.06006689017343,35.544434538725085,10.62138954178492,-139.34107697799666,-66.13447506068319,-155.33192184952338,56.44526687558059,153.0230675813828,-80.48183913914288,-63.614599198690605,-156.92741320678672,18.357313375160565,-167.17637960986772,-32.27283107326365,63.61964493662274,121.26956061059214,34.011159463165974,170.60825580059887,-128.42435928594244,45.17157283523564,-37.60822796282268,9.050057666022816,-75.79822026640801,-57.70455681630003,4.718412301307298,4.213322442776048,169.65758926686132,52.30911282285335,174.02184818993393,128.17570671753515,19.335233057914518,-62.57600395502588,172.6947936397147,177.13777583104633,87.99678017418044,161.2532536137099,17.220421880801577,-156.0801295546725,-15.876627380856839,177.05317202192364,127.54383011241922,-168.240001336619,170.31796561238073,-113.50679147885907,-143.24309820716866,-23.30028838512299,-128.19452131312616,-145.82167135053277,39.52035537167493,-27.359152444181603,171.97400398410022,-154.89688043797918,49.91553512820254,57.09943006673547,-167.03139643880039,86.41396616446507,-142.49818370768725,85.9037035911612,-34.684806371414574,26.872705245597338,48.75552951669123,114.11004797551897,-151.99300396418437,-139.3840231691687,-146.39388753116756,-174.8531437131542,-114.09415032897913,-31.088573003853234,-162.20298582544348,160.74343243607973,-142.2823732373787,47.1219016832,30.507272723110507,107.74895208051005,-38.859234269624714,-58.80153911846651,38.244791658354345,-8.841526211496943,-46.012661723674256,-14.497969830381736,149.7248736456616,55.84353955403315,-41.69926978398946,-133.9570201416049,-107.82403602564663,129.96313831727738,44.822416785741815,-175.27392374474175,26.318350846274633,177.65781104952026,-142.0671882303464,154.11468620675507,145.53253625583784,136.459902703624,61.8638546756269,-60.7060894234078,-146.98351270805142,-26.992936740164808,0.921268417613055,34.99455011848464,7.168683905162365,-2.494660323801598,11.873320432287883,-157.76493273900107,-170.73614990748624,150.45161324963226,-171.1103033293291,-137.74254625320046,109.81920566194705,38.794205127025776,150.93738182493553,-10.576658269503712,141.04239117185,-98.19980767689479,-179.458552610198,-142.6018552877393,-2.715665304410807,19.522582269904333,-13.321642998648954,16.18910037942886,-79.60540914571521,-170.88183149635069,-71.4583409754527,-46.57490273483416,-98.99143611204667,-108.96799123178229,21.17830887665075,55.26228932363411,-48.68390209168233,-18.994792605638345,58.082247259347724,-173.28106365228703,46.146066032500116,-126.39283356249265,158.07555109881415,81.75787888845083,-163.45154696277575,130.1728373734289,116.32727557414066,-73.97435903025675,-32.33872327479298,129.9234222356086,-106.00514654710209,169.78574893279233,172.22296941959004,-166.16658637976644,134.07356690475333,-174.21370873417132,19.542286627828567,2.7934841429674955,142.87861403518616,5.878912216334217,173.83034457928295,14.287132005579348,-177.6433497458489,153.95371725519803,116.0327970402383,-15.07855294746661,155.6867182860324,146.05290128117136,118.31088604063183,20.459839248582863,-24.63325417617153,103.95014455372379,131.58240623926255,-160.90203358444538,-87.84920951224991,44.9889520853169,-140.282957327758,-3.843686859562304,-3.7235587213336654,-166.68907803532898,15.403481519255475,-3.395453584085435,-1.601442528017938,-7.634475993465395,35.16811451503848,-178.54395507449624,14.71794331511999,158.9547044448547,-169.9311776223758,-172.89921159118344,151.74826079985553,-101.8984661406104,112.89295291586028,135.5004893311965,169.96420587707712,89.07991269294811
Page Relative Saccade Angles,156.51563235144837,155.07695500305985,30.03753348021844,106.79339808268652,90.80255321115982,31.777188725103958,83.42219929419781,53.50490672052567,163.13276005954773,86.6871859919039,4.715273418052731,5.53369298502827,45.096451463395944,84.10752399011362,122.35008432603063,92.74159885257386,43.402903662567134,119.0326150865413,6.40406787882191,97.22019920194167,133.3417143711545,95.15172206756917,161.90633654989202,117.57703088239269,179.49491014146878,14.555733175914723,62.65152355599203,58.287264632919445,134.15385852760124,71.15952634037939,98.08876298705961,55.27079759474059,175.55701780866843,90.85900434313417,106.74352656047058,35.9671682670917,6.699448564525946,39.79649782618436,12.929799402780468,130.4906580904956,115.78383144903817,158.55796694899968,103.82475709123979,150.2636932716904,60.05719017795434,75.10576707199685,162.37284996259334,5.342026722207706,113.12049218414347,19.33315642828182,146.87088442207934,24.81241556618169,172.81610506146708,44.13082650553584,73.44536260326542,48.912149872152284,48.40188729884843,59.41149003742422,118.4424883829881,158.1171757289061,114.64548154117226,86.10305193970333,167.39101920498436,172.9901356380011,151.54074381801337,119.2410066158249,96.99442267487413,48.88558717840978,142.94641826152318,123.02580567345844,9.404274920578697,163.38537103991052,102.75832064260044,33.39181364986522,160.0576951511582,82.95366922317915,132.91368213014871,142.8288644878227,148.4853081067075,15.777156523956641,86.11866590837153,82.45719066197738,87.74224964238459,153.86701588404176,57.78717434292404,94.85927846846441,40.09634053048356,21.59227459101638,28.66053979675437,139.72499927986667,116.18187443710147,171.41785004908277,170.92736644778614,105.40395197200286,57.43005590096529,93.7225767153564,60.0094240321134,152.08579484222216,145.92671829912842,152.17413378667774,170.33665577103605,165.63201924391052,10.361746828711071,167.0287828315148,141.18776315711844,141.56191657896133,146.6322429238713,67.56175191514748,108.97499946507871,67.85682330209025,18.48595990556076,28.380950558646312,59.24219884874475,98.74125506669678,143.1433026775413,40.1138100166715,157.76175242568488,147.15577473144674,150.48925662192218,84.2054904748559,88.72357764936453,80.576509479102,155.11656175938145,127.58346662278748,170.0234448802644,49.85369989156697,145.91601955301664,76.05380858468358,150.31089051395605,102.92296013501392,51.36331091163474,39.427129684787126,7.4611004050072465,104.46838466130677,103.68232778963669,65.20942585122656,113.62438433620464,166.15443820071172,10.301634604397389,138.36436424453623,17.737854489598416,55.92856878271067,95.79089547989442,177.5627795132023,158.3895557993565,120.24015328451975,128.28727563892463,13.755995361999876,163.25119751513895,39.91487010778135,43.000298181148075,12.048567637051299,20.456787426296433,11.930481751428248,151.59706700104695,142.07907978504025,48.8886500122951,9.234728766500982,170.36618299513896,152.25798475946047,82.14895320795104,134.9069065752456,51.41660127010469,152.36773831446123,112.48443982370787,106.94717592780455,47.16183840243319,5.271909413074896,43.56072953180432,179.87987186177136,17.0344806860047,2.092559554584443,161.20106489665906,178.2059889439325,173.96696653455254,137.19740949149613,33.71206958953473,13.261898389616235,35.76323887026529,148.8858820672305,177.03196603119233,144.64747239103897,73.64672694046588,34.791419056470644,157.3924635846638,145.53628345411937,99.11570681587096,
