,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
NOT_AOI Saccade Lengths,26.87210162364959,107.66079867425796,81.1513414766355,104.58241224207566,67.72334782304743,50.50840367875444,61.020268975348394,111.99009711993745,154.4324311824309,197.95906105199788,44.540689925115934,158.41077944981868,145.24650995190015,106.32266622179414,97.40345338395059,48.835108890288105,210.68153474385304,274.62026198153757,112.42024121936495,36.79245433949683,88.82165229644175,73.90994146189604,66.88626791953277,120.09720969365365,114.3406254216295,174.72384507378416,91.16713169859032,61.12781725386536,109.26591524995227,68.28563365458282,41.697557357437525,193.22317235316322,86.24445350526331,29.244803165562622,16.938486283092907,92.42094426938392,94.49015221245334,195.08082284253828,104.6181024427734,152.95317432043993,19.570773240488165,402.56194773363177,67.35738177787144,234.4362378582999,25.612330073409414,167.86472906837895,192.64623727760605,31.77443033171125,298.90863496885424,19.095471599976193,254.51478656379962,252.8557757947763,142.26762643957483,70.89199879660157,108.6188683626621,80.5047262290097,91.99037381144912,205.7210778978477,87.40780813648578,102.75017540046339,162.80880740705553,174.75180829633828,73.6733562949951,164.57408309436568,178.46601732989797,173.5262033165701,110.62175360796985,200.73480585980056,48.342142605745835,141.12580813443398,159.58008947183097,54.28410386260492,165.8401171453429,51.111790921785726,38.724324920945705,266.7492233825763,100.63103437366803,189.0905344867757,76.88297955087909,82.84493125844453,131.86077367976955,93.27423054828759,339.34005154255453,71.67389595161227,95.57798691265558,105.44152294613446,154.04505664445617,53.33466930994939,56.39079861372902,110.09906606313875,107.64247863865567,139.5855766188479,39.79565502775158,77.52685363479033,186.161650038605,36.95965990521966,46.76916005345378,44.19370188236311,121.69144888240298,88.10740713209857,60.06548404496933,25.703003177445087,34.74390244982492,40.29699005840271,121.70841163846191,140.1089061127103,81.415231036906,107.42765998875416,241.63719320428788,133.43100915052847,63.590135071406934,31.42620414351065,162.48794434454453,13.992615345132466,57.30876464154036,101.14380630369163,155.8005121845287,77.90431254659579,115.4874451262931,203.2043527202913,83.59888528657558,133.06148252850622,26.42334476270503,74.63291629904887,58.97743137643461,128.4430892703997,331.0339652662558,338.5698421571103,21.017464565237677,300.92315695162984,116.69805317956649,49.58202224309733,53.20698553414062,54.8218072078921,77.92935409740477,55.9945589789332,70.65013157083524
NOT_AOI Absolute Saccade Angles,25.32078926023271,-89.234025565756,-158.8699980728709,-87.12338632277284,-117.93893012581619,-177.28366554800144,-32.27283107326365,95.51943373301857,34.011159463165974,177.0132835845558,45.17157283523564,-37.60822796282268,9.050057666022816,-75.79822026640801,-57.70455681630003,4.718412301307298,4.213322442776048,169.65758926686132,52.30911282285335,174.02184818993393,128.17570671753515,19.335233057914518,-62.57600395502588,172.6947936397147,177.13777583104633,87.99678017418044,161.2532536137099,17.220421880801577,-86.19320076116243,143.51947777337358,175.33444335631813,-117.24862654678591,-23.30028838512299,-128.19452131312616,136.6178403733729,-35.495995989097594,-178.17233610532898,152.29506581711476,86.41396616446507,110.03442392220953,-34.684806371414574,55.11347799388369,-151.99300396418437,-143.3352178519506,-174.8531437131542,-68.65068229423265,-179.15495017776448,-142.2823732373787,36.36484188035158,107.74895208051005,-47.89779884824163,7.860718322744487,-46.012661723674256,-14.497969830381736,149.7248736456616,55.84353955403315,-41.69926978398946,-133.9570201416049,-107.82403602564663,129.96313831727738,44.822416785741815,-175.27392374474175,26.318350846274633,-163.6957438869112,151.48420591057067,111.12653692164449,-89.46921208562416,-15.761267538291433,34.99455011848464,7.168683905162365,-2.494660323801598,11.873320432287883,-157.76493273900107,-170.73614990748624,150.45161324963226,-147.83056589271882,105.44739435446192,150.93738182493553,-10.576658269503712,-179.14046778537622,-179.458552610198,-142.6018552877393,11.695838709819112,-13.321642998648954,16.18910037942886,-118.59738334446078,-66.69064611701909,-98.99143611204667,-108.96799123178229,21.17830887665075,55.26228932363411,-48.68390209168233,-18.994792605638345,58.082247259347724,-173.28106365228703,46.146066032500116,-126.39283356249265,158.07555109881415,81.75787888845083,-163.45154696277575,130.1728373734289,-112.33891011726308,48.98385841141578,-106.00514654710209,169.78574893279233,172.22296941959004,-166.16658637976644,154.0021556997919,9.296138787611529,142.87861403518616,5.878912216334217,81.30881801235468,-177.6433497458489,153.95371725519803,116.0327970402383,-13.324258338742526,125.46350045224588,-5.103582996859342,126.78034497754842,-160.90203358444538,-87.84920951224991,44.9889520853169,-140.282957327758,-3.843686859562304,-3.7235587213336654,-166.68907803532898,8.059155474286102,-3.713381654944239,35.16811451503848,178.78803594432023,158.9547044448547,-169.9311776223758,173.23744259256767,-114.19487047171566,135.5004893311965,169.96420587707712,89.07991269294811
NOT_AOI Relative Saccade Angles,65.44518517401129,110.36402749288509,108.25338824990196,149.1844561969567,120.65526457781473,34.9891655252622,52.20773519371779,118.49172573014741,36.99787587861016,48.15828925067983,97.22019920194167,133.3417143711545,95.15172206756917,161.90633654989202,117.57703088239269,179.49491014146878,14.555733175914723,62.65152355599203,58.287264632919445,134.15385852760124,71.15952634037939,98.08876298705961,55.27079759474059,175.55701780866843,90.85900434313417,106.74352656047058,35.9671682670917,76.586377358036,49.712678534535996,148.18503441705545,112.58306990310402,86.05166183833708,75.10576707199685,84.812361686499,7.886163637529513,37.32365988376861,150.46740192244377,114.11890034735028,156.37954224225555,35.28076970637591,90.20171563470176,27.10648195806804,171.3422138877662,148.48207413879638,73.79753858107844,69.49573211646818,143.12742305961422,1.3527848822697197,108.61588979984153,24.353249071248317,124.24148282901389,126.12661995358125,148.4853081067075,15.777156523956641,86.11866590837153,82.45719066197738,87.74224964238459,153.86701588404176,57.78717434292404,94.85927846846441,40.09634053048356,21.59227459101638,10.014094733185816,135.17994979748187,139.6423310110738,20.595749007268637,106.29205545266728,129.24418234322394,152.17413378667774,170.33665577103605,165.63201924391052,10.361746828711071,167.0287828315148,141.18776315711844,118.28217914235101,73.27796024718072,134.5100125295264,18.48595990556076,11.436190484127481,179.6819151751782,143.1433026775413,25.70230600244159,154.98251829153193,150.48925662192218,45.213516276110376,128.0932627725583,147.6992100049724,170.0234448802644,49.85369989156697,145.91601955301664,76.05380858468358,150.31089051395605,102.92296013501392,51.36331091163474,39.427129684787126,7.4611004050072465,104.46838466130677,103.68232778963669,65.20942585122656,113.62438433620464,62.51174749069199,18.677231471321146,25.010995041482143,95.79089547989442,177.5627795132023,158.3895557993565,140.1687420795583,35.29398308781964,46.41752475242538,43.000298181148075,104.57009420397954,78.95216775820357,151.59706700104695,142.07907978504025,50.64294462101918,41.21224120901161,49.43291655089479,48.11607202559224,107.68237856199376,106.94717592780455,47.16183840243319,5.271909413074896,43.56072953180432,179.87987186177136,17.0344806860047,5.251766490384932,168.22746287076967,141.1185038300173,36.380078570718254,160.16666850053446,148.8858820672305,163.16862021494345,107.43231306428332,69.69535980291214,145.53628345411937,99.11570681587096,
