,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
AOI4 Saccade Lengths,70.96923773961352,60.573332416495276,81.65577355343811,60.266412053655294,133.25043370078163,87.35663708897894,64.69516774384718,43.707946003734506,58.49617729024784,44.01119600030312,27.01228867070772,11.047043211619345,65.90021983429908,57.921241984413754,66.87087321137615,81.04015181121625,38.91395939835661,37.19996007382041,19.94191442396121,15.361852766891683,41.99070165779763,69.87930372026895,12.221895563569786,62.55130574834669,31.99856654259051,52.24569680474812,40.9912947030538,39.979313902299666,40.77715342100187,33.799342717036765,15.331516391338706,6.6362064109700105
AOI4 Absolute Saccade Angles,-18.706404217772207,93.55186083259768,-160.20447054566293,160.34526905740694,-33.29564592663429,46.710597801981585,178.18341506892764,-67.8476047453493,138.7828898038423,-131.44440923522302,-147.87554936621459,114.69836895489026,0.45204565992217155,-172.5842938269223,41.62976876653853,-135.9532362795675,-175.33902475965886,168.01726249267227,82.77631263833824,-80.9427007617614,-23.069935924476496,116.37390218965851,-5.716155455222209,-47.970110571693866,104.52611589550715,155.68718867765648,0.5032022061388911,-32.27360352077234,138.64911040867847,-54.7233308684684,-113.23867425513058,2.166902363068962
AOI4 Relative Saccade Angles,67.7417349496301,73.75633137826063,140.54973960306987,13.640914984041249,99.99375627138413,48.527182733053955,66.03101981427692,26.630494549191592,90.22729903906529,163.5688598690084,82.57391832110484,65.75367670503192,6.963660513155551,34.21406259346081,2.416994953893976,140.61421151990862,163.35628725233113,94.75905014566595,16.280986599900356,122.1272351627151,40.556161885864995,57.90994235511929,137.74604488352836,27.50377353279899,128.83892721785068,24.81601352848242,147.22319427308875,9.077286070549226,13.37244127714684,121.48465661333783,64.59442338180047,
