,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
AOI5 Saccade Lengths,1.8433655603708676,211.7706605101209,257.12874344164953,64.27747075296931,73.28706305142356,38.0189778309826,145.64561004703012,262.49011359794184,81.67554000759611,107.3338731660557,67.86831385285893,53.14093083517014,105.79760273766443,66.30252615456428,31.11865319356522,52.959149479608044,19.91961089745545,35.426774648440876,75.94850790093076,77.72322784116717,51.41983071019462,121.14111103806725,45.19574987905413,59.46994672465833,23.796189967035502,10.555562213516666,4.836475240214902,312.50163253318624,35.8502999532509
AOI5 Absolute Saccade Angles,-42.950269682102885,-12.057168849232227,167.23842142800035,-166.85114571806014,-39.02576393723666,-69.23081489921199,163.31162701949452,-7.302068541273165,0.6126246183934134,141.48666819428803,-162.27212209018654,134.66549728752926,-0.9882232547209886,-5.801194463039525,-9.980851163547444,-127.62814563609763,-56.035770229282654,-141.24598542135104,88.12748876598705,176.26612434698274,-176.94535683984495,-148.60629745824423,83.65853769123247,159.61151869246027,55.628998284071685,-48.5758909415347,-49.66989520966472,-1.3789798568451719,154.50383612441198
AOI5 Relative Saccade Angles,149.10689916712937,0.7044097227674037,154.0895671460605,52.17461821917654,149.79494903802467,52.54244191870651,9.386304439232324,172.0853068403334,39.125956424105375,123.75879028447457,116.9376193777158,44.34627945774975,175.18702879168146,175.82034329949207,62.35270552744983,108.40762459318503,94.7897848079316,49.37347418733811,91.86136441900432,173.21148118682765,151.6609406183993,52.26483514947671,104.04701899877222,76.01747959161142,75.7951107743936,178.90599573187,131.70908464718045,24.11718401874288,
