,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
AOI1 Saccade Lengths,89.29856174628641,29.069027932404484,2.8878819213072493,89.71389595180236,27.83251529833193,13.226151167659554,30.386123787201825,11.79026709700098,23.809103046222464,9.160662985676709,23.55931782015508,14.598500432100993,8.637360681532988,11.570129217891052,28.39843194876849,24.256261916441645,13.864813772291795,41.03633907734233,37.44701915315741,28.30676079936509,33.104560595748694,14.681214733629284,11.679308746076943,24.74024812449155,39.7550132686437,8.273692888051716,43.44162850328404,12.2385763417409,26.395441864246028,32.45397534849465,53.651988790167614,24.902446805050644,16.4577780095211,28.598024216331105,41.49108574483286,23.509897589097523,21.692409599034665,12.714832540834204,17.866420361862634,16.973949840842398,17.142884621233605,26.040240222277955,6.765120864155115,13.435163365848672,22.323907390897343,16.79568975269167,4.488038328989535,16.740465432759546,3.628912743075157,30.625005806434753,21.526389961868695,21.451122695381315,6.389881839882404,14.620684782910939,11.610702547080345,14.436633976548418,6.685642289310348,7.505846252962376,17.822619597442376,16.305329155131044,22.72102928757475,8.38155984626659,10.280458885089347,15.842552076863464,82.42656523077484,63.073605211659256,79.41954667172224,42.61949397630159,42.09089145051036,51.504253345690294,45.93389246776246,25.97860644626774,30.92029515749781,1.9372198180867772,5.917739537101281,20.29561367259131,23.795953238182637,25.774940048954715,5.331745256617239,15.348102600617187,70.11876865288832,33.19409661515781,13.999187514518516,0.8348175979138809,32.9087814361241,12.745270001665995,10.985858998166538,26.723691493668092,123.43457347550428,29.49654416396136,18.24707993096336,4.958348116442544,21.65024273604025,10.448020416889921,14.668461892054287,48.38586632584369,6.859107056779394,14.165008632327295,14.080690956284124,25.05824222726717,19.39906008541452,11.272061828872815,5.084046161052628,5.251310559587981,22.786931001564053,12.751141777999592,239.89455121197037,37.07800198508205,13.70815886795262,24.52952532583482,24.573107131724427,54.007056885528606,38.87718306815475,44.00994981055651,19.645783395161917,5.635315320346486,20.424069766268648,31.4375354192087,35.87361164239274,12.35895074025468,4.577878913820684,5.060434722204285,8.415919515790433,17.63535530740767,3.5099523084610307,14.560572167467152,11.383408679296386,4.3528217891879715,14.225297788075268,7.3662763699020815,6.331337870778446,8.380427725609866,0.7749472777084769,9.42651638142235,27.02756141787688,27.328622973738913,6.584599482420953,4.333569437735388,7.258035208683058,23.162097328320616,22.428537406651827,28.6204019951284,16.42072714325042,24.41646279256369,13.511992827092838,19.776672924541142,9.997208905065426,23.356245872843495,12.07060496660887,12.743847224785586,80.93419260983484,15.380026844431807,34.17839052355031,23.379033376015816,5.504668390713001,11.82288572489653,28.70094366377801,10.748636360930798,6.838895149329821,7.613994442240328,5.645653954279034,4.049182109948123,0.7790634399085604,0.8454867715497182,10.72512329756438,7.146168648875574,8.445157408550426,11.984875408307222,57.23481250538807,40.36999694999382,18.18693111477954,6.663169636900401,23.529793619619998,5.281836362739971,7.155707382224116,30.93480185999038,53.01109365332788,25.144376190837086,15.714517999809308,17.619182227516927,23.04252766936205
AOI1 Absolute Saccade Angles,121.48302631037063,1.0930538695413021,-79.44379656645219,-173.18172405612538,-155.35056908736533,-150.14840824866226,-95.78838298636143,-81.44995746370387,-2.6819329862951817,57.09753586724258,100.04591529780024,153.72481080687828,-153.40990371606733,147.7215670512599,-122.37906971696745,-104.54618038329123,62.13713931639414,86.27703192413904,46.53251897069768,-101.10405964659488,-95.64678207387837,-93.84633540031751,138.66518327901554,121.72686237424584,105.16996735557817,16.93767487707639,-76.37715990527273,83.46743192574606,26.46923548840097,43.36085971865061,-57.14564220102702,-60.741996534336074,105.17515175069012,66.53161240278995,144.93822114873396,-37.27925428921932,-33.046190416154325,-67.86840845032457,-116.46034028192219,-104.36600627556899,14.47713028878222,110.33224360591268,169.5241890016711,123.3261421714617,32.22917900125641,30.149030634915196,-129.63320455829904,173.87133886560656,-79.1679750948641,-172.69840386357924,-141.12482051733494,-175.3172883985892,157.62844114875816,-165.90235869317897,-174.46493601739027,14.83810287571797,3.734577688643305,-50.3523207248173,118.92508689431848,39.61004794449589,12.373228407662234,46.71034265524945,5.5231848433772655,-6.641885004463157,-178.01250034315575,-112.03110607772213,52.571507572055275,177.87764826199435,-46.26324814714748,-80.8774579377162,83.16640959916533,116.8351249890498,-96.91645681325659,-74.3140382214697,-172.056746018577,-43.27213605111529,-115.10294913471964,91.27997203041694,-41.61886398263602,-69.63180646528264,96.39922347965226,-3.8620829924978675,-25.067904544285916,114.62866391359533,-137.76776805761256,-42.899974510979895,5.058316804426552,59.517162050694296,5.608900139215456,-18.34685036252649,75.02812281849097,-27.786162065963538,-30.606083502325475,5.5161307459820526,149.19797674363335,-36.0539412178378,29.43111321624648,126.61941509145355,-142.68285168782424,-93.97715140150893,167.96864486329346,169.42016081466844,86.92351741792594,145.72720078379007,102.62179971240681,135.9028427889247,-176.26661632170507,-77.0968526737448,111.34445429360524,-3.299303395017485,56.74633187472028,-4.093561798951112,-2.8691088604183035,-0.9637462088384673,-14.348484753240427,-113.17566222681916,139.19033222829057,165.405779656139,174.69829187803415,-158.6161739501485,136.48955866018403,-20.974975589895973,-93.01867765414288,-57.68164642472871,-29.184631427007684,-155.29982484892204,-67.77384228013361,-49.34778544493127,-115.86150367384788,175.56280231232128,141.73436010241386,178.6681871886112,57.486982024257806,-33.517307105169316,13.022359719087882,81.81929597242659,106.19348323438788,-31.299683976607025,-40.93981089514652,43.957361045410565,143.64071535997238,160.5517316420997,-76.13191295342887,-104.61786771047949,-103.92190780139697,-102.45377225293207,157.6135778991431,93.47859668025826,91.42364121211237,-128.15482085546466,13.671353725977882,-5.269718072003045,-106.12004377496946,-144.5167344207227,63.430448305245136,-136.96732895684974,98.11772378830962,146.56295814798517,-95.94440228720573,-1.6707879152410583,34.51125739310246,47.387989442122155,-82.31238668503077,-125.58230692034323,-1.8793219962036067,-9.900759967471243,-85.02749064072036,179.04587115809423,72.22531746735697,-80.18679451998749,-99.34880711910637,-143.54339167000688,94.29245475865555,96.60014845173855,97.54333438510433,66.03424886087707,178.55825344692477,-156.86871872662027,177.95926066207133,-87.04694455081346,78.97894558368931
AOI1 Relative Saccade Angles,59.61002755917069,99.46314956400649,86.26207251032682,162.16884503123995,174.79783916129693,125.63997473769915,165.6615744773424,101.23197552259131,120.22053114646224,137.05162056944235,126.32110449092194,127.1347145229456,121.13147076732719,90.10063676822733,162.1671106663238,13.316680300314628,155.8601073922551,140.25548704655864,32.36342138270745,174.5427224272835,178.19955332643912,52.51151867933303,163.06167909523026,163.4431049813323,91.76770752149824,86.68516521765086,20.15540816898122,123.00180356265491,163.10837576975038,79.49349808032235,176.40364566669092,14.082851714973811,141.35646065209983,101.59339125405599,2.2174754379532753,175.76693612693504,145.17778196582975,131.4080681684024,167.90566599364683,61.156863435648795,84.14488668286953,120.80805460424159,133.8019531697906,88.90303682979473,177.9198516336588,20.21776480678577,123.50454342390559,73.03931396047066,86.46957123128486,148.4264166537557,145.8075321187457,152.94572954734736,143.53079984193712,171.4374226757887,9.303038893108237,168.89647481292533,125.9131015865394,10.722592380864231,100.68496105017742,152.76318046316635,145.6628857524128,138.8128421881278,167.8349301521596,8.629384661307414,114.01860573456638,15.397386350222602,54.69385931006091,44.140896409141845,145.3857902094313,15.956132463118479,146.33128461011552,33.75158180230635,157.39758140821314,82.25729220289271,51.215390032538295,108.16918691639566,26.382921165136572,47.10116398694705,151.9870575173534,13.968970055065117,79.73869352784988,158.79417844821197,40.30343154211875,72.39643197120787,85.13220645336736,132.04170868459354,125.54115475373224,126.09173808852114,156.04424949825807,86.62502681898253,77.18571511554549,177.18007856363806,143.87778575169247,36.31815400234872,5.251917961471135,114.51494556591574,82.81169812479294,89.30226677927774,131.29429971368472,81.94579626480234,178.548484048625,97.50335660325749,121.19631663413588,136.89459892861674,146.71895692348212,132.16945911062973,80.83023635203975,8.441306967350029,65.35624231137729,119.95436473026226,119.16010632632862,178.7755470614672,178.09463734842018,166.61526145559804,81.17282252642129,72.36599445510969,153.78455257215154,170.70748777810485,153.31446582818268,115.10573261033252,22.535465749920004,107.95629793575308,144.66296877058585,151.502985002279,53.88480657808563,92.47401743121155,161.57394316479767,113.48628177108341,111.42430598616912,146.17155779009258,143.06617291380266,58.81879483564662,88.99571087057286,133.46033317574282,111.20306374666131,155.62581273803866,42.50683278900508,170.3598730814605,95.10282805944291,80.31664568543819,163.0889837178727,56.683644595528555,151.51404524294938,179.30404009091743,178.53186445153514,80.06735015207518,115.86501878111513,177.9450445318541,39.578462067577014,38.17382541855747,161.05892820201905,79.14967429703358,141.60330935424673,27.947182725967835,20.397777262094884,55.085052745159345,131.5547656403244,62.507360435190925,85.72638562803535,143.8179546916565,167.1232679509803,50.29962387284708,136.73007976468756,56.29701507586039,171.97856202873237,104.87326932675087,84.07336179881459,73.17944630926274,27.58788801265554,160.83798740088113,135.8054154490995,57.83584642866242,177.69230630691703,179.0568140666342,148.49091447577274,67.47599541395232,155.42697217354504,154.8279793886916,85.00620521288481,13.974109865497232,
