,0,1,2,3,4,5,6,7,8,9,10,11
AOI6 Saccade Lengths,211.69036054395272,156.89185462626372,16.640615072847165,222.05203143499674,340.95665150440635,8.450041252131074,45.53018390616427,88.95210723644075,44.59863034256455,37.37310723688266,89.29313350470063,212.23003061020373
AOI6 Absolute Saccade Angles,161.88941966165424,-23.549898545282502,-17.90715139573921,14.731515490710716,-169.19597731975213,87.39227077086923,103.35351518387336,2.5710961663397573,-9.871908305809468,-171.4006371381185,160.39375860321965,-15.018685375536153
AOI6 Relative Saccade Angles,5.4393182069367345,174.3572528504567,147.36133311355007,3.9274928104628155,76.58824809062132,164.03875558699585,79.2175809824664,167.55699552785077,18.47127116769095,151.79439574133815,4.5875560212442,
