,Mean,Standard Deviation
AOI6 Saccade Length,54.3934790545228,23.871270383605076
AOI6 Absolute Saccade Angles,-6.55636856300308,96.17620949555211
AOI6 Relative Saccade Angles,93.10732536126778,52.86661800055327
