,Mean,Standard Deviation
AOI1 Saccade Length,105.70365121536915,92.30351176094759
AOI1 Absolute Saccade Angles,22.719394375572552,127.09328135458371
AOI1 Relative Saccade Angles,61.95114803643988,65.01938436679228
