,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
AOI2 Saccade Lengths,23.945993537745547,35.86455235449025,29.76725215007659,69.58545505546496,19.40818266821706,158.7814872639612,85.57896725438485,12.436005311253194,11.17970114287443,18.92621723227362,60.20375304629422,177.57238452678303,18.87658886995116,15.987598785566654,29.41350328975852,13.133566243580535,59.85116791411852,24.29676949255083,15.951198402102277,9.91087402500122,14.647250534019307,15.711917521315211,32.485654258339714,17.791793617157253,129.97518422720307
AOI2 Absolute Saccade Angles,22.6593772119039,-92.17610260080346,-98.24051880593171,177.49160141440018,136.72849362702044,-3.04804061820454,121.46797739318383,-122.13223342048137,-143.6689836048991,110.55420865205484,-96.22154373582437,-178.43833311637738,97.07117283275042,57.581707900646386,69.0461040871401,-34.06167305926359,12.128129114862388,-47.78955081055248,21.825289968462233,37.4764335235707,27.809770788567224,-119.40134750861002,-119.39586544492607,117.67908045441912,176.96987460969225
AOI2 Relative Saccade Angles,65.16452018729265,173.93558379487175,95.73212022033188,139.23689221262026,40.22346575477501,55.483981988611646,63.600210813665186,158.4632498155823,74.22319225695391,26.775752387879187,97.78321061944699,95.50950594912779,140.510535067896,168.5356038135063,76.89222285359631,133.810197825874,120.08232007458514,110.38515922098527,164.34885644489154,170.33333726499654,32.78888170282276,179.99451793631607,57.074945899345174,120.70920584472685,
