,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
AOI4 Saccade Lengths,70.06812665427786,13.74046330796291,50.731911861441475,164.78767692834285,62.006162311963614,113.33977893932773,73.88795871232962,44.451925764286194,22.393343434952435,34.864044975606355,33.662397173064,12.369688847550265,272.9305499266836,84.66899313175404,16.566855288138207,54.035678013555774,58.79569002056468,43.10621032585316,73.54047765328752,43.228736113301196,54.599640456481794,14.224406963642187,56.817939465486496,47.09539286832319,54.275326639900854,16.73519191027776,54.00651189129847,57.21599183760727,58.232540441883685,20.115112522586365,54.71231487693516,21.8053665162034,22.38202441225888,26.952025734976257,16.314453428095323,21.532492999200944,40.763804415778665,48.808450293277374,30.20020305338649,88.70009754519015,43.10863067401855,39.49750769333234,13.100224183008642,64.5935814983204,34.64415522274195,25.457438851946,28.964414607401853,121.75500710039373,22.397491944558155,28.672221417416072,96.08281174809046,40.21086683517999,75.54203586072447,19.302331688928692,26.1242897800313,36.4206111253723,30.439821416613654,66.51362339464465
AOI4 Absolute Saccade Angles,-177.0685243875715,-158.06641651581583,54.822135674901396,-166.60709108962814,-0.8830562842810329,8.232533542434517,10.47366091499656,8.937187448569194,6.173233474642221,-54.47944425406257,-72.22364844991522,174.05846918499947,176.52209011306357,151.56603325324642,147.33384012182393,3.675137992245498,-133.59582603666175,-37.75469681569608,110.00893431357056,-111.38379572615496,45.53002775260733,135.78055111152105,-71.90833291767204,115.31134875363573,-103.81033990617593,-156.35813378181527,83.89304004823254,-3.7397553680307154,4.5721925241542705,1.8261387430236102,-149.24045396689385,91.28511517070946,116.98197638933455,-93.6050765402348,-71.98023474942534,135.88522060666756,-77.47314715247639,97.45157297354432,-166.88878736757283,7.867313509186346,-124.76232056797213,173.46553700265122,-137.44731877816403,113.70082072285578,-102.63957668877187,-110.61176965060929,5.191540954799479,24.369248504553124,-36.26815702894194,-125.4973699763793,-178.6211005805765,129.05221300896113,-11.701294510335861,-55.9158206452565,143.3754145569414,136.86486697626148,-27.88805911715255,-178.66868363213072
AOI4 Relative Saccade Angles,160.99789212824433,32.88855219071722,41.429226764529545,14.275965194652889,170.88441017328444,177.75887262743794,178.46352653357266,177.236046026073,119.34732227129521,162.25579580414734,66.2821176349147,177.53637907193593,155.04394314018288,175.7678068685775,36.34129787042159,42.729035971092785,84.15887077903437,32.236368870733365,41.3927300397255,23.086176521237725,89.74947664108626,27.688884029193087,7.21968167130775,39.12168865981166,127.45220612436067,60.25117383004779,92.36720458373675,171.68805210781503,177.25394621886934,28.933407290082542,60.5255691376033,154.30313878137488,30.587052929569346,158.37515820919054,27.865455356092895,33.358367759143945,5.075279873979289,84.34036034111715,5.243899123240839,47.370365922841536,118.22785757062334,130.91285578081525,71.1481395010198,36.34039741162762,172.0278070381626,64.19668939459123,160.82229245024635,119.36259446650492,90.77078705256265,126.87626939580278,127.6733135895376,39.24649248070302,135.78547386507935,19.291235202197875,173.4894524193201,15.247073906585973,29.219375485021853,
