,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
AOI3 Saccade Lengths,38.12250346968929,60.73605192309395,64.19829571638647,176.5897364937954,73.06989460416479,29.02368083667519,30.358561288809778,23.819466373522896,47.550593345829824,32.4290570733148,96.52024550840405,47.82392493445383,70.5981960980649,54.88524731465959,25.349771840111423,54.11432061851448,52.95771368352477,56.77422122627269,11.45244740588404,10.913501073190494,51.19765613006648,51.97644693101106,31.6001588809705,38.78803253509645,33.036538960562844,16.16726259796685,54.44515531549853,101.59179607348098,84.39057305686411,35.004345695946064,31.831903742257516,39.252781213942136,133.9978127004726
AOI3 Absolute Saccade Angles,-158.5761103113975,125.58157592208308,-67.22557892634268,168.63954872607118,0.41734764088320686,29.036697119055084,-43.574814704498074,119.62279570270594,-104.09020291474893,60.41971499693741,176.1949161210621,-118.59673132568068,162.24777646407276,155.36561113263355,-162.80496709826824,-17.70271117022408,-12.418160855225985,-17.186685820394192,97.92786711488148,-58.74573026546448,1.5557604281819088,-166.26399806562276,99.36260034579148,107.46654739245676,17.408555996744468,178.10132385373242,-87.09396517153772,177.94468259267072,-165.77379372472691,9.456358214667938,33.59986899343508,100.3321564028366,-20.172547875192944
AOI3 Relative Saccade Angles,104.1576862334806,12.807154848425746,55.86512765241384,11.777798914812038,151.38065052182813,107.38848817644686,16.80238959279598,43.71299861745487,15.49008208831367,64.22479887587532,114.79164744674276,100.84450778975344,173.11783466856082,138.17057823090178,34.89774407195587,174.71544968500191,175.2314750348318,64.88544706472433,23.326402619654043,119.69850930635361,12.180241506195314,85.62659841141425,171.89605295333473,89.94200860428771,19.307232143012044,85.19528902527013,85.03864776420846,163.71847631739763,4.769848060605161,155.85648922123286,113.26771259059846,59.49529572197045,
