,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
AOI4 Saccade Lengths,94.82705152090486,64.792211808261,105.23769751883351,40.375595379905306,79.65003965721333,109.60952136740987,89.1952663424002,103.32301319075356,28.129308897805956,96.63152202052184,170.38001614624838,19.293555739365225,117.34266947932413,53.04294604038487,24.353023082265302,35.05737304060661,75.80366689803027,61.32098496223458,152.08526942564458,45.01649413769263,129.22156943171953,167.676409887157,127.48810917529981,156.41225698836044,305.6473662509048,151.0910431450638,69.10880338820223,79.80145854445846,83.99629282843338,54.38939543971973,32.93000458628535,70.58903466397335,58.26683786503286,113.52531925666473,76.99716440582125,131.33285743765163,197.75366657979814,70.82856233608408,93.22253749193133,54.759968934147295,133.09377578434245,15.915864427789245,119.8473733375293,143.20946993466774,150.58557037391006,16.108125099289204,61.866322497547884,85.70258729228385,108.25271381869135,15.98330402171657,7.607388148934172,63.95092347066094,174.03942395866463,41.30092259056366,81.04285407557886,168.59796230134836
AOI4 Absolute Saccade Angles,-49.12120968754746,153.87537558434533,-14.386163373274927,4.3068854373789875,64.05813515282871,-174.48735075951777,-8.16330685261118,-3.189723200665157,-26.8286642801677,-167.32546667443432,163.07157274737065,15.174301814241328,-10.016171429247631,-8.980882471383563,-2.7359464441004384,92.09169602265442,-135.37129499303316,-21.070769709385342,159.31701160671628,-144.35769508454882,-12.792334968414124,159.95162202548744,-14.234855061875004,3.149621669240688,179.5977569943535,-1.918614260912187,-157.31579405857966,44.86080172501665,-39.24181741569602,25.69290713895536,132.43233939739252,21.947255376175622,-106.68552588844967,-13.86224928380102,87.96549389195121,-166.4542226542173,-169.37035846586522,80.03050792577294,-15.580667371665822,-125.55081402942352,169.5864675430476,-174.01507940758333,22.379227697428774,1.2259784820299737,-158.9402206304512,-160.97306257300008,105.1550990222681,-113.83574327402698,7.064016119492966,26.482519261830433,-32.447887099822246,82.032467026531,-175.07200292085716,17.230469124872805,-66.94725204297357,26.677251287941665
AOI4 Relative Saccade Angles,22.99658527189281,11.73846104237973,161.30695118934608,120.24875028455027,58.54548591234649,13.675956093093408,175.02641634805397,156.36105892049747,39.503197605733405,150.397039421805,32.10272906687065,154.80952675651105,178.96471104213595,173.75506397271687,85.17235753324516,47.462991015687564,65.69947471635217,0.3877813161016017,123.67470669126507,48.43463988386531,7.256043006098433,5.813522912637552,162.6155232688843,3.551864674887221,1.5163712552656543,24.602820202332545,22.176595783596298,95.89738085928734,115.06527544534865,73.26056774156284,69.51491597878311,51.36721873537471,87.17672339535136,78.17225682424778,74.41971654616849,177.08386418835204,69.40086639163816,84.38882470256125,70.0298533422423,115.13728157247112,163.6015469506309,16.39430710501209,158.8467507846012,19.833800887518834,177.96715805745114,86.12816159526817,38.99084229629508,59.100240606480064,160.58149685766253,121.06959363834731,65.51964587364677,77.10446994738811,12.302472045729933,95.82227883215363,86.37549666908475,
