,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
AOI3 Saccade Lengths,53.60581182619146,44.45459112450151,162.98883564735428,136.46312151662121,46.97258462355059,72.68075867787252,57.976691733290664,6.5854727813303215,30.816173499977392,48.07970890713378,48.75418314476925,45.56236398196824,63.68052958909174,13.490572993801777,157.44275726200215,120.09261560305642,39.28313207095438,40.40144416595102,178.2910530790841,150.73032850280947,78.30684304404528,37.23862492782787,78.00445304543526,54.30298363202207,66.77319297244696,58.67237866314759,66.02842200168058,59.56658280443932,79.16173054212152,30.39628291199786,140.3966654485323,92.92094120600439,212.59167462993167,36.93384324013042,58.91104445198834,45.53300756081128,59.655527022601355,189.2549916743282,116.10902228468376,57.98257395839756,58.174380180939785,198.07776935491174,148.1790390560911,62.05586751864436,111.71827428388112,136.52439759977545,47.574978399344516,42.982196690806056,65.73488797573472,142.29302771276392,147.12004483224632,85.35935919294477,168.85727444885535,171.40947331414375,208.0836039907111,70.30760466943701,79.80177231840528,127.14337516342552,246.52388821141696,312.50458381438403,156.9135583315384,182.22243784749824,251.6444724180414,167.07068051155625,66.59506114231432,33.12966722255315,311.40635670197594,62.87309671494817,78.65492895277681,31.523285198384446,80.87203007384076,69.56819544569751,74.15609771539621,4.02602580607517,103.23760960313447,76.49405618116086,133.76642184185403,22.4137714589379,47.94880401998234,134.09842702918837,30.557018551993558,198.88835892331917,181.24945837638012,48.22242713512493,65.75790390995579
AOI3 Absolute Saccade Angles,41.00188986018344,-76.21675348548862,-167.40872124804727,11.43223601291925,114.5692573055412,-167.2201274195731,-147.40539231336916,102.20972303349791,-31.306112355219653,-1.5203985637674677,3.850683186729083,72.54489078483672,-76.74737543808928,91.578669944707,170.2376689530949,-1.4924376418524419,-38.13580992185994,-168.8666077396831,164.15891966483608,9.926079138731211,-95.35852993943604,166.59150580687225,135.61403223718267,-47.7685465812697,-171.83258487428444,24.049389766217594,-178.23566258336155,42.281495623954086,-30.567912374313334,-2.423192987469228,179.37549991629146,174.62539237437994,-11.201888636289668,131.46018594466508,-13.455441326750533,139.70591503882096,168.30542409967546,-13.129949237765528,146.78884470050085,-14.629206364145178,-76.88301014514155,173.7324753087847,-4.961603268696021,39.98801154192912,-175.7375441462008,-161.0277999669271,32.57695677418871,0.1843782828576572,-161.7511435100282,11.687406583660554,-169.81797839489096,132.49284985909316,-156.6244517683707,20.09808308859864,-168.75194876727204,16.305323904304036,22.605926488495005,-3.285627249322063,179.19288153560248,-1.719799674054011,176.36185417755073,-157.06107910319113,11.06638273586634,179.92956192660864,-45.249481455154495,112.97476052603342,4.601478403871766,171.81416484295258,-136.16669764283114,-10.85977018657804,155.06209304422228,163.63331315892626,-27.538286424973197,-59.50507091979246,14.321483128510927,-154.71475505460418,177.84403170124563,158.76846930371423,151.3621016900166,-18.818761685927807,-163.93013801756214,172.8508743657859,14.221454761828465,-25.226616535177254,-132.20832569213056
AOI3 Relative Saccade Angles,62.78135665432794,88.80803223744134,1.159042739033469,76.86297870737805,101.78938472511427,160.18526489379607,69.61511534686704,46.48416461128245,150.21428620854783,174.62891824950347,111.30579240189236,30.707733777073987,11.673954617203707,101.34100099161212,8.269893405052674,143.3566277199925,49.269202182176855,153.02552740451918,25.76715947389512,74.71539092183275,81.95003574630829,149.02252643031036,3.382578818452355,55.93596170698527,15.88197464050203,22.28505234957913,40.517158207315624,107.15059200173256,151.85528061315588,1.7986929037606763,175.2498924580885,5.8272810106696085,37.33792541904526,35.0843727285844,26.838643634428504,151.40049093914553,1.4353733374409605,20.08120606173362,18.58194893535397,117.74619621900364,70.61548545392627,1.305921422519268,135.05038518937485,35.725555688129894,165.29025582072626,13.604756741115768,147.60742150866895,18.064478207114167,6.56144990631127,1.505384978551523,122.3108282539841,109.11730162746383,3.2774651430306614,8.850031855870649,5.057272671576047,173.69939741580907,154.10844626218295,2.4785087849245353,0.9126812096564834,1.9183461483952784,153.42293328074186,11.872538160942502,11.136820809257712,45.179043381763115,21.775758018812084,71.62671787783836,12.787313560919218,127.9808624857837,54.693072543746915,14.078136769199672,171.42877988529602,11.171599583899457,148.03321550518075,106.17344595169662,10.963761816884901,152.55878675584978,160.92443760246863,172.59363238630235,9.819136624055602,34.888623668365675,156.78101238334798,21.3705803960426,140.5519287029943,73.01829084304673,
