,Mean,Standard Deviation
AOI3 Saccade Length,90.02855170133336,76.77666185229441
AOI3 Absolute Saccade Angles,3.996913259042279,108.68328396997272
AOI3 Relative Saccade Angles,84.20650800619345,58.44397117904394
