,Mean,Standard Deviation
NOT_AOI Saccade Length,39.90387836229821,34.714038589623804
NOT_AOI Absolute Saccade Angles,11.571778708470372,103.51829474987966
NOT_AOI Relative Saccade Angles,112.54843665518105,51.509681041130605
