,Mean,Standard Deviation
AOI2 Saccade Length,99.11839034828367,74.65065596046601
AOI2 Absolute Saccade Angles,-8.981337335685138,103.94901467909159
AOI2 Relative Saccade Angles,87.01867313582402,56.02803593315144
