,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
NOT_AOI Saccade Lengths,129.18828760052344,235.81327113948151,201.05297310174822,34.07972721913531,62.42684860160397,165.76545619699854,201.03784140510578,400.966793243979,62.26936834443697,65.91950476416004,11.059363683090497,82.67150122548401,184.28431597540052,60.815710991220115,279.39087628844584,21.451796792928807,26.89396550785023,27.311363339709434,186.86740289506477,361.24077434043096,179.32349064460985,60.239027671470495,74.8355865777945,68.08287619690653,47.012361584450694,35.81146482452088,26.57917770736728,19.320733715350457,55.58661394963304,155.5720562949343,64.57683229089085,97.80243448351145,56.38687333734928,46.69324787729832,36.58212996742677,31.21695022882212,65.88164806515192,80.98048244385876,64.38161959546011,53.26296998702175,43.126534337029156,34.122338707235464,71.58816816359322,62.96020142837581,27.09861343642487,23.481279214057174,7.546659755659615,16.78394740993514,124.14651900142171,342.9882359834962,289.54656953209155,253.87474996736364,261.45341915278743,199.71441484927033,306.0176960442156,251.7859977811021,130.40152573692654
NOT_AOI Absolute Saccade Angles,-128.73922736870261,-99.29631321702108,-97.78444665324606,-36.46829422837791,54.04822680739053,-53.631935560924646,-44.97786435560735,41.45443459802292,-31.27672450867418,-92.13473406487167,-44.213839748676946,-167.0960340914869,120.63789115470337,166.66906608733476,-82.0213131344798,-55.69853436955549,-84.43164128949182,137.46035280102987,-88.01660391757898,97.38173108570521,98.06949538256877,69.09732523137417,60.11213442374835,91.13510918244766,46.9254885195836,40.80731890804618,32.80721211845775,21.828271143865223,150.36982110167804,-119.7796510050936,-147.59871199057352,-133.71607696492413,-148.52338148619418,-128.91221955140773,-156.88613702970324,62.781790474399024,-100.8560713961802,-88.67742463535127,-58.40216885414961,-54.93264501351331,-51.10826001540193,-46.69995604746797,113.14208073619872,88.17124574690469,126.99444010804076,126.16733725180895,-69.58009014862033,-172.96857863785985,-77.42688561320384,-85.6233742774801,-85.58528212888864,-90.60134103337212,-178.1354199733152,113.96291332004634,-115.44750797194231,-115.16358795890596,-157.38597044814802
NOT_AOI Relative Saccade Angles,150.55708584831845,178.488133436225,118.68384757513186,89.48347896423155,72.31983763168482,171.34592879468272,93.56770104636975,107.2688408933029,119.14199044380251,132.0791056838053,57.11780565719005,107.73392524619025,133.9688250673686,68.6903792218145,153.67722123507568,151.26689308006365,41.891994090521706,45.47695671860885,5.3983350032841795,179.31223570313642,151.02782984880542,171.01480919237417,148.9770252413007,135.79037933713596,173.88183038846256,171.99989321041159,169.02105902540745,51.45845004218719,90.14947210677164,152.18093901452008,166.11736497435058,165.19269547872997,160.38883806521358,152.0260825217045,39.667927504102245,16.362138129420785,167.82135323917106,149.72474421879832,176.5304761593637,176.17561500188864,175.59169603206604,20.157963216333307,155.02916501070595,141.17680563886395,179.17289714376818,15.747427400429254,76.61151151076051,84.458306975344,171.80351133572373,179.96190785140854,174.98394109551654,92.46592106005689,112.09833329336158,49.41042129198865,179.71607998696365,137.77761751075795,
