,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
Page Saccade Lengths,129.18828760052344,235.81327113948151,201.05297310174822,34.07972721913531,62.42684860160397,165.76545619699854,201.03784140510578,164.62898894218512,134.36395321250615,108.65331919075543,31.688346429990858,30.60910013483129,21.357522699008907,55.7684214450353,11.059363683090497,28.520780385820082,83.96220910810653,96.73008885612575,88.32992773057408,60.815710991220115,190.46552763967654,89.36724372836854,21.451796792928807,51.722831385773226,29.533115082350708,27.311363339709434,67.21482023621134,186.67179682940014,63.22765519229613,137.736112597264,120.50219360927458,103.00597338069302,86.00915118535423,93.3600803254454,60.239027671470495,74.8355865777945,68.08287619690653,47.012361584450694,35.81146482452088,26.57917770736728,19.320733715350457,55.58661394963304,155.5720562949343,64.57683229089085,97.80243448351145,56.38687333734928,46.69324787729832,36.58212996742677,31.21695022882212,65.88164806515192,80.98048244385876,64.38161959546011,53.26296998702175,43.126534337029156,34.122338707235464,71.58816816359322,62.96020142837581,27.09861343642487,23.481279214057174,7.546659755659615,16.78394740993514,124.14651900142171,342.9882359834962,289.54656953209155,253.87474996736364,261.45341915278743,199.71441484927033,306.0176960442156,251.7859977811021,130.40152573692654
Page Absolute Saccade Angles,-128.73922736870261,-99.29631321702108,-97.78444665324606,-36.46829422837791,54.04822680739053,-53.631935560924646,-44.97786435560735,47.21513178570834,48.20374139359969,24.15175659697256,-29.58598453776314,-33.02709651834661,-39.054380920126,-109.9635904508676,-44.213839748676946,-84.3857379607961,173.21339430122728,115.62374865837567,126.13027947917159,166.66906608733476,-84.2260733234343,-77.31825877628357,-55.69853436955549,-59.6727523932609,142.7461641652434,137.46035280102987,-107.75019661568803,-83.8305967856872,83.73691731706822,97.66372979048057,97.35047022919936,97.04122215931713,96.72135125170229,99.31147282222295,69.09732523137417,60.11213442374835,91.13510918244766,46.9254885195836,40.80731890804618,32.80721211845775,21.828271143865223,150.36982110167804,-119.7796510050936,-147.59871199057352,-133.71607696492413,-148.52338148619418,-128.91221955140773,-156.88613702970324,62.781790474399024,-100.8560713961802,-88.67742463535127,-58.40216885414961,-54.93264501351331,-51.10826001540193,-46.69995604746797,113.14208073619872,88.17124574690469,126.99444010804076,126.16733725180895,-69.58009014862033,-172.96857863785985,-77.42688561320384,-85.6233742774801,-85.58528212888864,-90.60134103337212,-178.1354199733152,113.96291332004634,-115.44750797194231,-115.16358795890596,-157.38597044814802
Page Relative Saccade Angles,150.55708584831845,178.488133436225,118.68384757513186,89.48347896423155,72.31983763168482,171.34592879468272,87.80700385868433,179.01139039210867,155.94801520337288,126.26225886526431,176.55888801941654,173.9727155982206,109.09079046925841,114.25024929780935,139.82810178788085,77.59913226202339,122.41035435714836,169.4934691792041,139.46121339183685,70.89513941076903,173.09218545284926,158.3802755932719,176.02578197629458,22.41891655850432,174.71418863578646,65.2105494167179,156.0804001699992,12.432485897244558,166.07318752658765,179.6867404387188,179.69075193011776,179.68012909238513,177.40987842947933,149.78585240915123,171.01480919237417,148.9770252413007,135.79037933713596,173.88183038846256,171.99989321041159,169.02105902540745,51.45845004218719,90.14947210677164,152.18093901452008,166.11736497435058,165.19269547872997,160.38883806521358,152.0260825217045,39.667927504102245,16.362138129420785,167.82135323917106,149.72474421879832,176.5304761593637,176.17561500188864,175.59169603206604,20.157963216333307,155.02916501070595,141.17680563886395,179.17289714376818,15.747427400429254,76.61151151076051,84.458306975344,171.80351133572373,179.96190785140854,174.98394109551654,92.46592106005689,112.09833329336158,49.41042129198865,179.71607998696365,137.77761751075795,
