AOI1,AOI2,AOI3,AOI4,AOI5,AOI6,NOT AOI
221,146,30,51,31,63,970
182,68,51,55,19,21,926
0,15,44,25,36,20,332
75,50,26,19,46,22,631
6,22,15,10,12,16,168
11,12,15,7,19,5,154
21,14,9,18,11,15,225
7,5,15,10,17,16,166
3,4,9,11,6,5,210
3,15,26,24,10,12,269
8,14,12,6,9,7,153
7,7,5,9,8,9,157
6,11,11,14,7,1,212
2,7,10,7,13,9,311
5,9,7,12,11,7,299
3,2,6,7,14,24,231
21,22,11,19,12,9,338
10,9,19,25,13,4,403
6,8,12,13,12,20,338
5,4,9,11,15,9,352
0,0,1,3,4,5,58
6,10,6,6,17,20,416
5,8,6,5,8,6,385
4,11,4,6,10,15,357
5,14,13,17,20,13,421
3,7,11,10,12,11,336
3,2,2,2,2,0,79
19,14,15,11,21,22,429
15,21,21,15,19,24,449
6,7,13,11,6,8,631
