,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
AOI6 Saccade Lengths,15.580345125956901,304.95951719888023,49.41558832473186,96.28864297858038,91.71980649884806,178.98902073338607,11.391284470872794,63.371915280575045,18.934861721870284,19.862719759712853,43.731413007295714,205.28915031879032,146.7344441139508,7.96959964063591,34.86950823931109,40.41784239328923,21.590468780091896,46.91117944076847,37.210874476635865,53.9851625853701,51.10598093839459,67.07898128085836,43.15087937350295
AOI6 Absolute Saccade Angles,23.96808553342722,179.4802984900065,-2.2043049896440583,37.57715467028146,-32.97589365241627,165.71627531678706,7.361760312365081,-47.586912846682345,70.85502624556455,67.84478368741593,149.6025171650664,-3.110773660775365,-176.8663663205372,36.299574621756115,-78.00760306672588,86.00062769382963,34.971877999076106,-91.18956095497845,14.045616282137905,145.03281474583716,-154.91927387342875,-174.47660347149437,-107.2364852856281
AOI6 Relative Saccade Angles,24.487787043420738,1.6846034796505471,140.2185403400745,109.44695167730227,18.69216896920333,21.64548499557802,125.05132684095257,61.5580609077531,176.98975744185137,98.24226652234957,27.28670917415827,6.244407340238195,33.16594094229329,65.692822311518,15.991769239444492,128.97125030524649,53.83856104594547,74.76482276288367,49.012801536300735,119.9520886192659,160.44267040193435,112.75988181413372,
