,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
AOI4 Saccade Lengths,191.8280492060633,36.409040729865424,97.13488655518887,121.6967585287266,184.68351470581587,91.71081729678845,56.51085816023143,45.919988742099555,11.191242943520614,81.67921264872595,59.42971765790693,80.97146157542794,50.443231538208714,28.18523744270188,66.78960666254191,11.09886090864614,202.52175079273843,148.50114573364374,113.39083863061722,33.664902524445715,115.5921223180288,83.63499737906301,66.50366440738554,11.565169461007073,21.42651447027421,27.604382651710644,34.28003004657185,61.85338508806547,7.991859848302118,11.444299007826674,31.56783635102561,34.6896377024122,27.57100898109029,116.43004818184397,178.55852545486547,273.0368955715419,296.92394345005505,133.0053188178023,49.327066007568355,113.47341274936186,48.857817121198934,48.30940675712814,13.018351984171096,70.46297486717154,93.9139424686659,12.43231491387266,160.36889844889023,17.64089399746355,13.539529250735402,124.43579509771608,143.33872135959203,159.75396082693956,0.415343597576924,112.66167789375994,93.9890981605813,33.95534877251606,122.8184547798161,78.90825645066568,49.94639984192236,116.56034310130488,145.92066196909698,119.34743673246535,85.79426705863405
AOI4 Absolute Saccade Angles,173.20076142355165,13.05384522600009,-20.608416262806934,-158.02460220865547,16.999361363011193,-167.71571106389013,155.03183175374534,-152.77694729472827,-115.48075183781256,16.50764365659669,-139.33470273784192,-1.259518006217459,-6.366735213997844,82.3719440654706,44.899375508811,-133.02601377437725,-165.061604078153,2.3176167595199844,10.923305925736724,-155.24091382907696,-165.87659604692766,132.18372400732298,-130.3264881434306,-136.9191661205324,169.27778747280155,70.83201726506022,-84.65041944510783,-2.836311565017888,144.75791544641248,1.956598034050647,69.6181397217767,30.834129109310844,-73.75405737357502,20.347009888665525,-160.40298121339075,0.8068022491829768,172.7309325117898,-17.49384789715065,74.944719566832,-7.393257173570292,29.474117968201572,-126.32687377794048,-107.56889467481423,138.92605896080642,179.1480122291962,-58.36416107131714,176.3010875917554,-74.47527686546783,15.893676656737025,5.6574669582457275,-170.26673212248718,-8.4296361651316,-7.262767640345025,16.03958161083613,160.3230118210396,-161.83395065127004,-6.172839792597154,176.82232718029994,-54.0141336691991,174.15555050659927,6.814222837978164,-159.44967497208106,148.8797102065507
AOI4 Relative Saccade Angles,19.85308380244844,146.33773851119295,42.583814054151496,4.9760364283333605,4.715072426901326,142.7475428176355,127.80877904847358,142.70380454308435,48.01160450559074,24.157653605561404,41.92481526837555,174.8927827922196,91.26132072053154,142.52743144334042,2.0746107168117565,147.96440969622424,12.620779162327018,171.39431083378327,13.8357802451863,169.3643177821493,118.06032005425062,82.51021215075356,173.4073220228982,126.19695359333393,81.5542297922587,24.51756328983196,98.18589211991005,32.40577298856965,37.19868258763818,112.33845831227396,141.21598938753414,75.41181351711414,85.89893273775945,0.7499911020562683,18.790216537426282,8.07586973739318,10.224780408940447,87.56143253601734,97.6620232595977,143.13262485822813,24.199008253857972,161.24202089687375,66.49495363562062,139.77804673161017,57.51217330051336,54.665248663072525,70.77636445722321,89.63104647779515,169.7637903015087,4.075800919267131,18.162904042644456,178.83313147521343,156.69765074881886,35.716569789796544,142.15696247230963,24.338889141327094,2.9951669728971124,50.83646084949906,48.169684175798345,12.658672331378925,13.736102189940784,128.32938517863175,
