AOI1,AOI2,AOI3,AOI4,AOI5,AOI6,NOT AOI
1,5,17,11,0,1,96
0,6,8,17,11,9,138
8,10,33,24,40,40,420
7,43,47,40,37,28,582
17,37,85,70,44,14,585
28,115,140,113,67,21,1267
32,94,170,139,77,46,1164
39,103,86,79,34,6,1088
29,62,75,84,77,48,793
5,17,67,78,52,19,637
0,0,0,3,2,1,15
17,118,156,139,75,21,1052
0,38,122,69,48,17,605
5,38,95,115,78,56,867
0,46,92,119,96,54,929
24,124,170,132,56,23,996
3,10,27,10,11,5,151
10,20,49,64,60,58,585
7,77,125,103,34,7,661
12,49,69,51,36,11,460
18,100,171,81,57,12,902
0,1,11,5,2,5,37
7,92,135,69,92,72,919
0,23,77,28,14,6,281
1,50,41,98,44,18,472
6,19,36,22,8,6,179
27,128,116,66,43,19,732
2,15,39,52,22,7,269
9,35,100,58,24,17,466
6,21,34,34,8,4,240
