,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348
Page Saccade Lengths,126.88626106500449,91.98479505669964,30.386409387955002,62.40439508781214,126.97885068528586,100.12070953756307,84.22222970987512,69.30280785291764,67.67550738333424,41.89916995946305,42.73432549434545,16.253683742930757,5.168314485774308,0.4214974903056573,267.63623487097567,219.97898610476196,182.98934246203675,111.12006714354203,55.456766024965596,198.7773156462754,149.1254237013902,93.06249095318391,14.940556875455332,95.40966867903448,113.74346541130129,88.14874640523514,35.00302102697675,151.07224145137897,84.72636038568808,325.66145893950755,395.7461304027527,332.43514496035544,272.52075171871985,203.19319537704175,100.22753812841614,63.268117765161996,24.81899706621404,40.82284429670211,37.47474192911376,271.254617330446,219.28363000401845,323.9059686802048,278.86397912256024,84.39673990653203,93.29853252699186,7.990776101951209,5.433913441566534,12.614618502094663,17.904031266119787,92.08444379475561,48.39560188174809,55.68007135025816,50.73134906107023,78.03908670408921,20.303111418938336,69.41750520849254,57.073682740982775,61.23510440928699,48.93585610821698,56.93349003529,363.67687580872035,312.82399756914464,262.62103757211275,215.1667687855609,171.6224374626283,99.85919105851784,204.29349067118088,165.69260105288595,98.34383989909334,125.49509594554661,107.75064690534786,90.37990874233533,73.97352820464901,58.929345539876465,45.487089559775484,93.71887368263044,15.60983833053449,7.969257097873087,3.348008330147574,52.32069249121076,27.118964156376087,328.142340274498,280.5981413921288,234.37650312704855,190.96319007502257,151.34380010360144,116.09560880498617,85.47155907893801,59.47512305630616,37.92545895011732,20.512824282864862,6.8446489645360735,3.5180793536112716,11.02856596539335,16.136402295826493,19.26785861187508,711.2265950239853,440.8576156088645,338.9499290043191,227.87236343419403,589.4711326907627,150.37074380385062,73.09622935599906,155.37545404008065,146.5521893300779,86.17171771777028,71.14504216736105,206.64868056809956,47.824083787489826,326.63693996987433,202.088320655878,319.0590207301036,347.53221863798694,304.3250840333279,190.2000130164568,207.9050200211605,138.1913505357018,111.55496654800156,110.31227059479131,78.73769773200922,29.36541052358012,33.136213257337715,22.861976507483153,18.9140477514017,53.348623166555974,20.283289451088528,53.66871070432678,44.59165943027443,23.66745818443413,57.76938941945726,27.688597834501643,23.06888345032186,18.356787960543755,15.157301233248404,12.22117770147317,9.482743857496933,43.14677056105954,36.53636219512274,54.93444522705853,47.89614644186282,48.20261908832854,42.33477447061546,20.572702754994456,140.69304161614784,259.24555635604537,257.6064250949397,213.35653538787517,172.23865950019714,188.8370941353676,102.81701847581955,73.55561280076707,49.039738297194795,29.001148192827802,13.071389135536377,1.1645018247185257,8.397098553750062,14.764793793394187,18.89025590084817,21.18935182023525,20.398324080178227,19.959331899449655,5.289963468193427,43.346027916633155,38.30244276591514,13.19019151167293,23.088176468292538,19.72129636893364,71.24513765770037,15.571527781219517,14.085462016285447,12.443795684298417,10.74943201751786,38.77731738492703,33.299746900238056,124.39454474162181,126.53104749887196,104.82432994479959,91.31088454929497,89.24131969378894,69.97942209790237,53.04956767710314,38.52928044697975,26.3996425406665,16.60366555976065,9.193333341110405,4.991569036524601,5.518761455647834,7.7400178121094205,23.93662719566528,15.07613674380592,100.33968229826807,46.65520436874621,20.36246577886328,27.800351258367044,34.39070415987502,27.547278801969394,9.052874066369752,9.523355494345347,9.840568821417879,9.85559099964001,9.568072456846515,9.031048797211852,8.311786136104807,6.16766487222864,5.468793305143548,13.373976737761788,81.12234163129118,98.17179902311892,48.37221227625811,38.32736112231421,29.404869569889808,21.667303738765224,15.116971745799443,9.716343088549852,47.72491237941704,121.73922315521177,104.91510979870664,83.28685570429126,94.87322683225705,77.12153584840831,94.66653428230883,16.191551959578604,33.05730898332645,38.75270721579557,36.80814950112809,34.14117078089393,30.9739700979571,19.051251859554302,16.92697242132707,14.777585240175405,12.678577183739222,60.36675149441366,7.896045143759849,6.030434231198036,47.27191219988621,5.768072682141453,6.588304611397755,37.84202520124408,26.15481044860452,21.771804446422365,17.757897195840794,14.176115522253749,11.061669178885264,8.429568764375363,6.2828641801353555,4.621230255137467,3.445782696549504,2.74328818185465,2.435282395241984,2.362659537946954,2.3691474261689436,2.3641645174967567,36.18875757197617,30.746857569005236,54.88567909258733,47.59332302317946,40.32849076461072,34.61540024617247,27.358400243311124,13.986759256828709,9.997523304601945,6.682162962638259,4.0192834146545175,2.03129596129325,1.1041727395661158,15.151267057963668,3.3847301281838202,3.486080310273023,3.4893146991303317,55.15210249533702,31.404595155086128,23.062447278120572,46.64736719718958,39.40127550756298,32.49015548967417,26.10024433524213,20.348385101316087,15.295560351079654,10.959102010835153,7.323448404151323,4.349441622050267,1.9824899514687444,0.18152703783507773,1.2054206294185144,2.156179645251345,31.009023141733614,93.0109768189969,59.626822583877626,48.859053692047524,38.9751374462484,30.13564163375463,22.417974566327562,48.44979953578585,72.83702933706428,59.22289225082986,46.88631668544133,2.070594693225446,3.6658308299875615,6.667885807147445,7.406959451684184,8.78123408055392,71.26655741746016,331.6394139085487,287.8158068337262,207.49785596968513,166.86117215461277,130.2504286274153,98.06346917889572,70.41932194486967,47.2272613335213,28.24822269439289,12.921403269168938,2.0382468600375097,7.678727160605445,13.682063332398423,17.610859165057196,19.821608475270562,20.671108257606587,230.0599017883507,196.9623382872334,165.30334226597526,94.05494522938255,114.3597761948175,89.58461833233041,67.74806336944845,86.09530019628426,27.836406283079,15.041406359116586,43.29965044106147,30.549536628230282,20.219886436779007,12.36459444685034,34.92220281485905,34.692453612278975,352.1809466166562,336.2242403672348,261.85486664143747,213.60101600623148,110.25589172349144,80.02897763993249,54.60770479672317,71.70868964366542,49.190059832812004,9.774654757095874,16.222770649140315,110.2540618017224,27.30280251346421,82.5960757195429,89.4675025134463
Page Absolute Saccade Angles,-97.86630860539199,-101.26458725728895,-90.14658689845886,64.94783946017294,92.97001814994421,85.38162871789926,78.54552602945758,78.32877925270364,81.36769754251408,90.85158246098376,80.01573550265248,-135.323272314947,68.94452319220517,98.20370997462422,-97.89078912698827,-94.86927077507349,-92.30531898495839,-100.3676796709345,51.93294878077886,-64.03184479354277,-71.32381714431466,-52.57070820293719,23.40644805098969,-54.50539888965531,-68.44528918716385,-68.34549790681973,91.61377221085527,103.71364141961921,120.64046379270451,118.04292507736572,106.68747763721926,106.54322403831446,106.38857004774326,109.25571084693784,113.32773875145438,-26.466560417998505,-3.962098792747103,19.22725846074447,44.940195516308286,-68.17654254001656,-65.30790791744835,-82.24682917494016,-84.18387368729763,-91.00215175806728,-96.68010984657033,-49.59731357536683,61.45897114671252,87.3356310195064,92.9476139747807,-87.49612386545114,42.56428901914568,68.13769562743262,71.33777056503538,-131.64258046285894,-161.21332392725662,-99.15119019053924,-99.52928904080277,-116.1682629997649,-117.61568782912927,-144.47697322548137,105.86251476469602,105.06806403244147,104.57438653066073,104.04449579947601,103.44586261613009,23.72741676542406,-72.80957877793935,-88.79851242030607,-83.7112781198241,-65.47235065012364,-65.44114423809266,-65.40915410828848,-65.37475264900937,-65.33580022763117,-65.28903317892933,-79.53388102288703,-52.24484480624154,-39.94763127885803,7.200792669507264,141.6050035369185,109.0887741020974,100.57019346284437,100.57676102743619,100.58354946550033,100.5909136098964,100.59933316295528,100.60955761901802,100.62292359048124,100.64218545324164,100.67423385571422,100.74283536379191,101.02346418195907,-80.18462736752743,-79.63111941876075,-79.54202848584198,-79.50438097528752,-90.76924072109338,-92.5722163043054,-79.75167425507918,-82.44910752771193,-91.23737359696145,-93.796158510676,-118.39140985919505,-115.70432824484199,104.59935849821964,-100.5249908912851,143.95230519121284,-92.9461586289337,-107.7232891537514,88.90827246704005,106.17949824832415,89.48170158590813,65.10851824833041,68.93187966177682,72.16704358205405,78.9126621846359,65.84133928912293,79.0279938045454,76.74535900435401,76.8152138468752,-38.16447670459744,-60.315870820368794,90.41069460061888,-57.066928699818945,-90.86525880947492,-78.32894438322472,-95.88049752195924,-94.15658645515173,125.60707789064914,61.274917472064274,-14.252057714656837,-19.421090256999992,-36.33329404814498,-43.16162029337706,-33.26703894317952,-40.63594529031164,88.99907439695991,91.09937868966783,-169.9558324971831,-168.577679473802,-154.41477563774603,136.25665146560723,155.7732592163754,-73.03602785445796,-81.9743826568244,-78.76224571832587,-78.43167204506528,-78.06665583443436,-74.44732907249998,-78.73873968432555,-78.45958804038055,-78.0274955120507,-77.21839028597653,-74.9768576408573,-28.99462839107145,95.27014074510649,98.02839475387563,98.93327949988857,99.39876591504857,135.07636373564233,130.16272873611538,-129.318574357514,71.66411024235289,72.2994320944812,-120.90302154421411,-142.89685758198928,-143.43159575896206,101.19634315560009,-84.60624184183247,-82.58873294097738,-80.72493870944133,-78.9219378505901,61.47711089572637,61.408053352854814,100.27807810570893,93.5098679721924,93.5792763575795,97.6795747636584,113.08087016152194,114.77024910019374,116.8685253649248,119.6826087894181,123.85945216703388,131.02750457115604,146.36698285508373,-173.1186829621685,-120.088610909609,-97.73057187930102,61.92123985745213,-91.57304312615938,106.33516261679664,93.37597039671876,125.5755747039137,-178.70732489154994,61.70617457968266,56.718554432270125,-138.41715271865522,-124.10109417903739,-114.43298352814696,-107.55204342853362,-102.33268421848149,-98.1296033713592,-94.558464090543,-91.66543008721004,-88.08015544522466,-143.93383699241198,-75.07889474616196,-76.6946470761613,-68.31642138977423,-67.30202668880007,-66.07002373375109,-64.46102123033711,-62.15007864226822,-58.343715357092194,93.40332483729176,96.09733409576071,96.37858721966035,99.07144266562676,96.01937406910871,96.18974861867177,92.0445528365288,116.38775419158334,125.25400391593124,-124.68580579541424,-119.35389990689875,-114.88771913173171,-110.97030723691088,-101.42173853671025,-96.78637574081225,-92.37497624132627,-88.02696943183834,-68.49265225439004,-47.14129291286961,-37.6147449106421,-67.24768801916295,75.93089727938636,75.38264429070772,-68.3726718157501,-142.00208840996166,-145.72002536336655,-149.7633169381971,-154.34888093392138,-159.78600470462987,-166.5420612149368,-175.33783132838133,172.77851431693554,156.685237756886,136.51892399946632,115.41093456918016,97.42975126302852,83.88112295325033,73.92781028227073,-71.2104733247197,-70.60467537698389,66.56903596615743,67.21730090498548,67.86865477980368,95.37196920158331,64.39361012703135,53.463809161151225,50.914573519629535,46.97339082770168,39.72227146928108,21.87158183951153,-33.593670053398924,172.1561741396498,-56.1216823215092,-66.23877800510859,-73.4656450049261,93.67786955623059,-85.30806199726018,-138.52110933582094,149.51476331042107,149.600008880083,149.6903664392288,149.79107063113213,149.90978048868863,150.05932946814372,150.26433055912204,150.5804305773959,151.16844599226906,152.77228120057455,-177.55160280008388,-34.50358155875966,-32.36228417489561,5.053136983321553,66.30053978961989,60.968457683737604,60.58622936806494,60.15451643142599,59.63776848892981,58.974497261539135,99.94695360878094,106.83548350159464,108.70689106760221,110.85331825806915,148.48219731943084,-111.38521620908767,-98.34221912743425,-95.08448185471914,-92.61629341866505,-84.67924406011736,-78.20751405422746,-78.82499871800394,-73.83044770484301,-73.56803804273119,-73.25941228958095,-72.87170968362508,-72.34228252675324,-71.53067445818488,-70.03685176544758,-65.60578975726101,-17.403677019645645,94.75248737440126,100.59883653477922,102.47787084587522,103.43530095045487,104.03748458913964,117.76992829006794,118.89114396328071,118.79499663064045,128.62709301465205,117.36240424073577,116.95396792073741,116.4449651962566,105.20416596912276,119.38987839797883,120.55002862013424,95.57975891275284,90.74374928115404,83.08445725696828,69.0139267047212,-78.3812678298293,-76.95783385058226,-68.27298550051427,-76.81974369830908,-67.45984805868845,-67.18880414550216,-61.91536543255197,-60.45046154405075,-58.266564453431215,-61.1797321068349,-59.649838476983426,79.50528112861296,-97.58978082496478,-85.59237210277965,108.98555401319412,-88.0244037356511,-105.42025215988437
Page Relative Saccade Angles,176.60172134810304,168.88199964116993,24.905573641368207,151.97782131022873,172.41161056795502,173.16389731155832,179.78325322324605,176.96108171018957,170.5161150815303,169.16415304166873,35.339007817599466,24.267795507152165,150.74081321758098,16.094499101612445,176.97848164808525,177.43604820988492,171.9376393140239,27.699371548286656,64.03520642567837,172.70802764922811,161.2468910586225,104.02284374607311,102.08815305935498,166.06010970249145,179.9002087196559,20.040729882324996,167.90013079123608,163.0731776269147,177.40246128466123,168.64455255985354,179.8557464010952,179.84534600942882,177.1328592008054,175.92797209548343,40.20570083054712,157.4955383747486,156.81064274650842,154.28706294443617,66.88326194367515,177.1313653774318,163.0610787425082,178.0629554876425,173.18172192923035,174.32204191149694,132.9172037287965,68.94371527792065,154.12334012720612,174.38801704472576,0.4437378402318277,49.93958711540317,154.42659339171306,176.79992506239722,22.980351027894315,150.42925653560232,117.93786626328263,179.6219011497365,163.36102604103783,178.55257517063563,153.1387146036479,70.33948799017737,179.20554926774545,179.5063224982193,179.47010926881526,179.40136681665405,100.28155414929397,83.4630044566366,164.0110663576333,174.91276569951805,161.76107253029954,179.96879358796903,179.96800987019583,179.9655985407209,179.96104757862182,179.95323295129813,165.75515215604227,152.71096378335452,167.70278647261648,132.8515760516347,45.59578913258877,147.4837705651789,171.48141936074697,179.9934324354082,179.99321156193585,179.99263585560394,179.9915804469411,179.98977554393727,179.98663402853677,179.98073813723957,179.96795159752742,179.93139849192232,179.71937118183283,1.2080915494865039,179.44649205123332,179.9109090670812,179.96235248944552,168.73514025419414,178.197024416788,167.1794579507738,177.30256672736726,171.21173393075048,177.44121508628544,155.40474865148096,177.31291838564695,40.303686743061625,25.12434938950472,64.47729608249792,56.89846382014654,165.2228694751823,16.631561620791423,162.7287742187159,163.302203337584,155.62681666242227,176.1766385865536,176.76483607972278,173.25438139741811,166.928677104487,166.81334548457752,177.7173651998086,179.93014515747882,65.02030944852737,157.84860588422868,29.27343457901234,32.52237669956218,146.20166989034405,167.4636855737498,162.4484468612655,178.27608893319248,39.76366434580086,115.66783958141512,104.47302481327888,174.83096745765687,163.08779620885502,173.1716737547679,170.10541864980243,172.63109365286786,50.36498031272844,177.89969570729207,81.05521118685094,178.62184697661888,165.83709616394404,110.67142710335325,160.48339224923185,48.809287070833335,171.06164519763354,176.78786306150147,179.6694263267394,179.6349837893691,176.38067323806567,175.70858938817443,179.72084835605503,179.56790747167014,179.19089477392583,177.75846735488076,134.01777075021414,55.73523086382205,177.24174599123089,179.09511525398705,179.53451358483997,144.32240217940625,175.08636500047302,79.48130309362934,20.982684599866868,179.36467814787167,13.202453638695324,158.0061639622249,179.46526182302725,64.62793891456212,5.802584997432568,177.98249109914494,178.13620576846392,178.19699914114878,39.60095125368353,179.93094245712845,141.1299752471459,173.23178986648347,179.93059161461292,175.89970159392107,164.59870460213648,178.3106210613282,177.90172373526892,177.18591657550672,175.8231566223842,172.83194759587786,164.66052171607228,139.48566581725223,126.96992794744051,157.641960969692,20.348188263246858,26.505717016388484,17.908205742956017,167.0408077799221,147.80039569280504,124.28289959546366,60.41349947123261,175.01237985258746,15.135707150925313,165.68394146038216,170.33188934910962,173.11905990038665,174.78064078994788,175.7969191528777,176.4288607191838,177.10696599666704,176.4147253580146,124.14631845281268,111.14505775374995,178.38424767000066,171.62177431361295,178.98560529902585,178.76799704495102,178.390997496586,177.68905741193112,176.19363671482398,28.25295980561606,177.30599074153105,179.7187468761004,177.30714455403358,176.94793140348196,179.82962545043696,175.854804217857,155.65679864494544,171.13375027565212,69.93980971134545,174.6680941114845,175.53381922483297,176.08258810517916,170.45143129979934,175.36463720410202,175.588600500514,175.6519931905121,160.4656828225517,158.64864065847956,170.4734519977725,150.36705689147914,36.82141470145069,179.45174701132134,36.24468389354219,106.37058340578847,176.28206304659508,175.95670842516944,175.41443600427573,174.5628762292915,173.24394348969307,171.2042298865555,168.1163456453168,163.9067234399505,159.83368624258034,158.89201056971382,162.01881669384838,166.4513716902218,170.04668732902041,34.86171639300958,179.3942020522642,42.82628865685867,179.35173506117195,179.3486461251818,152.4966855782204,149.02164092544805,169.0701990341199,177.4507643584783,176.05881730807215,172.74888064157943,162.14931037023044,124.53474810708954,25.749844193048716,48.277856461159,169.8829043164006,172.77313300018247,12.856485438843313,1.0140684465092218,126.78695266143924,108.03587264624203,179.9147544303381,179.9096424408542,179.89929580809667,179.8812901424435,179.8504510205449,179.79499890902164,179.68389998172614,179.41198458512685,178.39616479169447,150.32388400065844,36.95197875867578,177.85870261613593,142.58457884178281,118.75259719370166,174.66791789411772,179.61777168432732,179.56828706336103,179.48325205750385,179.33672877260935,139.0275436527582,173.11147010718634,178.1285924339924,177.8535728095331,142.3711209386383,79.86741352851851,166.95700291834655,176.74226272728492,177.5318115639459,172.0629506414523,173.5282699941101,179.38251533622355,175.00544898683907,179.73759033788818,179.6913742468498,179.6122973940441,179.47057284312817,179.18839193143162,178.5061773072627,175.5689379918134,131.79788726238462,67.84383560595309,174.15365083962206,178.120965688904,179.04256989542037,179.3978163613152,166.26755629907174,178.87878432678724,179.90385266735973,170.16790361598842,168.73531122608372,179.59156368000163,179.4909972755192,168.7592007728661,165.8142875711439,178.8398497778446,155.02973029261858,175.16399036840122,172.34070797581427,165.9294694477529,32.60480546544951,178.57656602075298,171.315151649932,171.45324180220518,170.64010436037938,179.7289560868137,174.72656128704983,178.53509611149877,177.81610290938048,177.08683234659628,178.47010637014853,40.8448803944036,2.904938046422276,168.0025912778149,14.577926115973776,17.00995774884522,162.60415157576674,
