,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
AOI4 Saccade Lengths,111.50266864929313,117.78699075833414,39.10713365820856,31.96481408400232,25.14751807999547,147.73250799102254,51.14031831764477,116.31570874332978,147.40370086481596,59.14253523837184,63.09442986575829,198.86935180154285,146.98465171185,229.70045207568745,77.19383302003902,119.7963692358687,51.3166359178143,26.887981271598967,162.71673617460857,294.58385497888025,180.3378871095769,58.61314680400499,80.91846056272125,74.20502061755475,34.220046354807735,573.6391893483017,79.76584554820694,228.11593993885216,36.40960098871537,179.06972102087963,55.256898252926725,76.98041725077911,45.04178270024166,162.27376305916795,150.66056514798865,113.94443607549296,151.67408409676202,218.32527174046956,97.58172722888173,290.59709702208505,0.23968858794030512,55.13253509329039,73.805068729859,73.68793426554929,95.58416798857776,97.27509834338359,64.2197030119447,20.994642724540963,44.90434433510494,106.2766559037882,110.35019963689187,14.703758782829802,50.339655576677735,29.4528956026664,282.21250181868396,223.57978528237788,36.68522610066667,106.7904614221486,75.57541085784743,102.57138803589788,181.5783290038505,142.94057267529055,237.93374525316887,63.762948308137055,114.03593611628229,87.14982383984965,72.86302264459117,296.3356796022469,237.63100312688215,134.74113535053925,34.34870896191621,56.31791072729515,77.20955833195481,238.75735467831873,48.32491362507514,106.8641394187196,213.283048985625,300.32399697804794,369.9509124794788,293.15782279914424,78.35711991837461,90.54655914060473,178.4508446347244,156.85846365358387,173.81686583084272,68.55728787111644,102.57593624736991,75.84587244319005,218.93480974953206,40.18517164255404,38.24307341968675,91.51769204972616,34.96674936525226,78.7283105066533,111.11106371308504,113.31693762435475,9.332989234216729,53.30175377076066,33.17264299213921,39.41752261288234,33.99007722517198,60.44497065525318,147.2682063322746,88.3677285200304,105.19171334178095,19.002618814084727,106.3822917900365,138.03223517518404,92.3484830058349,8.1085199746601,335.3494902417163,89.46194966793354,47.66463660014922,91.69152000856269,61.84804540930932,92.42516043745375,151.81735065736999,141.44870668912435,35.93813487024048,93.36731248334308,69.3484334118735,102.38078076846487,113.30996645766454,215.8900358527379,196.55996886106237,82.88189228074874,133.20347648595717,200.55510390808917,135.33546939565502,96.3360597975063,86.17816034140277
AOI4 Absolute Saccade Angles,-178.2373209812036,162.79801405144843,-38.87406205190511,-164.51319234837666,43.72657303279583,173.4776279797156,-102.69012630538853,31.502037562767974,-5.54485211559846,-67.63794379165111,10.187179616287366,-176.46167669312575,167.12967027962085,-1.1264521386415667,159.0192731072231,-167.17442238300274,-17.99689850589974,15.919141071558332,-8.31984958646575,-178.83702858357955,25.94300234039941,-90.4019258240714,-170.48037921353304,117.27520680834571,-102.58979874003194,4.212847125941401,-154.20571052667384,-175.4066107522587,-125.94608678572497,169.09540812736768,-167.48391514397784,50.83554628422632,-15.076205623363602,2.465915833909387,-179.24957220581032,-6.170733256296201,-160.21932305442996,166.15990377406507,10.154310604437809,-4.673097537148024,154.3178750307914,160.38211142617496,-107.45992162375804,-0.37628328222061325,156.13524340978478,-167.4580830864975,-173.50204160449636,29.73802068803697,38.75837642244473,-8.895842541299826,-169.26631609680513,-74.92015824387907,140.84834162498046,-149.54508933427383,-3.1535342374610327,178.15780523390524,-166.3149407067321,131.12636148475073,-83.38952231662454,139.35645885100215,-3.035013789892332,-7.613557699403507,-169.18613562942315,115.57124908061866,6.192469383686056,-12.403265782442864,-141.05223316531908,12.014544450853231,178.65144060082935,-179.88172941318473,-170.18422823278587,-29.09369883141522,-155.86328463736731,5.14668471209924,131.92563397725527,-179.5140631882842,-3.1040593384581503,-171.7684190814207,7.984043676114157,176.25055318245467,-56.145654307439116,42.70727172141682,-4.819108684454432,-160.60255561203076,20.605159780302255,-157.49431180147457,19.20377286786561,-58.493907029154556,172.04258018619007,133.63423798580908,-109.42396015520714,14.31985977231428,-160.78962509502242,158.84549878190504,-140.25395751225128,7.829098809569639,9.066014581335494,62.09784215553372,-132.48921622925198,179.62061278126777,172.25434189636425,-45.21368784960602,-0.12372363988240524,-178.02309708204444,155.14594381689497,-114.60934928943996,159.92347371745566,-175.93127984506287,-144.6706087272822,131.80636769802132,10.526235982309045,-38.696010261403266,91.75732800322645,-38.60756102790372,87.56793262603826,-142.2960309997021,177.69605712212763,160.80110420892905,19.915026872833856,-4.141181767476509,-63.85518187067073,164.8692872935059,-10.312412982456504,-1.0187746779055766,160.38321119136637,-159.56186962239244,-19.59001247578234,160.63293341604063,-31.149722306164186,179.91958549784962,1.6279178440298674
AOI4 Relative Saccade Angles,161.03533503265197,21.672076103353533,54.36086970352844,28.239765381172507,50.24894505308021,96.16775428510412,45.807836131843494,142.95311032163355,117.90690832394736,102.17487659206152,6.648856309413116,163.5913469727466,11.743877581737573,19.854274754135343,146.1936954902258,30.82247612289701,146.08396042254194,155.76100934197595,9.482821002886192,24.780030923978966,63.655071835529206,99.92154661053834,107.75558602187878,39.865005548377646,73.19735413402665,21.581442347384776,158.79909977441508,130.5394760334662,115.04149491309259,156.57932327134546,38.319461428204136,114.08824809241008,162.45787854272703,1.7154880397197179,6.92116105048587,25.951410201866253,146.379226828495,23.994406830372753,165.17259185841417,21.009027432060584,173.93576360461645,87.842033049933,72.91636165846259,23.488473307994614,143.5933264962823,173.95604148200118,23.24006229253331,170.97964426559224,132.34578103625546,19.629526444494697,85.65384214707395,35.76849986885951,110.39343095925429,33.608444903187205,1.3113394713662727,164.47274594063734,117.44130219148286,34.51588380137525,42.74598116762667,37.60852735910553,175.42145609048885,18.42742206998034,104.75738471004182,70.6212203030674,161.40426483387108,51.351032617123785,26.933222383827687,13.363103850023911,178.53317001401408,170.3024988196011,38.90947059862935,53.230414194047924,18.99003065053346,53.22105073484395,131.43969716553946,3.5899961501739694,11.335640257037477,0.24753724246516884,11.733490493659502,52.39620748989377,81.14707397114408,132.47361959412873,24.216553072423675,1.207715392333012,1.9005284182231774,3.3019153306598223,102.30232010297982,50.536487215344614,141.59165779961901,63.05819814101621,56.256180072478585,4.890515132663318,139.6351238769274,119.09945629415627,31.91694367817908,178.76308422823413,126.96817242580175,14.587058384785692,132.10982901051975,172.6337291150965,37.468029745970256,134.9100357902764,2.1006265578379617,153.1690408989394,89.75529310633492,94.53282300689561,155.85475356251854,148.7393288822193,96.4769764253035,58.71986828428772,130.7777537562877,49.54666173537029,49.63511096886983,53.82450634605802,49.86396362574035,139.99208812182977,163.1050470868014,39.11392266390481,155.94379135968964,120.28599989680578,48.72446916417659,4.818299724037627,170.7063616954491,18.59801413072807,139.94508081375878,40.028142853389916,0.22294589182296815,11.782655722204812,31.069307804013803,1.7083323461802493,
