,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122
AOI2 Saccade Lengths,107.41163201363254,56.93209164593132,21.44497356147213,38.045464996326444,154.61226643255128,40.57814837155906,38.969283134471624,32.40991363951939,89.5981338145702,73.13072496336167,105.12030784472857,23.593399531888664,97.7852696647951,49.892873558362126,63.24518221206287,67.90179347603899,38.41751518358156,45.678799457079165,97.37142760236786,207.51964765626056,51.967983186616415,64.56500904042862,7.826178919724973,33.119582741230374,89.80474898123565,138.4077524832359,108.85666792261122,51.05735571926391,161.3230724697066,357.7282571518143,10.97319215080799,273.0467732069219,24.4689893432436,248.1417053080962,314.4577847787429,107.18734267384559,54.79581315802762,56.34515868366295,150.75412693213946,100.45129626492681,49.1973221601237,266.36515279883605,288.6940440993868,178.9048534054792,60.11257767545105,62.72652205511869,34.480792491009275,55.086314073675254,158.1182131609537,83.02440707132529,152.96256093207853,77.0137073820815,29.73612636257996,10.568375620069768,57.34128720768677,36.86218031339029,111.05387631642043,28.391702065789218,46.94479334638541,87.83453631238885,36.645946981939716,106.21406486500982,67.3601979485367,146.43476457144646,292.5338618969464,95.29035161845505,102.63895853700016,25.95689862619194,104.27475656229086,185.60380070721845,76.0292220954502,229.04612042678383,161.4566365970129,181.38870503606506,89.29528397078248,69.87300409633997,68.27446265604762,110.90559678748582,44.74445935589134,56.1438158360441,189.0863936540587,80.82155754146538,138.49394371363454,93.37131340126912,18.249592487491018,101.85263480426038,96.81601542488424,27.790812898098263,163.14357780409208,302.43755768740965,145.031766730317,120.10833411294976,95.45382686063401,35.68365632324462,86.4880689368756,300.37577468764295,83.58026676885954,21.944168662375425,38.824280530355196,48.00732398220673,356.70620496052857,306.9818758258947,477.62757476079963,363.5723032503115,121.18695073983056,149.2420281553771,125.39153153535985,148.19035536598284,51.772508721421445,57.629483458949835,83.29104372328754,83.97422153939571,127.97319889276416,89.02138213746059,7.616360868214811,75.49184766801052,109.35608671744083,154.77188208176776,80.20062821944568,132.0372143724033,111.48033108248896,101.80789229239222,26.364078040860555
AOI2 Absolute Saccade Angles,-46.360265369835844,-179.3345547972702,6.211333990668515,119.59296401720626,14.72481334413552,-70.20494595875026,-128.1899976088566,91.33631152963139,-162.4511009765065,-179.44670228366593,39.280499029546256,-142.59928807803303,-173.12861699020405,161.65484550364383,-45.88929844691458,15.230992430901015,78.94745199309803,-176.27122945651985,-179.65338370049852,-0.7978822521982822,-161.09668005119138,-157.0081942546144,-115.72075618356705,76.62328753414533,0.7864694655009463,-2.980288646573127,9.627239351975266,173.7501550702726,-172.25367503268694,178.73098921012956,-40.896369327155654,1.3033659340706831,41.58319135875325,-12.077997033061683,179.6874559585879,-178.89130125085015,81.08750535752975,-167.5930930616461,-9.537989722864298,173.68962608306035,-1.471240480718075,5.217466896784978,-172.8993889280301,-11.095239941370224,122.39951116429417,-176.94286716772396,-23.3977832109702,169.32369838446309,-16.157401725484956,126.69655440921609,179.23272964026327,-5.404218250961683,-59.982296476985894,-177.39612340551975,134.46016931117924,-12.990685750068424,-5.531130549437137,-140.0384474432784,-147.08844550323056,169.41549647259544,27.48439041451696,14.331340944033649,-90.02585374303374,165.77332488454394,5.782892269086967,-159.193333548789,178.5769743299891,93.10204294062677,-164.54193934227368,-13.613715734669698,169.73957619940944,162.61528137153581,-4.10216161108697,-21.692382639407253,179.78835599225042,74.0569302773163,-28.85177762242145,-167.58508383450766,171.67871179441022,109.39612403032731,-17.81855128469626,-5.403475700792765,177.27871338542067,143.91158143996554,41.9245385849119,-127.94505598910439,137.77188371487765,0.5601126818961825,179.73713238248322,-5.827941738981511,7.650257476669642,167.3424167764849,-171.99160162849466,-63.7124439950945,-171.4394529182159,10.753636459945252,-42.51439795914314,-126.29567191793247,132.22700336425277,-169.8642060950454,-0.3047543880716983,174.69196244391546,176.8482234962162,-10.002592642151717,165.7914136864443,-177.5114336210709,161.35706937937945,-2.321531361670752,-10.033668128448847,-53.387864407517526,13.324970151026719,32.9988533935589,-178.76219320138267,-131.61571860960356,137.52357436140232,150.07058105438625,-12.522271652871082,-12.126068211256639,149.33180139179933,162.71019871266904,-171.47795921605774,-15.964603412543555,137.60294122028853
AOI2 Relative Saccade Angles,47.02571057256567,5.54588878793868,66.61836997346226,75.13184932692927,95.07024069711422,122.01494834989369,39.52630913848796,73.78741250613785,163.00439869284062,38.72720131321215,1.8797871075792991,149.470671087829,154.78346249384788,27.544143950558396,118.87970912218442,116.283540437803,75.21868144961788,176.61784575602132,1.144498551699753,19.7012022010069,175.911514203423,138.71256192895262,12.344043717712358,104.16318193135561,176.2332418879259,167.3924720014516,15.877084281702665,166.00383010295954,170.9846642428165,39.62735853728523,137.80026473877365,139.72017457531746,126.33881160818507,11.765452991649582,178.578757209438,79.9788066083799,68.68059841917585,21.944896661218202,3.22761580592465,4.839133436221573,173.31129262249692,1.8831441751849274,18.195851013340132,46.50524889433562,119.34237833201813,26.45491604324624,12.721481595433264,5.481100109948023,37.146043865298964,127.46382476895283,4.6369478912249535,125.42192177397577,62.58617307146616,131.85629271669896,32.549144938752356,172.5404447993687,45.49268310615876,172.9500019400478,136.503941975826,38.06889394192152,166.84695052951668,75.64280531293262,75.79917862757765,20.009567384543043,15.023774182124043,157.77030787877808,94.52506861063766,77.64398228290042,29.071776392396043,3.3532919340791305,172.8757051721264,13.282557017377231,162.4097789716797,21.48073863165766,74.26857428506588,77.09129210026225,41.26669378791382,159.26379562891782,117.71741223591711,52.78532468497643,167.58492441609647,2.6821890862134268,146.6328680545449,78.01295714494637,10.130405425983728,85.716939703982,42.78822896701854,0.8229802994129527,5.5650741214647415,166.52180078434884,20.307840700184755,159.33401840497956,71.72084236659983,72.27299107687864,2.193089378161118,126.7319655809116,96.21872604121067,78.52267528218523,122.09120945929814,10.44054829302631,5.003283168012834,177.84373894769925,6.850816138367918,4.205993671403997,163.3028473075152,158.86850300045037,16.321399258949786,172.2878632332219,136.6458037209313,113.28716544145574,160.32611675746784,31.761046594941572,132.8535254082209,89.13929297100584,167.45299330701604,17.40714729274267,179.6037965583856,18.542130396944035,166.62160267913026,154.18815792872678,24.486644196485823,26.432455367167915,
