,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196
NOT_AOI Saccade Lengths,31.23151627121021,74.42342716799604,15.949008241905894,36.1189498711586,14.636379060252278,12.499704252146303,10.92594991859529,9.738988829022226,8.79147251495136,7.977335303232143,33.3714549720043,178.84154127949057,193.10873554657974,291.8181010909358,104.18220734104447,76.92148279632124,27.07519021460915,22.41686161245613,84.76526743272888,38.57184530814084,34.876178814618804,36.24178143675607,54.654641537400224,10.55052416494893,15.896185646288547,16.427011504422765,151.6243508859905,81.43991283279888,66.5005429159956,29.369469117149073,23.817316336084875,19.06642747740593,70.56275669087132,84.81378657721682,76.3801897704954,54.663125885944176,20.029553440458933,16.56074254108299,40.34988319992329,135.61911727983056,74.6070441294474,34.77752107643232,93.22813769785542,41.38616167576444,32.81344236066838,60.06545188496858,157.9502725707721,145.5274094387025,102.3691019840192,80.66123209098367,136.67665635893056,46.42788120408105,52.83407331312377,35.30248679032366,43.318918777584194,34.07353644077211,29.7018225075156,22.31374157813628,19.40109782516421,34.2668406674916,52.810885609397715,81.68297209096066,40.99970325756302,244.0738092537268,53.89111257757638,40.98583811752483,2.826230437153188,2.5651107250251632,16.907759138302875,11.427105480154818,7.234827642128485,10.66214703090815,8.501870388215915,7.046449251526761,91.4829043348276,83.23968113850142,416.66873819756,46.219588368691035,141.87551926623604,102.74599402946983,29.756696756415657,100.86853849848933,46.33069899476705,34.369250804814385,56.408429297109215,226.19752248882014,43.85909647380263,18.145046415720785,15.06484161446128,50.016088994647944,17.57210771148999,117.10506573367607,104.65463941022516,98.18454776259014,78.95442513946584,26.54209523174686,61.840112189224435,53.978865646775496,11.975784709353857,23.988684987527897,20.493137886232592,54.81744549178431,38.7724866140551,27.158946717528398,31.631308775101125,16.922929419520926,40.03965606162315,31.363402397879167,42.25633796631192,68.16259485241197,54.16847119706659,148.61254013349864,136.33379279469136,167.74470030309226,203.87487310030988,72.93345671398987,2.1769056821074986,59.08167499712253,85.54554887026332,91.23413645629418,31.802160489239537,26.54692607543143,43.72838214367874,74.00923525958156,59.033062349841316,32.2701546850383,18.552996214545885,14.145677682243454,10.383606752175425,59.78749459959546,150.02603703396747,73.77265367960362,62.10385194630892,11.092310393114467,37.75541161527254,34.96806668754334,28.70594902828569,12.137868825367054,9.652214829901501,6.973028298655356,64.00198803171092,12.424831334175892,15.273434128580448,50.99595639439205,28.144793933619653,3.7307360361580835,46.34053599922216,124.77608219870159,36.18770314515632,29.23141659648853,22.939275914341504,17.387108517131793,31.21573808658072,28.6855567557241,15.551272878242658,35.101581257500506,28.462355472528042,35.877002253976244,20.76918000420259,16.88787953114076,70.20270124737485,98.20776755692187,48.44552177134018,27.078297839566353,96.5455757245298,42.495055652417804,57.971122888078774,24.07733706460177,20.662917406930212,68.35421811269055,41.29285877892564,16.616594261507537,12.808763915788344,9.556521615897148,6.864954885023644,4.737012065324797,3.031475501526228,38.265338422568796,41.638477275087546,33.87377754123698,26.799413712222908,20.515154316929824,15.063432704030685,7.899549195202163,4.738558089573332,51.61472416191376,30.85939746360156,26.46833769846387,22.199151326344516,18.1875165776567,15.838618656841376,12.412264470967584,9.418079790749257,191.84304705434275,39.381762526926664,19.95963289015973,31.20304875055395
NOT_AOI Absolute Saccade Angles,52.694599618998,114.86713153187172,68.78823305887269,84.6730604912178,172.33872253802897,-175.28864909242438,-163.05436884829652,-151.47089462346233,-140.8544477767015,-131.29614368684702,-34.51267428762725,-93.23089155003339,-82.26299975093866,-91.40857546405582,-89.01122165504584,-66.60561521654924,125.07363067146844,74.94876024272257,90.84578392111214,91.28548609393302,91.52450876113768,-24.082808618308803,141.73398784671127,131.80699332400948,131.23822530172566,-117.45653812183139,55.95027343333535,114.68678671558453,115.31435714398708,152.92062066653304,142.88722954869874,179.06305301583532,105.49546559843299,-87.17955200785241,-78.6638961900586,-79.57704712958315,-78.05845195978114,-76.61348792201728,14.36959269640446,-93.87097045576962,-92.61996616786199,-88.42691387949363,99.93968515522023,-31.83797138831434,30.39578147540405,145.73424632403632,90.36215366752998,50.41403516507591,113.76244987552712,-136.91088623055788,-104.49876435762621,-137.91076980113527,-122.84519749382926,103.32810734062394,58.08750468113046,-56.54014654235445,-55.075055967674956,21.418521181703927,23.10094162422679,40.72395371277275,42.16300462489229,100.55168754338297,139.55888113188595,95.63100251978258,116.69578153211081,122.19152965603193,119.57111713667699,-95.38361973204707,75.31893870957872,67.63991490580487,54.310695390656086,154.82887753292013,176.0819698436349,-166.08201699363786,-32.27348425210807,-44.41982707454517,-93.08372663100518,-67.30491509266417,-96.54391211598123,-96.1070223222516,-71.71138283413464,-60.93940748147644,-113.8722831691495,-119.55186432488016,64.58227548831344,148.0500959144335,97.22466286618555,-118.30539590036929,-109.3453903386107,36.86955790826475,-110.81019324225103,22.29763707195465,-45.2999334425443,-54.465276603623394,-58.33060775302866,-61.18045041984611,24.61571225776357,31.466858238227484,135.96382636883106,160.4393730506387,73.42534318744403,43.425426298105435,62.07011751117861,-5.318039064992087,65.71811867939574,16.031376531434848,12.367844374219452,-113.38181471946248,-144.67705296797538,-129.15260103010527,-139.59378936615545,127.12267924444839,124.43289668809916,121.13363015578446,121.63486561751513,125.20658433708273,57.254062912192154,96.90100386928988,0.0024987261648101882,-89.60314872909134,-55.46131218135507,-56.70763980830443,-57.16122381672256,-166.58376438771487,-104.06519697732618,-133.1978502155653,-100.92361695832581,-97.63353495500174,-93.29176430717229,79.04002631082791,74.29762999762681,75.11991175605152,87.22041052410087,74.81770522917272,-158.4272821695384,178.693188420027,-0.09477283988169126,87.71712158244804,83.44119560909374,81.15968459784655,114.02250704838984,143.04697545336575,-23.58777718063145,-22.043387963403823,-0.7895243381320824,126.82092130389884,-80.27814532306496,99.66288727500547,94.87763941838568,95.3586271985891,95.91881607585415,96.61412535641824,-90.15621370733352,-89.99720192464406,171.40562177060266,9.528629946863573,15.86642991228066,74.481099743222,0.6596224454667777,-3.0789361731818383,-83.6073687036993,-97.72330953096625,-95.16360259522017,-127.03190145882358,-97.23368900482112,122.78328704348309,105.71729723658471,102.95480066371856,101.22173822883634,75.11089909290041,85.9670729340685,125.99611095299454,129.94768195244106,135.02288001200952,142.022145504958,152.47892688180616,140.995672226921,97.46104494826217,111.99035494415963,112.24199841708365,112.53064934854997,112.88251753726522,113.34468634709707,134.72128026026962,145.92071476817364,-39.93819132941686,-19.274817189248324,-21.02934982469749,-22.830016985226376,-24.764723329634663,-29.88186318526849,-32.498840826292835,-35.74862206282137,-81.46963639488924,-93.40150213964041,89.17186988081598,101.69387952532212
NOT_AOI Relative Saccade Angles,117.82746808712628,133.92110152700096,164.11517256765487,92.3343379531888,167.62737163045338,167.76571975587214,168.41652577516584,169.38355315323915,170.4416959101455,83.21653060078025,121.28178273759384,169.03210820090527,170.85442428688287,177.60264619099004,157.5943935615034,11.67924588801767,129.87512957125415,164.10297632161047,179.56029782717914,179.76097733279533,64.39268262055353,14.183203534979924,170.0730054772982,179.4312319777162,68.69476342355705,6.593188444833257,121.26348671775082,179.37242957159748,142.39373647745404,169.96660888216573,143.82417653286342,106.43241258259769,12.67501760628539,171.4843441822062,179.08684906047543,178.481404830198,178.55503596223616,89.01691938157825,71.75943684782592,178.74899571209238,175.80694771163164,8.366599034713847,48.22234345646543,117.76624713628163,64.66153515136773,124.62790734349365,140.0518814975459,116.65158528954879,70.673336106085,147.5878781270683,146.5879945564909,164.93442769269402,46.173304834453184,134.75939734050652,65.3723487765151,178.5349094253205,103.50642285062112,178.31757955747713,162.37698791145405,178.5609490878805,121.61131708150933,140.992806411497,136.0721213878966,158.93522098767176,174.50425187607888,177.37958748064503,34.95473686872406,9.297441558374214,172.32097619622616,166.67078048485124,79.48181785773596,158.74690768928522,162.16398683727274,46.191467258470226,167.85365717756292,131.33610044353998,154.22118846165898,150.76100297668293,179.56311020627038,155.60436051188302,169.22802464734178,127.06712431232694,174.32041884426934,4.134139813193587,96.53217957387994,129.17456695175204,35.53005876655484,171.03999443824142,33.78505175312456,32.32024884948423,46.89216968579433,112.40242948550103,170.83465683892092,176.13466885059475,177.15015733318256,94.20383732239034,173.14885401953606,75.50303186939641,155.5244533181924,92.98597013680534,150.00008311066142,161.35530878692683,112.61184342382931,108.96384225561216,130.31325785203913,176.33646784278463,54.25034090631806,148.7047617514871,164.47554806212995,169.55881166394985,86.71646861060384,177.31021744365077,176.70073346768527,179.49876453826928,176.4282812804324,112.04747857510941,140.3530590429023,83.10149485687495,90.39435254474385,145.85816345226374,178.75367237305068,179.54641599158185,70.57745942900769,117.4814325896113,150.8673467617609,147.72576674276053,176.70991799667593,175.65822935217057,7.668209381999805,175.25760368679892,179.17771824157526,167.89950123195067,167.59729470507187,53.24498739871108,157.1204705895654,1.2120387400912949,92.18810557767029,175.7240740266457,177.71848898875282,147.1371775494567,150.97553159502405,13.365247366002789,178.45561078277237,158.74613637472825,52.38955435796908,27.099066626963808,0.058967401929565934,175.21475214338022,179.51901221979656,179.43981112273494,179.30469071943594,6.770339063751741,179.84098821731055,81.40282369524672,18.123008176260907,173.6622000345829,121.38533016905866,106.17852270224478,176.26144138135137,99.47156746948257,165.88405917273306,177.44029306425392,148.13170113639657,150.20178754599752,40.01697604830419,162.9340101931016,177.23750342713382,178.26693756511776,153.88916086406408,169.14382615883193,139.97096198107397,176.0484290005535,174.92480194043154,173.00073450705153,169.5432186231518,168.5167453451148,136.46537272134123,165.47069000410255,179.74835652707603,179.7113490685337,179.64813181128474,179.53783119016813,158.62340608682746,168.80056549209598,5.858906097590483,159.33662585983146,178.24546736455085,178.1993328394711,178.06529365559172,174.88286014436616,177.38302235897564,176.7502187634715,134.27898566793212,168.06813425524885,2.573372020456366,167.47799035549386,
