Participant ID ,One language,Mixed,Alternate,Grouped
1340,4,2,3,3
4822,5,3,3,3
5418,4,2,3,3
7860,3,5,5,5
2793,4,4,4,4
,One language,Mixed,Alternate,Grouped
Average,4,3.2,3.6,3.6
