AOI1,AOI2,AOI3,AOI4,AOI5,AOI6,NOT AOI
0,0,3,10,8,4,77
6,45,32,47,41,10,352
5,30,55,57,21,15,375
3,38,118,80,77,27,784
10,57,140,103,118,53,1106
0,27,163,133,67,31,981
6,43,38,40,81,131,1081
11,73,170,105,60,20,989
9,57,63,89,95,56,824
0,18,62,101,101,72,791
8,51,65,116,71,32,795
3,24,35,63,43,4,474
4,13,33,33,26,12,260
4,45,80,80,61,46,821
1,2,11,21,25,12,234
0,1,9,29,46,44,347
3,17,40,21,21,21,328
3,9,26,38,44,38,324
4,7,30,52,81,29,537
0,0,33,41,50,95,603
6,7,17,25,25,21,305
2,8,25,79,46,33,434
5,23,30,59,51,57,579
3,45,53,82,35,25,565
8,22,75,99,88,39,874
26,47,70,71,64,31,759
17,11,44,48,72,65,575
0,11,26,44,27,42,449
8,42,54,87,65,41,613
36,58,99,94,101,68,1276
