,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
AOI3 Saccade Lengths,58.4718873718803,9.270864961908888,70.68069005559586,41.37325669784865,35.50842072025889,71.78973780108772,75.19426209725302,45.484234156080724,62.379235100225834,4.052361598915769,54.531969684444036,86.52547471421552,14.840193803767484,34.12933120994555,66.34105462239243,35.956333582435136,20.114945358279485,11.722532213646645,72.98849300161588,25.256415474909865,51.70279202233906,54.98892742279499,74.62676715328087,34.063484031749304,11.695748573473495,26.88329518721095,36.31310369188959,32.87916262623719,41.959094768178915,6.68477254918344,33.81071775107865,25.203977586599006,89.68635414075672,16.229433473531
AOI3 Absolute Saccade Angles,-96.3806569453042,25.821306322113255,85.4394651818261,-60.478243435466815,31.12244677939242,-175.47787061790953,-1.0089087036729367,-116.62010780060403,51.74658323878683,48.247004234611936,-138.59797668065067,-175.52828950828362,90.04874894578687,23.652385138187153,-14.87981157553107,25.128228046565013,-18.52871300748193,-72.4061632872077,164.4280802399618,47.240282321453414,-98.87754313237119,75.89160390373631,-177.6781765500129,-95.7030959044149,2.6793707112475853,-155.05514317312475,-174.23750513457958,41.16007221903085,63.78420441570331,-57.02116328454025,-125.17285352327416,0.9349705313659976,15.6338430546753,-178.53608190886433
AOI3 Relative Saccade Angles,57.79803673258255,120.38184114028716,34.08229138270709,88.39930978514076,26.60031739730195,5.531038085763407,64.3888009030689,11.63330896060913,176.5004209958251,6.844980915262608,143.06968717236708,85.57703845407048,113.60363619240027,141.46780328628176,139.99196037790392,136.34305894595306,126.12254972027424,56.83424352716948,62.812202081491655,33.8821745461754,5.230852963892506,73.5697804537492,98.024919354402,81.61753338433752,22.265486115627667,160.81763803854517,35.39757735361042,157.37586780332754,59.19463229975643,111.84830976126611,53.89217594535987,165.3011274766907,14.169924963539634,
