,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
AOI6 Saccade Lengths,111.48403263482042,101.92785601145312,29.412255030384035,12.796321478397525,27.488947502056607,237.8367095629521,42.595688844893125,25.66146043557823,17.35412765131857,33.24327545597361,10.701297382142796,3.042849219249075,10.119579838735008,12.598287433813152,12.233212361542801,134.3206680563973,157.293370720492,57.97417827276096,8.751428500390915,40.101568494010145,157.26802854942792,100.96141509946108,28.0699881793765,24.598955067312414,120.2268645065828,26.190163859068534,61.73784205200865,93.84017224252581,43.73740567927853,52.486699115404264,37.31423160972676,25.553831845073873,24.419990517437718,106.26429394301154,40.62161374760682,70.80076134895265,15.327373186924413,20.785482665596504
AOI6 Absolute Saccade Angles,27.298611739324116,-135.5504394863469,73.6013282150536,-177.6102887401906,90.9108730295778,-12.001848429149115,3.5763979588173282,-24.621437801786445,89.8100366794849,55.92314904803909,55.93423466615071,-124.13177658972383,-124.09372905729826,-124.08872029989867,-124.08646197420535,154.49447989650835,-166.12488815220775,135.4983938418335,-30.253504664790437,-17.83857538012761,0.6438848867708302,-139.5763676878741,154.61988377459625,-25.057168342462344,-0.00877687315173211,168.3353360288947,-0.8868358943572535,160.48854977592785,-49.75643287287633,47.72224076849377,5.765200087371902,-159.4656063098254,-157.28158747758528,-167.47133617208374,113.9167611306152,-148.55246717398856,141.68933798041564,88.9547243950018
AOI6 Relative Saccade Angles,17.150948774328988,29.151767701400495,71.21161695524421,88.52116176976843,77.08727854127308,164.42175361203357,151.80216423939623,65.56852551872866,146.1131123685542,179.98891438188838,0.06601125587453505,179.9619524675744,179.99499124260043,179.9977416743067,98.58094187071366,140.61936804871607,121.62328199404124,14.248101493376073,167.58507071533717,161.51753973310156,39.77974742535508,114.19625146247034,0.32294788294140764,154.9516085306894,11.655887097953595,10.777828076748074,18.62461432971491,30.24498264880417,82.52132635862988,138.04295931887813,14.769193602802716,177.8159811677599,169.81025130550154,101.38809730269892,82.46922830460375,110.24180515440419,127.26538641458617,
