,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
AOI4 Saccade Lengths,43.30004591317031,29.080642899249444,63.57897736730195,48.92607235085771,85.559116653768,26.756982523482424,22.491227184465597,6.051218087415135,47.89732504463508,58.1775555134703,48.52668440954861,79.32505857724999,20.959575125212062,36.608081771719505,28.797263684702862,66.12809202752813,82.35310885582533,56.796780889471314,196.8447148536737,50.40389702735438,200.5224208212404,174.6838495504801,71.5713859333908,40.70140939515186,150.24894243214482,129.4176665546381,82.93635469520424,138.62285601632527,13.225946845253214,166.51379099857755,61.055599113042014,49.67410122202615,24.286291386927036,34.215658548336314,54.88546897796649,145.8475354121645,62.62067418526838,39.37395053057286,22.04227482376792,22.273745162108682,44.67039590214981,72.16676317840268,61.11785882290358,72.63299892662646,28.45947597794446,12.368939740230877,26.041792840885417,65.91556313034904,58.23618888990666,12.194078188343386,94.44183006248835,15.088418328473509,37.17414230779781,66.08530689008575,77.67260035779894,52.711788078795806,64.74107206418856,20.973701055497873,161.2538459110873,260.22710803587324,147.98369792679526,54.11327767926934,113.84595391682218,140.54152639202718,21.540015570706455,25.022789823084654,73.75601726511597,46.92868450301237,103.34546209934358,27.871276123162527,26.19901259913458,112.9638505393935,16.63740605171755,41.64247093030056,79.11372561062156,55.55190116674294,122.90887560506371,67.41384280573152,25.35659633663301,21.109628970928746,68.19627585288059,27.276420247830256,7.596726361341012,63.358917525551206,29.9299468027988,36.973524926741106,21.81442150637827,42.616090278013615,6.5741595177847305,32.55517514055823,9.955907429143315,21.623948491487496,126.65098244605143,270.84976445758036,52.032971691773135,75.84055273984276,180.64416763468984,33.73104305409351,17.17920501842491,45.126851019031164,14.233106553025133,8.554710161832876
AOI4 Absolute Saccade Angles,-76.20267208272783,-103.19481591358822,65.7872017771437,-75.54379013978567,-172.5764905892622,60.90212597187938,-74.52892836845294,7.388674238370192,-4.589702722091251,163.66088643515525,74.93568018602957,-51.01090822545635,16.50392263056131,145.17970095375594,-49.98304027838082,21.216732481681007,-155.85508832456475,94.81381456372135,-17.72663983805565,172.01478808052244,-178.20087468899888,24.31067323531839,-137.51923253020448,-175.9742087766537,6.375779419024004,160.51020812889715,-118.93738220515937,11.796780592598815,1.6226520851747517,-166.7268687356235,7.424132413186703,81.92038082357361,-20.696553083082154,-65.62362047224315,89.2775474597,-4.170680381981313,-112.98194697361264,89.52910265265572,-16.51221071110348,128.94719580429054,154.26375653731543,-123.36724907317443,93.95810047007879,-6.7735987923617715,-102.66635629616913,-105.65638447728075,-91.87413143008901,155.15733229160855,160.28263148534526,128.7589825519045,-143.13524221309265,22.341202890050308,90.48915812072201,-41.69867884720159,23.37916837016629,75.96970928964517,-166.7093271323704,28.640146249278338,-162.80086784843007,9.627462462381585,-158.0625953892152,85.6895311059407,-37.60373470048196,174.0803327758463,117.84374823251953,3.7859739507966648,-169.11560861103317,47.11715396539426,-23.374824079773838,40.554288288422995,55.70981174696792,168.8876285631679,-177.99364561148016,-44.150064151613726,-31.764928455743966,48.840742489367834,177.190094241344,23.495711847718642,-138.23757514026548,41.4562157914509,-93.46456872680744,132.3317255918667,-75.03186169474317,125.85765450615,177.67645384172005,-26.14076221928411,-21.581041352122423,-173.58451142546463,-158.4264293958624,127.32048273309996,-129.1333451303532,133.60291502212377,-9.997735202455987,-0.9798261154055954,-84.41738935577665,138.96834388438373,178.52476025483287,-128.06820053911306,-132.1888996851942,82.08372428613055,-54.75143509089571,-3.4202894960836767
AOI4 Relative Saccade Angles,153.00785616913964,11.017982309268092,38.669008083070636,82.96729955052348,53.47861656114158,44.568945659667676,98.08239739317686,168.02162303953855,11.74941084275349,91.27479375087431,54.053411588514074,112.48516914398235,51.324221676805365,15.162741232136757,108.80022723993817,2.928179193754264,70.66890288828607,67.459545598223,9.7414279185781,170.21566276952132,22.511547924317277,18.170094234477123,141.5450237535508,2.3499881956776805,25.865571290126873,99.44759033405651,49.265837202241805,169.82587149257594,11.650479179201778,5.848998851189827,105.50375158961307,77.38306609334424,135.072932610839,25.098832068056836,86.55177215831868,71.18873340836866,22.511049626268353,73.95868663624081,34.54059348460598,154.6834392669751,97.63100561048985,37.325349543253196,79.26830073755944,84.10724249619264,177.00997181888837,166.21774695280828,67.03146372169753,174.8747008062633,148.47635106655923,91.89422476499715,14.523554896857053,111.85204476932829,47.812163032076384,114.92215278263211,127.40945908052113,62.679036422015535,15.349473381648705,11.4410140977084,7.57166968918835,12.309942148403207,63.75212649515592,56.70673419357734,31.684067476328252,123.76341545667321,65.94222571827714,7.098417438170181,36.23276257642742,109.5080219548319,116.07088763180316,164.8444765414551,66.82218318380004,166.88127417464804,46.1564185401336,167.61486430413024,99.3943290548882,51.650648248023835,26.30561760637464,18.266713012015888,0.3062090682836244,45.079215481741656,45.796294318674114,27.363587286609846,20.889516200893176,128.18120066442998,23.81721606100414,175.44027913283827,27.996529926657836,164.84191797039782,105.74691212896236,76.45382786345317,82.73626015247697,36.39934977542025,170.98209091294962,96.56243675962894,43.38573324016039,140.44358362955086,126.59296079394593,175.87930085391886,34.27262397132475,43.164840622973735,128.66885440518794,
