,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138
AOI3 Saccade Lengths,44.09586587036863,71.56919703380822,10.68313009084647,32.72995580793676,76.91162797298736,68.07166531877452,63.11803547295974,69.14119454975514,221.87103096871593,133.21704665407975,28.330408652452054,79.32232341780006,63.36475999605203,179.23316923771966,40.75717795989681,99.29009428758108,11.095367594285559,5.025402461250188,29.689813472987197,75.93534130765103,56.63441804866302,32.001785687097566,76.12954715796268,85.06196278554907,43.67098775985039,92.82191330087703,52.34506123191699,44.2984087079467,23.59227526576358,70.36848789656597,60.29391381032535,7.98073856973058,33.331886462621824,75.57099544809773,38.827478432933496,24.25513734441773,32.785662212296316,199.15813525085915,41.0052827863775,72.88805839023377,98.58590867384089,80.05726400567562,108.29856422903785,33.92545700269526,107.93400892090466,34.00041504344379,19.170710812980698,47.14845480717792,110.29860808024445,63.48208249866742,21.118254652856468,111.22834781730688,199.23426905034387,44.92169291270292,16.739020174350173,28.079742224894204,37.21201597865693,13.199535416361835,37.751820827162526,25.603569770246782,17.88008039832996,65.64720276649359,31.9114925088202,5.9737691986037875,79.26055635715521,54.83887628059502,35.78933267617947,7.904308392341773,22.192017450714932,42.14270229799707,43.72167701382151,78.20047885864962,18.458979090955722,59.3921617347077,61.270119828497485,24.061784106950952,122.63745203733158,32.398556811544715,41.273812862245954,50.99815766573818,25.14690722437665,43.41697736185822,10.029472824022433,37.27580815163997,43.4974721411648,66.35634731124252,68.17831233372948,42.924113226925385,11.407041106946222,37.13707510777108,16.162159242533313,177.47039150109032,43.65008253529132,86.82208807171274,23.654912546423265,16.12863440157816,36.23495423304742,17.888069190291237,8.02354403772168,79.59317063361215,24.813066289577062,108.75943076907456,65.26430667859131,18.622299883843542,18.71052968449656,81.80463608710598,62.43144923792375,79.20155552899371,50.048779797279124,62.62031601499613,19.279024726518905,28.569812163146675,33.50032703047796,35.66632241492544,88.67497354708293,49.13437524973686,5.4055290034819725,78.48539635112935,98.49659552664531,58.134209296275806,28.48145049099695,28.680729940102374,105.45507968529066,16.93762847067928,32.61953721568664,52.76795580746108,22.39960730784718,46.56666890078308,51.49886581764987,36.61987504977824,43.49828369119885,48.32541723770727,90.38043531292764,53.20862445397958,123.90500822321977,12.614656126737833,51.77459846782147,80.72343337625429,174.46342846150955
AOI3 Absolute Saccade Angles,-149.89609734380863,85.63941531571784,-38.39897600387849,-39.31903257380831,-9.170465686626677,148.15276947346885,-135.40037910329877,131.53685568874846,-14.020746059124688,7.74004183477147,129.0082770322252,175.1186100392434,175.86359270032116,-179.75245289756728,-96.35001214821416,4.761697672785749,-164.06799255664944,14.686517137575455,-9.193735029291464,8.59065586266245,-54.59781659325301,114.11739324469403,142.6706635561857,-164.89092825242213,145.34294483464734,-5.190952849776882,-77.17959319512035,151.59074665661333,-108.26620991179912,129.2652409548902,-20.771018153905086,-8.505432504787734,-75.84944218550727,-11.032335829548073,11.855026859231833,47.705740234857785,90.18482272735058,-161.93544932405567,150.33848085656513,148.49653327634485,11.846828661358893,-167.89898414338742,-24.46206322380327,-38.61134638644747,173.18610697926752,120.44100457856081,92.80704159072235,12.89499312316961,-13.552491467507076,-139.71644133220985,-3.1478832641792307,44.02308867973687,-171.2089383594506,-48.65725413181037,70.75853079870491,91.16615819312125,-94.40720725869548,-88.44366827111708,49.221316234304645,60.23298600678226,-36.81967457442119,-15.35845252140444,15.567106233055885,34.72909300835957,164.4021545101317,-76.12221271020361,-13.089043191071818,-43.932657687475654,129.17845139407106,152.59699550609824,121.49267036223668,-113.56712968028062,113.43640656022659,-177.58528655692731,67.42641276654099,-167.07771636605813,-32.87750389580231,38.579367708784325,-154.60194674870274,9.428260655104076,139.55874289406748,81.5757497622456,63.22903596478185,-133.35109406077268,-68.78585179070167,27.89161520414803,9.15659228018324,-85.10476169391784,134.13208605612576,-169.9317330436463,144.22463668611493,160.60832156254867,-75.99160129928556,11.220395197251449,35.34970781911181,-139.706936375396,-144.13571651155848,-173.5894935940667,100.0552905273435,158.26018195982618,-87.926226467495,-4.607361835286728,40.56153419360367,-178.2403291061811,-170.39342064923216,-160.84455717018017,-123.12893271836099,41.404526259006126,-38.437258768408796,131.53705666286214,-116.36352773889685,173.34804605410267,-4.213912208347306,48.60907172547689,-2.687173147375549,-124.95940591432688,67.73161167854849,-171.38016801752192,-8.800723466456114,83.64206757241864,-98.25927210236888,-91.22977535588538,162.39256129068613,-170.6890506685237,106.42170184141055,-27.58967994501168,-73.20985479054005,72.53792730749275,-138.42793327849498,100.70383667417838,-122.37512712539565,58.913722902257575,-145.72853646700923,109.93247300475316,-36.787749779532774,52.35635079594873,78.29853324236763,-39.471195876482476,21.82962715553566
AOI3 Relative Saccade Angles,55.53551265952645,55.96160868040368,179.07994343007016,149.85143311281837,22.676764839904486,103.55314857676764,86.93723479204725,34.44239825212684,158.23921210610385,58.73176480254626,133.8896669929818,179.25501733892224,175.6160455978884,96.5975592506469,78.88829017900008,11.17030977056482,1.2454903057751137,156.1197478331331,162.2156091080461,116.81152754408453,11.284790162052984,151.44672968850836,127.5615918086078,130.2338730870695,29.46610231557576,108.01135965465652,48.770339851733674,79.85695656841247,57.53145086668932,29.96374089120472,167.73441435088262,112.65599031928046,115.18289364404079,157.11263731122008,144.14928662437404,137.5209175075072,72.12027205140623,132.2739301806208,178.15805241977972,43.35029538501403,0.2541871952536931,36.56307908041586,165.8507168373558,31.797453365714986,127.25489759929329,152.36603701216154,100.08795153244726,153.5525154093233,53.836050135297235,43.43144193196939,132.82902805608393,35.23202703918745,57.448315772359784,60.5842150694847,159.59237260558368,5.573365451816731,174.03646101242163,42.33501549457827,168.9883302275224,82.94733941879656,158.53877794698323,149.07444124553967,160.8380132246963,50.32693849822786,60.52436722033531,116.96683048086823,149.15638550359617,6.888890918453302,156.58145588797282,148.89567485613844,55.059800042517296,47.0035362405072,111.02169311715392,65.01169932346832,54.5041291325991,45.79978752974421,108.54312839541335,13.18131445748704,15.969792596193207,49.86951776103661,122.01700686817814,161.65328620253626,16.58013002555451,115.434757729929,83.32253300515029,161.2649770760352,85.73864602589893,39.2368477500436,124.06381909977205,134.15636972976122,163.61631512356627,56.59992286183423,92.78800350346297,155.87068737813965,4.94335580549216,175.57121986383754,150.5462229174918,93.64478412141015,121.7951085675173,66.18640842732115,96.68113536779173,134.8311039711096,38.801863299784735,172.1530915430511,170.45113652094804,142.2843755481808,15.466541022632901,100.15821497258509,10.025684568729087,67.90058440175895,109.71157379299947,2.4380417375500265,127.17701606617581,128.70375512714756,57.727767233048674,12.69101759287536,59.11177969607039,17.42055544893421,87.55720896112523,1.9013396747875226,172.97050325351654,73.6223366465715,153.08161195920977,97.11075250993422,45.988618213577766,134.37982515447163,34.2522179019672,30.965860585987716,59.131769952673324,43.078963799574,1.288850027653209,24.642259369266828,75.6610094717624,33.279777215714084,90.85589942451851,154.05781755358112,62.2302708811499,118.69917696798187,
