,Mean,Standard Deviation
NOT_AOI Saccade Length,62.3641786696751,55.41810942690817
NOT_AOI Absolute Saccade Angles,7.803775683327707,101.90302917815903
NOT_AOI Relative Saccade Angles,130.88050573917542,52.686684935407165
