,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
AOI4 Saccade Lengths,372.51734337376496,339.088372180901,254.59233624213547,81.52978568123537,76.93693393385298,67.98478011446522,92.45216540870672,114.22918520705836,39.7796084302185,213.37655333367186,47.06093594478574,189.8724187922339,104.58063520629261,65.16317865823156,41.67496105583092,64.17197116320727,72.78928518561885,31.166858838196767,63.991608573419555,27.60915300575082,41.22157716320784,71.59699723739472,42.06985097202736,45.37829473716184,39.27524865268465,73.28579322736813,111.28276325280221,40.75658768921436,113.41766600339461,46.73533889734339,53.41671418506276,70.51976395408025,31.05974761812961,81.64843082826047,44.824158631844504,74.79491696369827,161.18228871308668,20.517347717473353,175.39141506501565,297.44567177157916,133.5964343772816,11.7039290349898,113.48012544262463,248.04679180594533,147.20117510073175,61.15540396769911,65.40145934417754,149.1928793501752,104.40321278655804,74.60034743840131,40.69877857425425,22.274832437287,20.645268143669444,24.399031871356225,15.494838601428144,162.0856734988345,225.4136183070025,154.53972306381124,143.35146525875274,46.16288610085729,109.09522424255555,22.501925040314664,156.42229586403826,45.586719348538374,66.87666398984582,8.619767341234198,96.73068551370882,165.58927524242532,203.03081797221182
AOI4 Absolute Saccade Angles,3.926761116940389,-168.23846815662748,17.141993713990658,-126.68039336968629,-168.78611787964832,54.95118524536146,-176.42302127993844,-8.93646195739117,-10.198475396655308,-177.1827820328785,96.41938603329685,-7.324800798904129,168.51071945265016,170.21538653643324,-170.94175000740648,-3.814802877967011,-165.10543318868233,-60.69077236158568,23.958038657791526,24.965493417727867,-99.15744687552962,110.43678644339643,-107.30503711028837,-133.0781655762107,58.22827765580175,-11.748461220034457,-6.931320570044484,66.13736011542507,-172.49146120975206,178.65145959920346,126.97889572720682,-133.18059229078915,-134.31066610700327,82.42512679210498,-7.673388747511135,-134.99583090507497,-3.269841259368172,40.86862396147714,177.68351014133765,5.315138340752537,-20.99310933863381,109.64035246660917,170.77470860615335,173.65889404297118,-1.2434975260689465,-101.5864479361921,69.5935500932019,178.06822317189688,-43.90262703829832,7.153554669536699,124.1982132696351,110.10501320832863,-141.68298194317208,-79.36840570378835,-78.80929784435142,156.07666857502937,-0.5336283143098866,-172.52180073566757,-15.271185335468957,8.581793545720384,166.7203140957152,-22.169014302623378,179.2011899372751,-153.59611397886206,32.3096064727054,-34.66460466259817,2.4642200513967287,-17.653477561313778,170.82214650151172
AOI4 Relative Saccade Angles,7.834770726432177,5.380461870618093,36.17761291632307,137.89427549003798,43.73730312500974,51.3742065252999,12.513440677452731,178.73798656073586,13.015693363776823,93.60216806617532,76.25581316779905,4.164479748445704,178.29533291621698,161.15713654383967,12.873052870560558,18.70936968928468,75.58533917290335,95.3511889806228,178.99254524006366,55.877059706742514,29.594233318926037,37.74182355368479,154.22687153407765,11.306443232012434,110.0232611241638,175.18285935001,106.93131931453046,58.62882132517711,171.14292080895547,128.32743612800337,80.159488017996,178.86992618378588,36.73579289910825,89.9014844603839,52.67755784243616,48.2740103542932,135.86153477915468,43.18511382013953,7.631628199414924,153.69175232061366,49.36653819475702,118.86564386045582,177.11581456318217,5.097608430959891,79.65704958987686,8.820001970606008,71.52532692130502,41.970850210195195,128.943818292165,62.9553413999016,165.9067999386935,71.78799515150067,117.68542376061632,179.44089214056305,54.885966419380786,23.38970311066074,8.011827578642317,22.74938459980138,156.14702111881067,21.86147945000521,8.88932839833855,21.370204239898467,152.79730391613714,5.905720451567452,113.02578886469644,142.8711752860051,159.88230238728946,8.475624062825501,
