,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
AOI5 Saccade Lengths,54.29029402176375,38.10961792879369,23.237641413267035,21.28920566698641,14.218198604982483,35.00690662438895,23.80787803285746,239.08355441450777,88.38391285217487,80.19859248948478,245.18698481048511,25.783568838000793,28.3721932794664,28.86620854042153,77.39725922248735,129.15917316849027,63.516540406581576,28.341133344799207,23.851176141602533,92.27201254572847,24.007281494868117,31.468794765509347,175.26640362331878,29.803374740741756,34.50654422528582,119.39161452091543,50.902739493973286,57.603203965451364,40.45587859314738,36.77070543908977,14.630114083496267,184.63795646759573,40.76506069081704,60.29160355586864,59.25054847454513,41.18707623789927,135.38575524919176,64.92905440631358,55.63605762262922,55.23299781181115,13.791563376156533,75.10128377481138,49.86634448701312,17.89222039015049,73.09551141167431,157.4800926958987,52.35885460545752,104.06449531692758,56.140373183425034,31.592969228825986,73.54177345933539,106.22999832529926,57.29266051888713,26.4962375477874,80.52824053683861,45.005909543492464,31.07111379836158,53.1252961969417,34.47920449953133,100.17381155684043,79.69215792092224,30.48292420431991,36.47450573161892,50.61046687893818,43.77411124155436,20.57566161073713,50.794124532379435,34.303933837762465,33.568527131524704,67.1267499971466,47.607989937851634,17.929493999057595,57.392852746712094,16.628439628159875,29.555022141343436,11.954675871526039,34.99689292687484,18.125865256198033,29.36192959649784,4.295705994588605,139.2759386940343,25.797374862274886,14.540832439937073,30.82991396736965,28.59049322679055,27.84509505452989,160.32087614055754,72.7658777705927,22.006644022188766,1.4445878035834216,26.294104976676287,46.32416544871519,56.415430122365464,16.80164070637289,24.015716741818252,25.597909045373743,40.278228517628904,16.530487797961662,41.36036075661181,29.11951563616099
AOI5 Absolute Saccade Angles,-178.19078065768457,30.755986369079583,50.65331377173612,103.20081851062493,-129.08583396206208,-134.75763486505255,-146.33315576695082,-5.344118567898716,58.33384014611406,-168.55322981909444,-171.2152353228022,-42.89434355222003,136.98207575454504,-82.65012859537701,-0.006714114683542548,27.22483645078167,-121.51272932337363,109.64208878143576,159.8045847159592,-159.9037060794767,138.96746757761835,72.21320271537752,2.311935439734575,29.518077475241714,-84.60352144215587,-161.02857819552125,5.802932946266815,-176.5991884060269,57.073615875121796,-76.14174013670785,6.056437957604074,19.062931224713076,179.49577970117522,17.946172948888393,-119.6835209352641,-147.77159953161612,177.49793114932248,158.2213625219673,175.36354662425853,-161.39049145918867,34.176392521739324,-23.32388584183951,108.05877633606646,12.452313327550508,-26.49558001955774,-175.3881527803361,-12.352066346031725,7.097401633782431,176.4376719725523,-161.56949438740097,84.35278582961953,-133.95202904413316,53.26011532015053,129.70400912913465,-51.79032666688512,85.224950469162,72.91836679511508,-36.03984322013977,131.1374477095916,-140.88147814203512,62.50268925214596,-58.34300864219217,37.69919080879679,-73.08417251539282,-137.58345545586212,58.923395488583495,87.59007149420957,-172.46130821208246,25.16399483827285,-116.80333522235439,128.0980659216109,85.525048292087,2.5667772314386994,-58.16715272268111,-32.220416244270474,105.93163551144724,9.657133149208962,-168.2404920953092,-153.62474284381892,124.89978843940317,5.670684697421412,-74.46456149196847,-101.6358288541625,-121.89467083039219,85.5243788459579,81.10784221993997,-166.906089771574,49.22009806899133,-114.52873751158306,150.33314230938936,172.8598481473545,-135.50480558126105,64.25636087099598,-158.628137604242,-73.53692120304325,76.31399523560684,166.58691694643016,-119.78157487662178,-106.13912208340824,18.22437812555785
AOI5 Relative Saccade Angles,28.946767026764128,160.10267259734346,127.45249526111121,52.286652472686995,174.3281990970095,168.4244790981017,39.010962800947894,116.32204128598723,46.88706996520851,177.33799449629228,51.67910822941785,0.12358069323495227,39.63220434992201,97.35658551930655,152.7684494345348,31.262434225844697,51.154818104809394,129.8375040654766,139.7082907954359,118.87117365709506,113.24573513775914,110.09873272435706,152.79385796449287,65.87840108260242,103.57494324663463,13.168488858211942,2.402121352293714,53.67280428114869,46.784643988170366,97.80182190568807,166.99350673289098,19.567151523537873,18.450393247713187,42.370306115847505,151.911921403648,145.2695306809386,160.7234313726448,162.85781589770878,156.7540380834472,15.566883980928012,122.49972163642116,48.61733782209405,84.39353699148405,141.05210665289172,31.10742723922163,16.96391356569562,160.55053202018584,10.659729661230156,158.00716635995323,65.92228021702051,38.3048148737527,7.212144364283686,103.55610619101591,1.4943357960197479,42.98472286395289,167.6934163259531,71.04178998474515,12.822709070268628,92.01892585162672,23.384167394181073,59.15430210566185,83.95780054901104,69.21663667581039,115.50071705953069,16.506850944445617,151.33332399437393,80.051379706292,17.625303050355267,38.032669939372774,64.90140114396527,137.42698237047614,97.04172893935169,119.26607004588018,154.05326352158937,41.8479482442823,83.72549763776173,2.1023747554818613,165.38425074850977,98.52453128322209,60.77089625801824,99.86475381061013,152.82873263780598,159.74115802377034,27.41904967635007,175.58346337398206,68.01393199151394,36.12618784056531,16.25116441942562,84.86187982097242,157.47329416203488,128.36465372861556,19.761166452257036,42.88449847523796,94.90878359880125,30.149083561349922,89.72707828917667,106.3684918230519,166.35754720678645,55.636499791033906,
