,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173
Page Saccade Lengths,27.287884147135056,104.2326035859997,91.69071719340377,69.82416809206738,58.31425306149702,54.917626458869854,24.491022512812563,6.366594293789906,7.658829192788957,8.711023831506708,15.131891917577152,14.424260328065074,13.344611346645097,9.932589758947323,78.7147687595011,52.47133878571757,54.328940417753195,40.68572618183888,29.06787679137066,27.116139400918037,15.039873007513327,15.243758545104113,37.252731362692856,27.21838252785612,20.683463241496856,16.85715129293999,8.65224418433519,9.535926952208326,4.258871512109603,5.649244531107247,28.733793430550673,53.67492964577986,42.41866878999389,23.64596903174419,25.728549573489875,20.8955255650754,27.377334894053707,11.028283230936701,184.5845664282956,77.01205613957964,163.339452753334,73.9919291273757,78.83329563205113,17.77848349160695,58.86523392885502,34.82542512369732,25.392968013298056,17.668584668452464,31.776059979898086,36.09140200782839,41.79630855191683,94.18816686717611,22.41052150402193,16.999255263723015,16.29203563709719,15.184056277023833,13.804403315390507,73.84056765248356,81.2820017977508,37.67181076210489,33.000597061745886,29.55098445513975,24.675698478365366,7.065125059872068,6.420932690405385,5.986809273284494,33.15118961168891,46.56786738492106,125.45444781197662,52.1017560191586,10.233951847325168,25.723900567718847,41.88587490020876,8.738840705214198,63.8491150767526,99.22979934534352,81.22082930490514,58.407544022006995,45.590121815333816,12.757002707130919,46.64338396614717,25.55014880420909,19.457778885771198,1.985621761125286,36.81504861384685,30.806834504584018,42.2031000119214,13.394946195449144,9.543101075590357,13.99317235397052,3.040293641120008,8.409781113122333,5.889830164030128,62.170015288639284,51.881944538663554,75.3366227936225,36.14189175784195,56.69901585657607,54.292665620139694,53.618784781734114,43.62194490531525,27.083737698817323,46.178312793117605,37.85301412127555,34.57947975090256,31.888290261123604,28.65291952649694,25.78461684267788,19.850130914962,18.85866087364617,13.37452354194459,52.88008235731908,44.114283477973615,6.943601609953326,4.955527352914306,11.3012981601598,3.4602381227143817,3.884386153704355,4.211450357945244,4.356859005501632,61.120089690614314,31.680650510020534,72.95013193831291,63.743546529778286,54.421045367757316,45.38234350511145,41.161109355338084,32.80662121882661,25.33902578988255,115.13059675525368,45.990070323053146,98.9396806998834,70.56826788270314,77.75054484952432,16.46121608903369,12.287231734178281,6.931220751239366,2.7064521765301977,65.15330248148425,7.945637647213696,42.829029493526136,12.893059405047813,12.652115269639136,50.02931426356708,42.178950713628225,14.850200457481693,3.0214834185061865,42.61642615180031,36.56237774278941,55.82024636804309,52.28086239706455,74.71961651513998,56.038499767945,45.31948577850416,35.66302069944832,10.253120334681256,51.9901324322118,45.952759047806644,33.025420558855565,43.704444167459926,37.16835800250371,45.82770734239151,40.15790018553889,33.307815356508804,34.04604229059016,56.778437897101114,47.23796842310799,71.29974759853958,58.273075814871035,46.34785679745018,23.505586913812326,23.4154556472464,22.53894854873846,21.07022141087669
Page Absolute Saccade Angles,128.71720592013514,96.00766480005771,95.07516465391281,98.99672710609741,98.22188573322494,97.48219758070603,65.02797247012433,-24.063140151901926,-43.31251119133683,-53.55931523635236,-65.62364338745215,-67.7743727242179,-69.57473473675466,-61.96897234120359,-86.26100856944967,-73.2121753523607,-84.95888974538346,-65.81301607819114,-74.70699019446711,-64.71339970829028,-77.05028927990253,-59.145178424625755,-99.06921769621847,-103.33028310883138,-50.25131861536084,-119.1865210923192,-131.0556010388425,-136.96956573628935,179.28578889996535,-165.69962466371925,119.20951720585805,78.47221010451848,47.16396736352554,86.74637639543246,47.91983415707514,46.79189582506278,50.72978141351333,41.729783689216504,75.69962890374812,81.29031318083791,153.61353801029813,159.63804274856952,143.7028027730818,-82.40093777451278,146.32644724727484,154.17027536671915,159.22446763791876,166.58988136379878,-122.13208988136341,-76.25562998623366,-95.03431627422252,-95.71985434596006,-82.90520383859376,15.486503893704466,19.62805069416319,23.050223720051747,26.031585849656214,0.9239093109187576,27.81483851305989,-106.29283602048048,-109.99534283398097,-104.58128936828868,-108.03024268289388,-161.3953676364235,-175.5531889301317,172.14262876975437,-138.88892087408252,97.01646631156595,-63.667570641259246,54.69648244587972,95.43156642718445,24.000965985870174,2.0139191378277297,-45.11148139251789,56.79610219998335,160.91532687693928,55.63073861667124,118.69545947430878,-173.63298244657585,110.30751580300888,-31.526616938509207,-38.534632392479494,103.03386405650045,-83.3599655963372,101.71360914534712,102.46006141545942,74.92280965732122,109.77014865683392,114.97921510679714,117.12269180101497,157.11080838500445,125.52133043445939,132.9224758536213,141.2488632832149,142.16372566289928,-117.10894435336608,-76.825424234991,-92.36924378086553,-97.74613645616587,-98.36935239217654,-97.12595775068904,33.89640395584124,-55.41170512337169,-52.91837791906349,80.33422977761299,81.77679842321243,83.0620670557709,82.06663153876208,91.55643668106309,83.10922449265261,96.71733428313236,97.78066440114976,98.26509660040651,-47.168709725292835,13.23615335884205,20.496351031460257,-47.79048502523555,-64.27605485679165,-74.18791071621459,-80.69349616659612,90.1629650800732,103.57848350955705,-82.75956882594632,-82.98662600571157,-83.2113304820428,-83.44434255226818,-83.2514731975323,-83.48079021631,-83.75580197238286,85.38671202982545,108.04657052367877,77.03006443275993,78.78311771835487,83.51033977838935,79.97469137481966,80.75946112586236,81.58903786161834,84.37056301576246,-79.61746063465135,-87.31270943663316,-104.51132365556941,-158.2618378141037,-107.85035289955167,-80.24207247937673,-80.07178319768946,153.36954724413755,-148.80045868523922,159.16404250815725,157.44746655252018,99.66276692090034,113.54929607510716,110.57193663675012,90.82470443810801,88.84658020861501,86.5516520527975,-39.222717961293974,-129.2275857284281,-126.43021194614738,84.70892302701867,-49.57662095723649,-49.92906082284669,-52.08724880021642,-51.50434666252896,-51.394874435403,94.24509834618614,-27.27683914774707,-27.09674671033836,-37.342934731987405,-37.64667489216432,-37.99164260533907,113.69225270438635,118.71844173885273,122.58626231282952,125.75881748979359
Page Relative Saccade Angles,147.29045887992254,179.06749985385514,176.07843754781538,179.22515862712748,179.2603118474811,147.54577488941828,90.90888737797376,160.75062896056508,169.75319595498448,167.93567184890023,177.84927066323422,178.19963798746323,172.3942376044489,155.70796377175392,166.951166782911,168.25328560697727,160.85412633280768,171.10602588372404,170.00640951382317,167.66311042838777,162.09488914472325,140.07596072840727,175.7389345873871,126.92103550652946,111.06479752304165,168.1309200534767,174.08603530255314,136.2553546362547,164.98541356368463,104.90914186957733,139.26269289866045,148.69175725900706,140.4175909680931,141.17345776164268,178.87206166798765,176.06211441154946,171.0000022757032,146.0301547854684,174.4093157229102,107.6767751705398,173.97549526172867,164.06476002451228,46.10374054759457,48.72738502178763,172.1561718805557,174.94580772880042,172.63458627411998,108.7219712451622,134.12354010487024,161.22131371201115,179.31446192826246,167.18534949263372,81.60829226770177,175.85845319954126,176.57782697411145,177.0186378703955,154.89232346126255,153.10907079785886,45.89232546645966,176.2974931864995,174.5859465343077,176.55104668539482,126.63487504647043,165.84217870629178,167.69581769988608,131.0315496438369,55.90538718564846,19.315963047174826,61.63594691286106,139.26491601869526,108.56939955868573,158.01295315195756,132.87459946965436,78.09241640749877,75.88077532304406,74.71541173973195,116.93527914236248,112.32844192088463,103.94049824958473,38.16586725848191,172.99198454602973,38.43150355102004,6.3938296528376615,5.073574741684322,179.25354772988769,152.46274824186182,145.15266100048729,174.79093355003678,177.85652330578216,140.0118834160105,148.41052204945493,172.59885458083812,171.6736125704064,179.08513762031563,79.27267001626532,139.71647988162493,164.45618045412547,174.62310732469965,179.37678406398933,178.75660535851247,48.97763829346974,90.69189092078707,177.5066727956918,46.7473923033235,178.55743135440056,178.71473136744154,179.00456448299119,170.51019485769902,171.55278781158955,166.39189020952028,178.93666988198257,179.51556780074327,34.56619367430067,119.59513691586508,172.7398023273818,111.7131639433042,163.5144301684439,170.08814414057704,173.49441454961848,9.143538753330684,166.58448157051615,6.338052335503362,179.77294282023476,179.77529552366877,179.7669879297746,179.80713064526412,179.77068298122228,179.72498824392716,10.857485997791684,157.34014150614672,148.98349390908118,178.24694671440506,175.2727779399655,176.46435159643033,179.2152302489573,179.170423264244,177.2184748458559,16.011976349586202,172.30475119801815,162.80138578106371,126.24948584146573,129.58851508544797,152.3917195798251,179.82971071831273,53.44133044182699,122.17000592937673,127.96450119339644,178.28342404436293,122.21530036838016,166.1134708457932,177.02264056164293,160.25276780135786,178.02187577050702,177.7050718441825,54.22562998590853,89.99513223286588,177.20262621771928,31.139134973166048,45.71445601574484,179.64756013438978,177.84181202263028,179.41709786231254,179.890527772874,34.360027218410885,58.478062506066806,179.8199075625913,169.75381197835097,179.69625983982306,179.65503228682527,28.316104690274607,174.9738109655336,176.13217942602324,176.82744482303593,
