,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
AOI2 Saccade Lengths,57.01985873553569,199.87205691613707,130.18464520056114,62.65117160316319,60.78456534664613,41.2055855737633,89.27172084447317,83.44025132904139,38.663344242893984,12.352783434503376,24.214606077311583,70.21453780059223,54.968802641781565,53.8534378315335,57.776424960997964,33.64168033757479,114.65372835551923,43.808823170895145,136.69020540606456,33.836212651024205,18.63158772817795,51.89767543181366,56.80760079635402,56.31323382860906,18.32910660416221,29.251745940748908,130.78114767801537,34.45979229529492,81.61092425373316,18.21503353871587,8.44395868667734,86.70869699889926,66.52021863293443,62.58342129781764,123.99369922462581,243.1704732141914,316.50458596492933,154.64191408713063,56.720347239331105,482.07003937297713,4.955440779970606,152.93192750573184,77.88541381239772,73.6205471750755,71.68155349930305,94.00187185889423,267.7731715183576,116.52525031634511,161.85794049163383,4.9207069516304305,33.20559988749719,46.25446892001815,37.64855668075027,97.8263804800786,95.44783123513828,126.12814973310911,50.52471996416858,19.026059756375652,141.7848071081247,84.74286891334881,64.78016400042338,26.952824991688924,38.548809179566,9.046075462516585,68.38054037776467,33.49647193372391,90.89219406997742,158.82047329805707,11.222290220807222,62.413472122040346,50.62819209943284,27.1426394177676,183.86075001565928,112.78979683014472,48.68789512591265,47.51000996320943,50.60255929937049,60.88710391730366,106.5166571390048,253.7487351790156,93.03320720112332,85.20027723512405,58.41765561549618,21.343631388715732,68.39088534177611,27.38006343132902,47.49522921172682,64.91071935223886,49.942420419922705,39.329382744561286,75.12770292888692
AOI2 Absolute Saccade Angles,36.86201775014134,-166.95366478724011,170.6877900474952,137.7365152565287,-35.168206713412395,22.483699477579496,6.850306969540296,-51.31289951547825,51.95297776822411,-137.7166113352707,-137.24909486561725,148.31635921986276,3.064891861335247,160.3223883087505,-90.26268661423812,23.453595401782977,147.00459416137465,-97.62260061354849,18.10409220075698,-32.39292356905492,-0.946769061794092,-62.03398614474478,-15.008850509822237,115.74299828545041,-137.26649016647292,-49.09350081430984,163.98773137149263,-93.3671641039696,22.410314931802656,119.01428568564965,89.43712293791349,-28.910878321957227,-14.725918615214434,86.8979910322785,-14.811413878218868,175.4952716796967,179.57741296454734,-172.66304036498167,-150.71840173640257,6.214145175929495,-92.88466497069666,178.25423310980239,-54.17364259473366,122.63091985585393,-7.210190196893234,-24.502362481142406,168.02746470245347,-174.14555222159657,-3.785897913576725,34.793954882310075,14.97580704968247,-29.95318722892371,-157.39895629318733,176.444008667827,150.93550989446183,-2.096822819440874,-13.36252451165104,-1.6711234793848135,-24.806988268740227,158.04087773924368,140.6888841528137,-55.98913686752369,162.56860300235365,-89.56841023679333,162.89571737102995,-72.29997523606791,-179.86153426456843,10.16243955123514,13.885052903331824,-19.001709416549193,167.54775043045413,165.24045491470258,-19.11463702238673,25.706139492205683,-158.8283996229948,150.30141605649652,14.8892811777814,-148.64021626081205,-16.575231754549954,168.69421283550014,-149.82769977813933,166.16848048270492,148.46840640183416,-153.62764667704081,-5.718072708465827,156.59138609753387,7.722820015870478,-9.606114147692733,178.80221463176463,178.72356490990492,9.699540863189577
AOI2 Relative Saccade Angles,23.815682537381456,157.64145483473536,147.04872520903348,7.095278030058903,122.34809380900812,164.36660749196082,121.83679351498147,76.73412271629763,9.669589103494792,179.53248353034655,105.56545408547998,34.74853264147249,22.74250355258474,70.58507492298862,66.28371798397893,56.449001240408336,64.6271947749231,64.27330718569455,129.5029842301881,148.55384549273919,118.91278291704931,132.97486436507748,49.248151204727364,73.00948845192332,91.82701064783693,33.08123218580246,77.3548954754622,64.22252096422777,83.39602924615302,150.42283725226386,61.65199874012928,165.81504029325723,78.37609035250708,78.29059508950265,10.306685557915552,175.91785871514935,172.240453329529,158.05536137142093,23.067453087667925,80.90118985337386,91.138898080499,52.42787570453603,3.1954375494124085,50.15888994725283,162.70782771575082,12.529827183595877,162.17301692405002,9.640345691980189,141.4201472041132,160.1818521673724,135.07100572139382,52.5542309357364,153.84296496101433,154.4915012266348,26.967667286097306,168.73429830778986,168.3085989677338,156.8641352106446,2.847866007983902,162.64800641357002,16.678021020337376,38.55773986987732,72.13701323914695,72.46412760782324,55.19569260709785,72.43844097149947,10.023973815803586,176.2773866479033,147.113237680119,6.549459847003309,177.69270448424845,4.355091937089303,135.1792234854076,4.534539115200448,129.12981567949126,44.58786512128489,16.47050256140655,47.9350154937379,5.269444590050096,138.52191261363947,135.99618026084426,162.29992591912927,122.09605307887496,32.09042603142503,17.690541194000282,31.13143391833659,162.67106583643678,8.408328779457339,179.92135027814032,10.975975953284667,
