,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133
Page Saccade Lengths,27.07122331589382,42.05934123267568,46.466500963568784,51.36998981304795,76.9937162780705,76.72914150723888,74.04230259897543,53.82233602932905,50.667314907306675,50.8513446683211,53.23999772112781,64.05618487502981,28.258434392000748,30.56519510010019,63.51901666982566,18.18920777715456,21.57365767497383,34.662477601211386,29.706783709209382,24.948257370451962,20.31144725305497,16.297778095008347,25.340689853115578,16.954579856482972,15.025208703427115,13.028745284634692,11.058023595283386,9.182295910098045,162.942344531849,69.77330962646089,109.45237515304031,26.901447601652464,42.998783388051194,47.59514620498704,14.676742096629312,12.573800499283145,87.70117966549668,52.539842995794515,46.33639231959261,39.93379576157244,33.63589325727924,27.663874130507384,22.056018902248976,57.87561358349782,72.00885342277726,73.69960052512276,82.09091967455592,42.10841292624593,74.41196622859408,76.38138184473574,52.440642921458036,74.31051813768806,84.76232439671935,47.3342754771189,27.82621221230054,16.668743882067968,24.839300906292106,70.15187253793773,46.65877476448615,49.2416806742017,41.21108884751831,64.425848480885,87.04529446561754,72.44285232087218,52.559170172790864,61.564017440307,20.777653144789035,60.83265346709586,41.31193283597769,32.07907669122639,100.04512913894725,21.47210172077539,31.01235664679413,38.07045834846216,22.155833615340295,44.00125622565164,35.80619581655649,30.660493451686094,7.561393133186459,46.435733195887465,17.902258834269247,36.082735109260355,29.20657686663114,22.972864372800665,16.188275567221115,46.48410066385715,13.620663365955728,12.428511137276681,11.099286337367026,31.300647142447115,26.437996300482247,20.38471446660633,90.09726650568173,59.87426468654342,48.62082242013337,4.968026915514508,4.323477542307134,22.37597357277177,7.899107989342388,101.41768102339628,68.9082984396307,14.692432238841855,34.386330363477946,28.04821897467655,6.13594325782589,6.5928979514095,59.89586478226227,48.28386102327385,41.23333612336902,34.39494109856569,18.04421240976004,21.232439383953114,16.74109998450669,34.913426444053975,17.98280043059176,17.73190281073928,34.8261001326996,35.66765187550145,48.81663719088216,4.845406394173171,19.330274672020675,23.367401216324676,24.12216161859036,18.62567898338135,16.165318653279318,13.73368361868482,11.416809078151887,52.512438676563036,98.6723434069425,4.950181439543715,10.772600411865625,20.929612296026207,15.911789222809407,12.807299571200021
Page Absolute Saccade Angles,-165.41871385276013,-179.6495693931454,-90.26293567479884,120.9183581861865,-118.19670758610657,113.69880414334027,134.65655704521654,143.99514198763748,136.4214639497178,108.7526755968042,-62.30113032136964,-86.1407274644545,0.16252674513742768,-37.69047129366487,-53.74915254307426,-25.102707249177136,-33.33620365173817,38.19075796194895,41.32426116183273,44.53849994754584,46.43736014794142,50.22761125851602,-141.54061145645068,-126.95296592219843,-129.45721064900013,-131.8630568395822,-134.27645495129516,-136.80464718816071,57.409921322856796,59.18902440198858,154.73199465866279,-162.92469521294834,-102.96801640312896,-61.81950268338359,-145.99950830749145,-143.95719993093536,-174.71495865234863,30.38305938660391,29.298098017143136,28.244249248168337,27.172444461638797,26.030186929396844,28.694943477019443,-108.45640071783471,-147.82319034627875,-83.13131991608819,-80.3246246841661,-143.80471996835905,-167.8703519040565,52.06670051418352,93.53378470368055,-77.45344802697753,107.33831626687446,8.941287891186926,-3.682527280010906,70.69286851561384,133.10978960828243,-165.7877752817468,152.45515302333013,92.43048080693256,90.44798191242315,104.1559922738053,109.32179099616329,80.22722119080558,-119.98332939022119,129.38856996818018,-137.7420190566358,50.47074213121596,102.9644570933877,102.63389620579797,22.7133555714909,17.88611393956042,-89.88888358027737,-51.671375247232355,-171.40460387319789,-98.39783659487897,-74.82541898511636,-75.72223977190372,-80.76307793644239,-41.528445902548555,30.343768520220095,-44.4962185548187,-44.688777218497,-44.91206499703317,-41.92599325998568,106.30896410440499,111.72336484050803,115.58417128838961,119.08152499938633,93.77504252887857,94.73594998516946,99.12643369611133,134.7690920832791,125.13807354873755,125.6659789852914,-171.67688157352845,-125.7040192544716,-0.5075417365767899,-110.03430964524892,-96.96727590372498,-104.38705023741795,-56.06349396965975,-67.51252328177355,-65.02349001960297,32.53394671668362,47.12944135670303,79.54719448726651,103.49085375008013,103.79640879486315,104.11308420268988,-165.3259477016105,132.38769778253658,134.09311654763135,76.66244721855546,-18.584492297059292,76.02842265556215,33.07861247412401,77.71147731193408,66.63874156138972,45.65701293386711,-90.69100172047497,-79.30370668495428,-61.60131532458061,-87.52707002713497,-89.99227908222214,-92.46057071608878,-95.04084441743564,-71.35267588622332,-71.39982654835332,-142.24600870751866,-130.2487627003412,-124.80756512981445,-148.6749194732352,-157.41678521732152
Page Relative Saccade Angles,165.76914445961467,90.61336628165338,31.181293860985317,59.11506577229306,51.89551172944685,159.04224709812377,170.66141505757903,172.42632196208032,152.3312116470864,8.94619408182616,156.16040285691514,93.69674579040806,142.1470019611977,163.94131875059063,151.35355470610287,171.76650359743894,108.47303838631287,176.8664968001162,176.7857612142869,178.10113979960443,176.2097488894254,11.768222714966699,165.41235446574774,177.49575527319828,177.59415380941795,177.58660188828702,177.47180776313445,14.214568511017504,178.2208969208682,84.4570297433258,137.65668987161106,120.04332119018065,138.85148628025465,95.81999437589212,177.95769162344388,149.24224127858676,25.09801803895251,178.91503863053924,178.9461512310252,178.92819521347047,178.85774246775804,177.3352434523774,42.84865580514586,140.63321037155598,115.30812956980942,177.1933047680779,116.51990471580703,155.9343680643026,39.93705241824,138.53291581050297,9.012767269341914,4.791764293851992,81.60297162431246,167.37618482880217,105.62460420437525,117.58307890733141,118.89756489002923,138.24292830507693,119.97532778360242,178.0175011054906,166.29198963861785,174.83420127764202,150.9054301946423,20.21055058102676,69.37189935840138,87.13058902481599,8.212761187851752,127.5062850378283,179.6694391124103,100.07945936569294,175.1727583680695,72.22500248016222,141.782491666955,60.2667713740345,106.99323272168111,156.42758239023738,179.10317921321263,174.95916183546134,140.7653679661062,108.12778557723136,105.1600129249612,179.8074413363217,179.77671222146384,177.0139282629525,31.765042635609337,174.58559926389697,176.13919355211843,176.50264628900328,154.69351752949225,179.03909254370913,175.60951628905812,144.35734161283224,170.36898146545846,179.47209456344615,117.34286055881985,134.02713768094316,54.803522482105194,70.47323209132787,166.93296625847606,172.58022566630703,131.6764437322418,168.5509706878862,177.5109667378294,82.44256326371341,165.4045053599806,147.58224686943655,156.05634073718642,179.69444495521697,179.68332459217325,89.43903190430036,117.71364548414707,178.29458123490525,122.5693306709241,84.75306048438524,85.38708504737855,137.05018981856188,135.36713516218992,168.92726424945562,159.0182713724774,43.651985345657934,168.61270496447932,162.29760863962633,154.07424529744563,177.53479094491283,177.5317083661334,177.4197262986531,156.3118314687877,179.95284933787002,109.15381784083468,168.00275399282253,174.55880242947327,156.13264565657926,171.2581342559137,
