,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
AOI6 Saccade Lengths,5.473053487178015,33.771823823040556,31.19743318641799,27.89465791619616,91.21123895525237,49.855876700695134,6.979564971942058,63.05008352116928,14.456754430398384,17.680358165417186,18.992646276955128,45.71977956540181,10.300039521642459,16.442967189466188,58.830785366224774,30.304548066418448,25.696182747532298,189.1034077732764,57.17614378568453,87.1250668870872,134.49190536562764,34.50820481680678,47.2697039429732,4.163104006028345,29.11410106795002,40.14977966380424,100.22709624816787,57.058651105005296,45.35962074550459,67.23585221134502,59.3924496147204,50.7745048488721,7.826426860518144,132.42300366283067,50.875283822375984,46.826491000012744,54.94912893994544,31.594662638767844,99.85017512146558,53.8628221456618,85.8048773492708,52.08929710910904,63.194252248272825,19.87271220828718,223.8711280631408,52.17288495906403,145.90364772874992,179.12240881721047,67.69698724095646,48.66849384668893,27.456842194020275,57.812910704044945,36.2181496330738,40.89835749569811,71.6381007807062,96.3599583076881,39.40032539987329,27.2068259545847,26.308997294364957,38.59431163351744,42.19888164605894,32.13881354529619,62.88993530391652,35.3920788246335,7.097388300103134,9.688075931973914,7.299199347228595,76.16921171226208,65.45960092777119,58.82291019479536,41.93660209541318,24.41353588168465,10.725147864396048,51.65585151260161,63.343327860678706,16.11859607346112,41.18243843100504,23.201813021139813,40.34456139259423,18.144130131826813,45.46779545298102,29.681130111332024,71.67390349144779,59.96921573878897,28.059267742674173,32.9346736614966,27.24281450240716,64.29994417599973,58.75666386665687,40.24416671239981,21.647050089455245,21.451082285175737,21.904019282540656,40.81237616370125,27.303524241167352,50.26083427959515,49.17379047723405,192.40675429610997,63.225005278760115,7.970266022927631,150.02468283870758,38.84073178524869,27.36619457327127,23.821454909488306,42.64898007341833,76.16428388501919,85.81430060529192,65.16102096281898,58.18666896048536,19.918936334069233,11.082046131229648,20.45465053344813,38.36426962898637,3.548364694102803,39.92314634565486,33.10745284509483,61.94500038575105,52.84395318823991,72.60585360751558,26.703220921803585,38.19192791452531,35.735929425253154,22.655350578047184,22.255169383961647,29.724163597202583,10.79215216419652,18.33411319102493,73.36380892559994,60.483394104794385,105.51411878341605
AOI6 Absolute Saccade Angles,92.47731439449004,-125.36598942324588,134.66339369233197,118.16219340831236,-163.12248573653517,87.5552941166069,-3.258928250999787,-52.36623676406747,91.46529019960546,-118.53424963715524,-144.14648297498584,135.2118350206718,-150.58323988819694,165.38430379485231,3.8801093597391563,20.52314930534417,178.1995238744238,4.333547690871989,-98.35635959012554,-174.7669716039661,155.72165272034306,-119.42731147956722,91.16525430149676,167.55872318789199,-131.71872449500958,-93.12435526090454,-9.314774285549104,106.11341274644462,167.38841647534502,-91.9715301903011,7.519119831821857,124.58761359044297,81.56060198255645,-1.0617185647237564,-160.21445614735296,-140.1680857736347,28.209118957159482,66.4140998233992,-6.814440332418937,31.454158390878955,-67.0712439647843,37.656725823108864,34.386149817617806,-162.67249585687267,-171.59065243095222,130.18780163996712,177.3224236883862,-17.638258196521683,153.9702362211712,162.2975310157167,-101.60490439358321,165.17685455508712,-10.600924344371785,130.8555678585527,-66.48571729673658,-3.048636728332387,69.6489073111899,40.14065183212923,146.33032228565884,-104.19527418990508,96.02686085862368,-154.3236278908453,-87.8809084774789,15.927166341263614,-75.0215166902492,78.7458473494306,-88.31262831626823,114.81478971465371,176.83266624912136,-29.878226131550655,-103.35031091871328,75.48328945681918,-155.0514685641698,97.24926450604482,-169.72014958850173,-33.381876846901946,-76.34707020116362,127.61168869335667,-32.196643784473196,-145.09606362109983,76.4679322260427,63.05987095325279,-104.35150006152386,21.550625320912275,113.75561702705606,-73.79849463207586,9.186436554712328,-10.373116887857229,29.585979995537222,-105.23511698401653,171.37516780994724,130.45813612682412,82.75970338864099,-6.694566723435627,-127.39277872981563,88.1657846868299,-100.13545554588649,-175.03033435805906,0.7477016965590262,-157.50322806454517,0.6866822158887127,108.39795053732793,-124.27500238270103,90.35174388568366,-67.77158434557191,118.07882484673515,-162.39120508834262,156.9552975310807,-87.67452671189041,-7.275138724941074,86.39288208930115,-76.28254937464726,-3.9784376822484484,174.4291711074864,66.96150803476259,-59.62293623766251,154.88081468870763,150.740963863451,-125.54439940942622,83.05295268211991,7.445892243597651,41.38782734160303,45.585952429547675,18.25631202365812,-104.07237756523128,139.23058489442286,35.355571346854404,-65.56140743506077,140.31442666855446,159.11387440169895
AOI6 Relative Saccade Angles,37.843303817735894,80.02938311557782,163.49879971598043,101.28467914484752,70.67777985314206,89.18577763239333,130.8926914869323,36.16847303632707,29.999539836760693,154.3877666621694,99.35831799565763,105.79507490886873,135.96754368304929,18.49580556488683,163.356960054395,22.323625430920377,6.134023816448193,77.31009271900248,103.58938798615941,150.48862432430914,95.14896419991025,30.592565781063975,103.60653111360479,119.27744768290154,141.40563076589495,96.19041902464457,64.57181296800627,118.72499627109961,79.35994666564609,80.50934997787706,62.93150624137889,136.97298839211348,97.37767945271979,20.8472624173708,159.95362962628172,11.622795269205835,141.7950191337603,106.77145984418186,141.73140127670212,81.47459764433674,75.27203021210684,176.72942399450892,17.05864567449047,171.08184342592043,121.77845407091935,132.8653779515809,14.960681884907903,8.391505582307087,171.67270520545455,83.90243540929991,86.78175894867033,4.222221100541103,38.54350779707555,17.341285155289256,116.5629194315958,107.3024559604777,150.4917445209393,73.81032954647038,70.52559647556393,20.22213504852875,70.35048874946897,113.55728058663361,76.19192518125749,89.0513169684872,26.232635960320202,12.94152433430116,23.12741803092193,117.98212346553235,26.710892380672014,106.5279152128374,1.1663996244675503,50.53475802098895,72.30073307021459,86.96941409454654,43.661727258400234,137.0348066457383,23.958758894520294,20.191667522170135,67.1005801633734,41.56399584714253,166.59193872721005,12.58862898522335,54.09787461756386,87.79500829385623,7.5541116591319035,97.01506881321181,160.44044655743042,140.04090311660553,45.17890302044628,96.61028479396374,139.08296831687684,132.30156726181687,90.54572988792339,59.30178799362001,35.55856341664551,8.301240232716362,105.10512118782742,4.22196394538193,21.74907023889581,21.810089719566125,72.2887316785608,52.67295292002892,34.62674626838464,21.876671768744433,5.850409192307041,100.47002993507772,139.34650261942332,64.62982424297113,99.60061201305066,86.33197918575777,17.32456853605159,107.6958883076012,1.5923912102651407,72.53233692727619,53.4155557275749,34.50375092637011,175.86014917474338,96.28536327287719,28.59735209154612,104.39293956147773,146.0580649019946,175.80187491205535,152.67035959411047,57.6713104111106,63.302962459654154,76.12498645243153,79.08302121808482,25.875834103615215,161.2005522668555,
