,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
NOT_AOI Saccade Lengths,1.2973786056001075,4.819411312819615,46.52374293563697,362.82691479751014,120.38628322900188,72.048233408785,146.97643298176203,40.72331647091367,22.032581501506368,71.53829100939829,44.983567382924114,53.35670025868911,63.40767114822454,31.782745966758416,32.41227429053493,75.25656725687519,16.454324353568584,71.44688149297977,14.913601684564203,70.47466888248351,48.87854290964123,19.258188243344303,48.094126732022474,22.32822065097775,173.17399573420107,17.863191896103935,30.44509766723183,46.603806849979115,45.879975825737354,148.97592735823756,45.13265655407751,58.03965292987255,157.44835505511176,92.30931539809951,129.22631598013422,238.6440009408864,356.2516366883386,82.53822904231743,40.19088626252946,50.977744679976695,95.99991175961715,15.758806678341461,17.589916576210197,39.269737613638576,49.15425203494452,17.681030493116346,38.10883343979162,36.293034715135136,38.53633136170973,72.64908375808207,40.73935438198546,33.652406518462236,88.0796599080391,57.480875535615674,168.48754210139853,28.29335199022499,141.17780068780206,58.83468815272122,17.54353236040774,22.18729010590101,36.992994085817905,29.162867918740677,51.531359131454984,41.027108994547845,106.80474950345075,30.165598274836515,20.330753206192114,13.691263126153881,24.003809726628162,41.51571192476588,42.62908047944368,35.23705371995474,58.98244899052984,34.61829636459899,26.801665165047464,14.38353393854028,10.03083902997807,47.081927907979114,12.8744975458015,11.8699412920781,11.281898266428184,26.59116247103493,21.95120444546251,71.74007579933976,74.14674241106441,80.364647567646,16.287424627549154,66.81600165423903,47.392957659555854,18.630877415397453,52.42557422611373,42.20326834723496,22.088273795166938,23.73725213979174,10.011768980133521,58.71804876283344,42.07889885953924,23.582780834927284,70.67142588050189,11.151399428139307,79.86086608053166,4.233566761592111,112.82036389519256
NOT_AOI Absolute Saccade Angles,176.63354884465303,170.73140872646914,-153.33126233310412,-126.68295472277381,-175.3782548381829,164.96334233747248,124.26759260670453,152.1323307733546,-121.65479365229524,-72.22061795881919,-17.111015667820446,55.04148981275288,-64.31959516220958,-8.364180771309321,34.053970941315654,21.782730093115962,144.15735530758047,128.00978248450033,49.14132851098924,84.05386148766577,60.24517815168772,145.78647322341,-125.71407305249517,-35.156358048776056,-112.67168366882854,-148.59567724209367,27.06116709867358,107.3361637371175,131.86575738534611,-57.7058094023973,53.95877528104094,177.56174820303335,-94.2302427663534,-8.359371029502556,111.19826005935735,99.70994713335799,87.70843546840291,-73.19604092757595,-57.908295616865594,-163.84699127276517,-75.20467047466117,-93.4736438417043,-47.22856949703185,-63.63251581347263,53.8685463792307,-84.70207504417077,-136.2515789692386,-139.6702892715323,-79.35215200006796,-29.846430294718697,-113.15239224840933,170.96856196394754,87.21997140246786,73.83144630071011,103.7851335424898,41.544648605486586,74.3667093969488,66.96427619036966,116.02206626219208,137.33820855076456,-99.5006447350257,17.547303325475585,-89.44148085179677,-132.30075068428698,68.81425848633523,-85.72639789413954,41.70470888185126,-49.1785798240684,-99.85501071409443,-152.94945507552822,-126.68593853293041,160.88237534104078,126.46322171644569,96.1427486705708,88.25321080276623,60.25531611009473,-61.921920604985935,35.6653081963149,42.40855391371303,-75.7441385198197,-78.92639965381726,65.69447691762724,65.805285743509,-85.91736653228165,-93.93470724865875,-101.33221136746405,-33.08446588035429,138.95427452557215,137.5497671266376,156.17576021717943,118.63941228630252,-50.677564159676955,-19.499650152837294,-57.502322801443576,-96.44520755889164,83.70101686072394,-48.64752950126044,-29.873931813853737,-98.91181844057121,19.589565741530848,-92.41937611872406,-20.591918967717877,103.11593970342183
NOT_AOI Relative Saccade Angles,174.09785988181613,144.06267105957323,153.35169238966972,131.30469988459095,160.34159717565538,139.30425026923203,152.13526183334992,93.78712442564982,130.56582430652398,124.89039770900125,107.84749451942666,60.638915025037534,124.04458560909974,137.581848287375,167.72875915180032,57.62537478553551,163.8524271769199,101.13154602648889,145.08746702332348,156.19131666402197,94.45870492827771,91.50054627590518,89.44228499628089,102.48467437994752,144.0760064267349,4.343155659232772,99.72500336155609,155.47040635177137,9.571566787743404,68.33541531656176,56.39702707800764,91.79199096938667,94.12912826314917,60.4423689111401,168.51168707400058,167.99848833504495,19.09552360402114,164.71225468928967,74.06130434410042,91.357679201896,161.7310266329569,133.75492565532758,163.59605368355923,62.49893780729669,41.429378576598516,128.45049607493218,176.58128969770632,119.68186272853566,130.49427829465074,96.69403804630937,104.12095421235686,96.25140943852033,166.61147489824225,150.04631275822032,117.75951506299681,147.17793920853777,172.59756679342087,130.94220992817756,158.68385771142752,56.838853285790265,62.95205193949871,73.01121582272766,137.1407301675098,21.115009170622198,25.45934361952524,52.56889322400921,89.11671129408033,129.32356910997396,126.90555563856623,153.73648345740222,107.56831387397118,145.5808463754049,149.67952695412515,172.1104621321954,152.0021053073285,57.82276328491931,82.41277119869915,173.25675428260192,61.84730756646728,176.81773886600246,35.3791234285555,179.88919117411822,28.27734772420934,171.98265928362292,172.6024958811947,111.75225451289025,7.961259594073569,178.59549260106544,161.37400690945816,142.46365206912307,10.68302355402055,148.82208599316033,141.99732735139372,141.05711524255193,0.1462244196155879,47.65145363801562,161.22640231259328,110.96211337328253,61.49861581789797,67.9910581397451,108.17254284899383,56.2921413288603,
