,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168
AOI3 Saccade Lengths,46.32492539830314,80.50280048305589,21.299558381731845,13.02978373029968,19.401387346723304,47.23789410785171,19.65949648934676,73.86215666021666,49.95344247712435,24.66872726978185,161.8166946891583,33.4419679457175,160.47657755825244,60.32934536584716,75.75194778947844,279.9051798946711,49.1649264933072,68.47436283045496,5.227198992796243,3.0227866194726576,28.76201634281941,57.59862106961075,135.51020081109735,28.726659309816505,53.95928290955368,113.12237033068831,52.74914474528371,36.361877951056464,115.20840363390154,79.51668295394111,48.35087377617641,26.381923758725343,43.18991990994815,68.41293432511942,33.00438574191429,57.2778236650281,5.6015041613961625,82.436672192175,67.09722050278633,9.2962020319068,51.87112599802729,62.357087464405474,60.412152462865585,30.322749679802396,38.30640816205508,37.01304298603226,68.13537194021907,112.4422300514756,40.56653146595862,151.14387725805918,59.03045359310605,54.38515632967311,14.513755018511308,12.488391475208257,49.82492461236827,8.187832098736768,34.26875872209094,23.48099583972014,25.540879971836834,13.439968141448713,13.658535849291173,12.469755705603417,24.878702312033198,9.832207415803158,10.774492886924671,14.198746820863008,32.58869581760828,91.81757654871957,30.735761586794723,43.52055128389126,41.53350157352156,62.99194968739207,80.41858656431882,43.622191678978524,51.32548889567937,13.141886265108148,86.10126183166528,23.53492361073004,56.923531024062854,24.280227643243716,37.69201440732839,61.72517637326387,37.81994166236689,33.801953176747354,132.0017273006264,23.01111107591866,62.985816937851205,21.837359648239175,157.43887178154398,37.46510548478401,60.57126639499705,45.92185227315913,102.50151292089286,54.72074424301385,40.57230662671254,75.36170278491663,61.27196240486168,62.26486869290235,28.81444077283008,19.614267705538616,36.38635787615889,38.81732092606455,33.75616725933087,85.59561132607264,27.153252369118515,26.055915317962135,14.339909555133769,13.536122776007861,82.22040694769544,21.11951848638639,65.32544863469897,64.12146991943708,66.48897093593497,24.533265580328667,64.87160558369504,29.54069868652765,68.43025200002458,26.14328352071518,124.14197465263028,18.88103287222891,48.70528805052544,11.426924406893905,29.377652344426288,40.70288220532256,70.35329566756265,119.33229028389384,48.31094808902029,118.92656265173304,349.2659558487269,55.77318697783859,38.38840705751443,46.622031325828374,25.016637768062758,62.85173754524653,45.85898444895079,70.68194434739222,15.924748775123495,36.05143942955341,24.93453536442816,101.79160760825827,12.401327744576362,74.16578297693727,29.28100333217561,168.6554965102862,83.46919594357242,29.610623633129308,119.39306346113791,27.35470587976046,14.66550819019693,10.167937440205886,37.750022947698206,59.76372396440196,100.90339135629986,151.90645817235122,17.855315291860006,23.8525022406026,82.9576739493743,25.4028706667296,46.487573645114296,6.582317347711702,56.7675280490898,124.44860358388397,9.223018762935117,23.28432548704882,52.14821365974514,55.496597572529716,122.24368725748036,21.88134577294992,91.03661444528194
AOI3 Absolute Saccade Angles,-129.28447784552125,-4.96146120186662,-14.262055684074936,97.77478976249468,19.31921814390966,42.070187599268046,-73.86932389643378,-49.527413442583246,135.1937273228956,-70.30060263360082,169.96257463602464,144.91399534378658,6.003436268380584,-51.64345128888462,29.945280083266937,-167.48980756887826,127.06891993795715,20.768874062681647,74.81178328671737,-66.59658173664371,-115.25134612423571,-127.07302339468562,2.1935806081131624,109.44289053318566,61.312151281096604,-174.4056874639143,-171.87878496155284,22.722216540667063,-9.47942369246226,167.73808883323596,-61.73573312676429,101.28946856223003,-122.9297512825977,-164.03785843304735,116.88707198079261,-20.948308167917027,79.62304354124404,136.91650483105906,-82.49223848833824,110.49380331632929,97.91573942077214,-0.7476984243850306,-104.41265246031392,157.47377185327406,71.10788509124676,-135.71828342296277,-3.530686266315269,1.1356830559994366,-139.99973043996764,171.31068823613435,-4.124619240537162,68.92030088447204,32.916660252402494,11.797542174302693,-57.62388740079396,-112.8771440097792,-140.83920369321132,0.9979030682295397,39.62090684517666,35.48039140415563,-149.8540732158201,175.68712451022554,-115.22290638830363,-21.829187226669326,29.815043874728673,-173.28910996727333,75.33029269118258,164.6182691144612,-142.43432165747976,111.64146555301872,-21.15227558235264,-59.4493279472494,-179.5459063525682,24.513861806067503,79.91358119826361,-137.3009823630268,-16.880346636232673,-94.5425391435446,178.8135808377819,-53.05373436398273,5.437547138378849,32.63978104385062,131.3450299721061,-115.5134036740981,165.1074500293933,9.094702684710846,-96.60043576513341,143.0926510080435,6.522298608039918,41.54479330032381,-127.90365535332542,-165.1491422339916,154.21048350532718,-55.81443614583444,-14.04250584386836,54.7534174288075,-104.86345442176751,126.76131187114574,115.70877869426218,-93.39719050759389,-0.14324976713370893,-87.9268375706072,37.53727535589638,-157.60730550241402,-8.783994308182713,30.256580497040567,-166.5038350320226,-32.08619922167398,61.08369250210833,2.7173146716323626,-100.9419486195656,90.94602571137403,-143.90570588420397,148.08737245679103,6.241413378494759,-29.189075811244898,-38.33078323913633,157.56918147294562,-177.55617591624627,171.10796074576328,76.48755565464974,-142.61955438681903,61.10790613447812,-78.24124705004898,24.97943836367407,-6.775186911759516,5.423668052962692,4.487691162360595,-170.8483571440537,43.5431552278907,-71.95182925465541,78.08558190845379,5.007060002869382,-156.90037414997835,128.84113472355023,-105.53168933101273,44.15508347252044,155.060229385082,148.67880516636365,5.13565871167895,-140.59458474545045,164.74626273314945,-159.93249925310968,7.2560819254601965,-25.474708287924592,88.27247070541732,-177.52327066732622,24.415895709919653,12.3825179833844,24.822402469438543,-124.7935553354812,155.7545276146376,-159.6541136351062,-14.130973505013413,28.26638529292927,172.3082467189639,-174.4593053733132,90.97830416116375,64.64418441540928,-117.28171661511107,-175.78076976258635,-22.39181250589164,-22.845166877303775,-0.8854778541869396,84.74518737720184,-60.921350703556925,159.994364797128,-54.358913546162,6.532987754480557
AOI3 Relative Saccade Angles,55.67698335634538,170.6994055177917,67.96315455343039,101.54442838141499,157.2490305446416,64.06048850429818,155.65808954614945,4.7211407654788555,25.494329956496415,60.263177269625416,154.95142070776197,41.08944092459403,122.35311244273481,98.41126862784846,17.435087652145203,114.55872750683541,73.69995412472451,125.95709077596428,38.59163497663891,131.345235612408,168.1783227295501,50.73339599720123,72.7506900749275,131.86926074791097,55.71783874501088,177.47309749763858,14.601001502219896,147.79835976687068,2.7824874743017864,49.47382196000025,16.97479831100568,44.21921984482773,138.8918928495504,100.92493041383993,42.16461985129036,79.42864829083894,122.70653871018501,39.40874331939728,12.986041804667524,167.42193610444284,81.33656215484284,76.33504596407111,81.88642431358798,93.6341132379727,26.826168514209524,47.812402843352494,175.33363067768528,38.86458650403291,131.310418676102,4.564692523328511,106.9550798749908,143.99635936793047,158.8808819219002,110.57857042490333,124.7467433910148,152.0379403165679,38.16289323855918,141.37699622305288,175.85948455897895,5.334464619975739,145.54119772604565,110.91003089852913,86.60628083836572,128.35576889860198,23.104153842002003,68.61940265845591,90.71202357672135,127.05259077194094,74.07578721049845,47.20625886462864,141.70294763510321,59.90342159468121,24.059768158635684,124.6002806078039,37.21456356129041,59.57936427320587,102.33780749268807,93.3561199813265,51.86731520176463,121.50871849763841,152.79776609452824,81.29475107174453,66.85843364620419,100.6208537034914,23.98725265531753,74.30486155015575,59.6930867731769,43.429647599996414,144.97750530771611,10.55155134635079,142.75451311933378,139.35962573931874,30.02491965116159,138.22806969803392,111.20407672732415,20.383128149424998,51.624766292913215,168.94746682311646,29.105969201856038,86.74605925953982,92.2164121965265,54.53588707349643,15.144580858310391,31.1766888057687,140.95942519477674,16.760415529063188,45.582364189651365,86.8301082762177,121.63362216952405,76.34073670880207,11.887974330939604,54.851731595577995,111.993078340995,38.15404092170374,144.56951081026034,170.85829257210858,15.899964712081927,155.12535738919183,168.66413666200947,85.37959490888647,39.107110041468765,23.727460521297147,40.65084681547292,76.77931458627695,148.2453747245664,167.80114503527778,179.06402310939794,4.663951693585723,34.39151237194439,64.50501551745388,29.962588836890802,106.92147809441559,18.092565847152276,105.74150887352853,54.372824054562926,30.313227196466826,69.09485408743843,173.61857578128163,36.4568535453153,34.2697565428706,125.34084747859988,144.67876198625913,12.811418821430104,147.2692097866152,66.25282100665807,85.79574137274354,21.939166377245858,167.96662227346474,167.56011551394587,30.38404219508026,100.54808295011877,135.40864124974374,34.476859869907216,137.6026412020573,35.958138573965385,166.7675520922771,85.43760953447696,153.66588025424556,1.9259010305203306,121.50094685252469,26.611042743305283,179.5466456285879,158.04031097688318,94.36933476861121,34.33346191924122,40.915715500684904,34.35327834328998,119.10809869935744,
