,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
NOT_AOI Saccade Lengths,60.44120332358351,37.37367594104996,57.809662568186354,67.81916057085532,93.4113621442875,46.2259204399234,397.1487649144748,302.7122449041907,95.67523791355308,61.05224961974352,46.92101793972753,46.3734892089518,215.51723882147866,132.62052700389646,493.1305106959643,169.09812514150434,94.9255619394076,73.37969188974586,171.18060881446414,47.988928552809874,305.1637886530053,162.2241349201797,99.61387015327726,36.652411933102435,26.440011288838793,18.03819055782365,11.44794182617834,56.11894014425367,81.50638034777081,33.77009352527213,46.410505395827485,89.82274964150258,336.7019606185461,27.7178700228047,49.8745760846006,92.24276833271695,46.29415511681706,100.60197470332236,49.42977114042466,73.99713640103418,32.42243658933361,17.058180272005245,12.58428422578651,142.54099383526375,23.05804448326101,38.46718315274078,32.90692212231669,152.33308248611934,135.04606091831553,165.25890113118245,111.94101730251245,193.51242079356197,113.87348961722036,161.9045628736273,109.79024500217704,19.567642383020665,81.44525218638383,45.85376686028294,18.08741045245268,21.60757934957436,47.953096714184845,32.225849452258736,8.473829056393091,19.008586416592436,38.97533820661288,30.58368803134782,13.163617025699283,21.87585092044814,94.35057286261102,41.837565476696874,34.25067150188214,204.42164374790468,143.49262548886557,40.88207038097546,53.64797854545149,73.9579476363208,77.09452907017999,47.0308556423674,17.854374703674445,22.63994987600276,54.98671514806068,12.250710924259128,24.02463755763436,51.00145133269141,85.23404390053108,40.59607247083616,36.04781688858818,9.849241719401373,15.842919472114028,1.9858396295266996,15.164745110902878,7.998740888714852,14.692017441316564,11.306274281643184,14.267047548789964,26.69003986346307,21.00785327616793,56.09002748037302,76.22578208988921,7.164880185598287,30.06478364149689,12.48472053586851,26.82844063155722,15.879336595634399,93.9855845387367,20.962823858409166,19.949436077697687,15.979725750105437,24.134852634980895,20.39987862674083,47.6282521875479,23.96421987773725,59.24090060933009,48.126685325072515,81.93896011486376,26.955295184449398,21.113706999703105,16.388240646741625,35.98742990440564,61.41124189988705,21.16995784561133,17.08905455685564,21.799163692719553,20.235313764554785,40.0762966760278,21.98408458797101,53.782972862688155,18.09439607608991,5.146456162181315,16.327995925764547,62.660831077580205,23.0897954900061,19.49121103428652,22.963033489517624,16.034225509797857,18.631100509013766,60.77297954350195,43.36978213884883,14.748236615250391,29.286537835241226,14.822813557527416,17.95351403584786,11.159412163068952,17.62448088971912,29.651462689138746,27.371074245410277,19.540951395235606,15.61698186317562,12.107991242733574,0.8818706098409398,38.03007725533495,31.38339824635682,12.148290009930646,12.961181911377151,15.586207975994766,37.49200045588256,13.376682526763487,36.86443461275644,12.742455912182015,6.264857049473615,11.4957955101876,62.137457530550066,34.5316257765437,18.516214846439944,13.53862547722392,11.167997600208032,37.84511200742329
NOT_AOI Absolute Saccade Angles,85.43374094607736,-97.30275788358364,-107.1416635757357,-0.6908620612595572,34.95771871042487,28.961046662417317,-85.10650472587993,-88.41801573724125,-90.89825122397741,-83.19581030370703,-83.66592145768645,151.56461072184766,77.07563879083438,87.12432966519118,92.24023298629916,109.40320887693207,141.32031584426778,-135.69042535149902,-113.55540749015219,-118.61328939231916,-77.95005885832202,-78.03515640764567,-71.21283284116437,-62.614050331026604,-58.370848976103936,-51.99821072734926,-41.08877324268217,127.43242897794653,142.5397847775984,-95.03605758513692,114.12487806808609,-91.10135217338494,104.87155785981273,-54.81753567404237,76.42545881767008,92.73020134352778,99.52070798494424,66.81005835032124,-86.21258454561145,105.1045530773277,92.85136603378366,-60.22048739929899,-158.9128089057278,97.968749597765,117.49102553550554,128.69211766474817,115.42519034855653,-101.95150552735039,-100.1236179342966,-80.69112528564037,-48.0701389463035,-58.9275323924007,-71.6683258028275,94.61756275209626,165.32548604265338,4.800673827685016,-85.88533475089257,-83.68308819976933,-22.445664337457675,119.54760501283987,11.550387983344354,9.847391603289138,116.35260629033367,142.36793364291185,121.74886434637568,-96.25389211847477,139.84944135955274,-104.65316801868808,109.27033090288778,30.30213265993966,-55.94847119988888,-65.9147882588073,-55.2005524568984,-61.92010520178904,101.99696574289966,142.78167452387757,139.78415412793774,136.68119619796263,134.12571997958833,-122.27329003227388,112.87523201052377,64.40398941715043,95.33254038123621,120.26753962751032,109.10440795169535,102.56782080233316,99.91229665012659,99.48965556982321,-153.1936196967259,-53.31064467694629,-86.03624668477201,-115.16951632148422,-79.64773645782519,26.654550816154224,-81.16345435736318,81.09613741485413,62.67920765100316,81.20718840938032,83.00778546206446,-43.743291797706156,66.67905692805948,-81.33322491002973,-82.66116675122966,-50.859008243591724,-105.92331602195026,-96.9105447487137,-131.19099204323638,-134.13213407846675,72.42492546959619,-58.068640271816086,-73.14212042374945,-39.612087916309584,109.39359878250862,97.99289549457465,97.00616807479398,97.37929293209088,97.43213663696511,62.3681526526199,112.02240149246103,100.13007853724673,-101.2163958194805,-65.55623972479974,52.812569010166825,81.83456092793021,80.93773737382853,75.50049858391353,85.0907633371561,90.70624374260787,109.01953740244504,-98.7753589342576,-97.29645207262222,-44.98194205686196,-46.32362154094632,57.61897549426867,-55.78157256676411,39.67905064230322,101.5146149670861,103.98107090584351,107.27712628378613,130.31951125081326,-141.64934484750034,-130.35387777500023,-134.4701415522499,-126.56543154485692,110.80415977027057,91.64522175092287,102.5324612858638,101.33332190621071,99.90451386279095,-148.07422511860656,81.96122107211865,80.97602094616407,18.777499865995182,59.87936048160188,13.927355344979539,-121.83553619392923,-119.02978960388054,-109.98334929614957,-109.86402537602444,-97.02913510281186,58.80212151319725,50.36524590412686,139.09002366471412,170.9060964528552,174.3204985581294,178.26876482643624,-89.3844992121694
NOT_AOI Relative Saccade Angles,2.736498829661011,170.16109430784795,73.54919848552386,144.35141922831556,174.00332795199245,65.93244861170275,176.68848898863868,177.51976451326385,172.29755907972967,179.52988884602055,55.23053217953413,105.51102806898669,169.9513091256432,174.88409667889204,162.8370241093671,148.08289303266426,97.0107411957668,157.8649821386532,174.94211809783303,139.33676946600286,179.91490245067635,173.17767643351868,171.40121748986223,175.75679864507737,173.62736175124533,169.09056251533292,11.478797779371293,164.89264420034814,57.5758423627353,29.160935653222996,25.226230241471015,15.972910033197667,20.310906466144896,48.75700550828755,163.69525747414227,173.20949335858356,147.289350365377,26.977357104067313,11.31713762293914,167.74681295645595,26.928146566917373,81.30767849357122,76.88155850349277,160.47772406225945,168.79890787075738,166.73307268380836,37.3766958759069,178.1721124069462,160.56750735134378,147.37901366066313,169.1426065539028,167.2592065895732,13.71411144507626,109.29207670944287,19.475187785031647,89.31399142142239,177.79775344887676,118.76257613768836,38.006730649702476,72.00278297050451,178.2970036199448,73.49478531295547,153.9846726474218,159.38093070346383,38.00275646485044,56.10333347802749,64.50260937824082,33.92349892157585,101.0318017570519,93.74939614017147,170.03368294108157,169.2857641980911,173.28044725510935,16.082929055311308,139.21529121902208,177.00247960406014,176.89704207002492,177.44452378162572,76.39901001186217,55.14852204279762,131.52875740662668,149.0714490359142,155.0650007537259,168.83686832418505,173.46341285063778,177.34447584779346,179.5773589196966,72.6832752665491,80.11702498022039,147.2743979921743,150.86673036328781,144.47822013634098,73.6977127260206,72.18199482648261,17.7404082277827,161.58307023614904,161.4720192416228,178.19940294731586,53.24892274022938,69.57765127423437,31.987718161910795,178.67205815880007,148.19784149236207,124.93569222164147,170.98722872676345,145.7195527054773,177.05885796476963,26.55705954806294,49.50643425858771,164.92651984806662,146.46996749256013,30.994313301181815,168.59929671206604,179.01327258021936,179.6268751427031,179.94715629512578,144.93601601565481,130.34575116015884,168.10767704478567,21.346474356727217,144.33984390531924,61.631191265033436,150.9780080822366,179.1031764458983,174.56276121008503,170.40973524675744,174.38451959454824,161.68670634016283,27.794896336702585,178.52109313836462,127.68548998423978,178.65832051591565,76.05740296478503,66.59945193896725,84.53937679093266,118.16443567521712,177.5335440612426,176.70394462205738,156.95761503297288,91.96885609831357,168.70453292749988,175.8837362227503,172.09528999260704,57.36959131512748,160.8410619806523,169.11276046505904,178.80086062034692,178.57119195658024,67.97873898139748,50.03544619072521,179.0147998740454,117.80147891983113,138.8981393843933,134.04799486337765,44.237108461091225,177.19425340995133,170.95355969226898,179.88067607987492,167.16510972678742,24.16874338399089,171.56312439092963,91.27522223941276,148.18392721185893,176.5855978947258,176.0517337316932,87.65326403860564,
