,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140
Page Saccade Lengths,161.88243753620642,69.25698792606045,85.46653912791784,25.198681116080785,78.57026796460548,20.46911315979525,30.408658340966635,74.38669011572175,53.36664591373897,47.926139627768364,58.71578351778679,38.240043735482686,47.94389058893826,25.462804524772448,23.206126557433958,18.57837706098428,14.582478526046973,11.784997883001125,10.449888619260854,39.992665499701786,34.25435495653107,28.715189328798253,59.604493681264714,131.33585751586756,63.17245516961876,50.906689006996544,39.841844940566745,87.31088187834204,43.13739414262404,22.636499781030427,20.65426755477382,31.624742663619546,17.15512065414775,14.075859923913223,11.255152240060372,10.650439448782787,36.325289133033564,82.37286815896647,69.94726667906825,57.56095572458169,46.512398199755694,65.25505212322278,281.1744752755697,117.35429325184732,57.362226906752404,235.08366663843736,44.56507814743888,76.09671246014256,191.5115389357772,48.605411517785335,93.89419576329917,111.77604805086355,58.3237749087134,64.84046058445718,24.746420138562524,17.44184644807982,54.47107656910286,43.59770835299787,42.592428509702195,39.5418571764979,15.524141032958607,49.93590153541656,17.77320634133995,16.25545234860979,41.39397762118065,15.422567683731325,85.19463411686814,21.102901228622834,19.583901875298842,17.6944908433383,15.604342107950917,19.556930454981007,26.243851755068587,17.043179551230967,14.255619686111645,18.188017430881057,133.22472810595028,24.434164343385337,56.3479555271445,20.05465887616259,38.351076796771,137.70546801609655,94.23700551681793,39.17379791495091,12.15643189102898,9.538289407458189,73.44337766305081,30.20530110023275,40.97432433203204,29.14771948207481,24.985093433081396,19.564584726190684,26.4204793038371,37.563130570595156,32.32071388506409,12.630261900847476,41.773605742732,13.942904704524816,12.644626511457094,22.832363510043972,8.216854249875931,113.11540699534915,32.67698358185307,16.21378766763031,49.272251509461995,42.84758015243507,94.55489154361338,53.22135155820601,17.664505184220808,13.373431143787592,35.71131398127964,115.80423237259883,75.69730973456043,11.256770500939925,19.48728870342342,37.28251776156666,35.21107044574093,10.78715517005905,9.377391704877274,20.485960859530753,20.560436391396973,8.387834283484217,19.45769076366742,26.848065690181773,39.32979747814772,33.174429526696024,43.8637734371338,3.941898756786076,42.969135462884864,2.081986147483955,37.066839551684446,32.56141476035952,37.88768655082696,46.58390011016533,24.80594096343011,19.84098520117748,33.418653481291784,59.11018224248585,13.81898111794739,33.99762719425771,26.294693476058683
Page Absolute Saccade Angles,-94.16374347061108,-105.20602528510638,-146.7641908206803,131.6368263355292,109.97919440521872,107.12786112185462,-6.056660641337599,-105.34381871991208,-96.80260852170134,-107.44620131177669,47.4101122441151,-7.21535597937014,24.30348516367494,-3.6966758019797705,6.196425971961718,11.456295424438117,17.639258275468126,37.27371528349879,42.98076771970447,85.14934810618482,87.60266317976205,90.12525452706535,-173.90648764039867,57.59689098764809,56.172733259223634,55.44150284705658,54.58552163427874,-172.33043177697056,-109.91322633244968,-115.43237597998959,-113.11588833345648,-126.10704510518,-145.54169495964177,-143.94121094492928,-142.1401596006774,-148.17147460760245,29.35168978882735,-104.4852268710965,-104.30833975972537,-103.42848972509691,-103.1864528167954,-114.440136691324,92.35791819382597,58.37160673408013,105.17544667466065,84.6163051230541,128.22275646690468,-154.36330568394712,-89.49307108679791,-66.16587352235464,-118.57908762969325,-82.09427286733629,-73.29149048406076,-96.9962211481625,-71.42632951980215,-65.5219001769062,-8.804805417947355,53.799897732913806,-90.13563492034066,85.27421296507269,-129.8382468039285,173.44995847732235,60.19109431473964,60.99834545433476,107.5810239180724,163.79335891806804,70.8597052015265,-109.27086477597918,-107.91524853908834,-106.72167534681947,-105.61577580440965,-55.70821101064201,-122.79514151246671,179.51359888664646,176.9273428126199,16.34036973736783,-105.00205438961166,38.53417140754921,94.21188563404286,25.8447818675138,15.679521197618302,77.152012248548,113.378897437252,116.76847172301363,158.5968546621255,177.7784078828825,120.85884357590184,-99.40912687073559,11.036283250395998,-106.12077846761646,27.016133012783065,-7.573579645470817,-103.61722713718244,-169.46110242881255,-168.83071685447612,-90.73928084126082,89.75600956973847,-66.41921167471988,-64.99139197760017,-42.847230836914896,-70.69217131785794,87.13547596820257,152.76177163458965,70.22520438820091,-138.90651327875196,-137.0636365917147,51.04115437475868,59.33626460353584,43.17056610962455,38.22126537947058,58.71839181195132,59.040788544826505,87.21083417127313,161.5018221970587,48.47531488501495,84.12256248878649,-134.41088842274422,77.58103279269673,50.79936396781821,-99.93422973022321,57.98189717102938,-154.6158388360206,-171.21526683899717,-124.79914778149528,64.55798522310714,63.7097700236215,-152.97693708398438,-121.54907824892427,-103.02188562217627,74.43139103023977,-101.49240599968145,73.82961703924877,85.51616370064625,89.80180987663215,83.22782436924379,82.38600907969314,-74.17926783724987,60.95370969030375,73.86314297517391,-129.05160787027668,81.28589262811441
Page Relative Saccade Angles,168.95771818550472,138.44183446442608,98.40101715620952,158.3423680696895,177.14866671663592,66.81547823680779,80.71284192142552,171.4587898017893,169.35640720992464,25.143686444108198,125.37453177651476,148.48115885695492,151.99983903434529,170.10689822605852,174.74013054752362,173.81703714896994,160.36554299196933,174.2929475637943,137.83141961351964,177.54668492642278,177.47740865269674,84.03174216746397,51.50337862804674,178.57584227157554,179.26876958783296,179.14401878722217,46.91595341124928,117.58279455547913,174.4808503524601,177.68351235346688,167.00884322827648,160.56535014553825,178.39951598528748,178.19894865574818,173.96868499307496,2.4768356035702066,46.16308334007616,179.82311288862886,179.12014996537152,179.75796309169846,168.7463161254714,26.798054885149963,146.01368854025418,133.1961600594195,159.44085844839347,136.39354865614942,102.5860621508518,115.12976540285078,156.67280243555672,127.58678589266138,143.51518523764307,171.19721761672446,156.29526933589827,154.43010837163965,174.09557065710405,123.28290524104115,117.39529684913884,36.064467346745545,4.590152114586655,35.1124597690012,123.28820528125087,66.74113583741727,179.19274886040486,133.41732153626234,123.78766500000437,87.06634628345844,0.13056997750567353,178.64438376310915,178.8064268077311,178.89410045759018,130.09243520623238,112.91306949817529,122.30874039911318,177.41374392597342,19.413026924747925,58.65757587302053,36.463774202839154,124.32228577350637,111.63289623347097,169.8347393301045,118.5275089490703,143.77311481129604,176.61042571423832,138.17161706088814,160.818446779243,123.08043569301935,40.26797044663742,69.55458987886841,62.84293828198754,46.863088519600474,145.41028734174614,83.95635250828839,114.15612470836987,179.3696144256635,101.90856398678473,0.4952904109992745,23.82477875554166,178.57218030288027,157.85583885931473,152.15505951905692,22.17235271393949,114.37370433361293,97.46343275361126,29.131717666952852,178.15712331296274,8.104790966473377,171.70488977122287,163.8343015060887,175.05069926984604,159.50287356751926,179.67760326712482,151.82995437355336,105.70901197421446,66.97349268795628,144.35275239622848,38.533450911530686,31.99192121544095,153.21833117512148,29.26640630195858,22.083873098747404,32.59773600704997,163.40057199702346,133.58388094249813,9.357133004602417,179.15178480051435,36.686707107605876,148.5721411649399,161.47280737325198,2.546723347583968,4.076202970078792,4.6779769610697866,168.31345333860253,175.71435382401407,173.42601449261164,179.15818471044938,23.434723083056994,44.867022472446386,167.09056671512985,22.914750845450584,30.337500498391094,
