,0,1,2,3
AOI1 Saccade Lengths,71.43352019558328,41.13951492764062,16.293631400377745,26.6974473194808
AOI1 Absolute Saccade Angles,14.669929875296948,-151.5178827547808,77.81647728344288,-16.115952632625845
AOI1 Relative Saccade Angles,13.812187369922249,49.33436003822368,86.06757008393127,
