,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
NOT_AOI Saccade Lengths,85.46653912791784,25.198681116080785,78.57026796460548,20.46911315979525,30.408658340966635,74.38669011572175,53.36664591373897,47.926139627768364,58.71578351778679,82.98619306517178,48.488057447956756,18.57837706098428,14.582478526046973,11.784997883001125,10.449888619260854,39.992665499701786,62.95440527362506,163.7154653832398,50.906689006996544,39.841844940566745,87.31088187834204,43.13739414262404,43.281940732213904,48.141982899335304,25.327922285342414,10.650439448782787,129.8758113164853,57.56095572458169,111.24408728071427,281.1744752755697,162.10531723011565,269.11401722434954,76.09671246014256,191.5115389357772,48.605411517785335,93.89419576329917,111.77604805086355,58.3237749087134,64.84046058445718,24.746420138562524,17.44184644807982,83.983868070162,4.484364501104108,15.524141032958607,49.93590153541656,17.77320634133995,16.25545234860979,51.588451854485406,85.19463411686814,21.102901228622834,37.27637575062614,31.922495223514822,26.243851755068587,17.043179551230967,14.255619686111645,124.73523892776764,24.434164343385337,56.3479555271445,20.05465887616259,38.351076796771,137.70546801609655,133.3623869358068,21.39593842493161,73.44337766305081,30.20530110023275,40.97432433203204,29.14771948207481,24.985093433081396,19.564584726190684,54.04894605019188,32.32071388506409,12.630261900847476,41.773605742732,13.942904704524816,12.644626511457094,22.832363510043972,8.216854249875931,113.11540699534915,32.67698358185307,16.21378766763031,49.272251509461995,42.84758015243507,94.55489154361338,53.22135155820601,17.664505184220808,13.373431143787592,35.71131398127964,115.80423237259883,79.48721174165928,54.318829647762534,26.681488709198558,13.131730922165932,14.230440659000623,42.658221340997,72.50225505138165,47.27209113576933,40.889310306200684,5.323533398830922,84.41314421087773,24.80594096343011,19.84098520117748,33.418653481291784,59.11018224248585,13.81898111794739,33.99762719425771,26.294693476058683
NOT_AOI Absolute Saccade Angles,-146.7641908206803,131.6368263355292,109.97919440521872,107.12786112185462,-6.056660641337599,-105.34381871991208,-96.80260852170134,-107.44620131177669,47.4101122441151,10.364022878494668,1.019943404005965,11.456295424438117,17.639258275468126,37.27371528349879,42.98076771970447,85.14934810618482,88.75299019748529,73.57977462889808,55.44150284705658,54.58552163427874,-172.33043177697056,-109.91322633244968,-114.32717396013977,-132.91645042228924,-143.1409704984202,-148.17147460760245,-92.74885652060581,-103.42848972509691,-109.75983763952253,92.35791819382597,73.32109868982971,91.17459572420883,-154.36330568394712,-89.49307108679791,-66.16587352235464,-118.57908762969325,-82.09427286733629,-73.29149048406076,-96.9962211481625,-71.42632951980215,-65.5219001769062,18.64054509888871,-45.25268759876958,-129.8382468039285,173.44995847732235,60.19109431473964,60.99834545433476,121.96753357684284,70.8597052015265,-109.27086477597918,-107.34871045342895,-77.66765214640533,-122.79514151246671,179.51359888664646,176.9273428126199,-97.8481470739017,38.53417140754921,94.21188563404286,25.8447818675138,15.679521197618302,77.152012248548,114.37401858322424,167.01943510095307,120.85884357590184,-99.40912687073559,11.036283250395998,-106.12077846761646,27.016133012783065,-7.573579645470817,-142.9724548226314,-168.83071685447612,-90.73928084126082,89.75600956973847,-66.41921167471988,-64.99139197760017,-42.847230836914896,-70.69217131785794,87.13547596820257,152.76177163458965,70.22520438820091,-138.90651327875196,-137.0636365917147,51.04115437475868,59.33626460353584,43.17056610962455,38.22126537947058,58.71839181195132,59.040788544826505,95.04624428875852,72.05403292207345,-146.7791702726896,-79.50172872265519,76.49656983770734,-144.09250264493164,64.16988360219341,-150.4849159032602,-102.89225512812415,-71.56951284961109,87.87968878611031,83.22782436924379,82.38600907969314,-74.17926783724987,60.95370969030375,73.86314297517391,-129.05160787027668,81.28589262811441
NOT_AOI Relative Saccade Angles,98.40101715620952,158.3423680696895,177.14866671663592,66.81547823680779,80.71284192142552,171.4587898017893,169.35640720992464,25.143686444108198,142.95391063437958,170.65592052551128,169.56364797956786,173.81703714896994,160.36554299196933,174.2929475637943,137.83141961351964,176.3963579086995,164.82678443141276,161.86172821815853,179.14401878722217,46.91595341124928,117.58279455547913,175.5860523723099,161.41072353785052,169.77547992386909,174.96949589081774,124.57738191300338,169.3203667955089,173.66865208557437,22.117755833348482,160.96318049600376,162.1465029656209,65.53790140815593,115.12976540285078,156.67280243555672,127.58678589266138,143.51518523764307,171.19721761672446,156.29526933589827,154.43010837163965,174.09557065710405,95.83755472420509,116.10676730234172,95.41444079484108,123.28820528125087,66.74113583741727,179.19274886040486,119.03081187749193,128.89217162468367,0.13056997750567353,178.07784567744977,150.31894169297638,134.87251063393862,122.30874039911318,177.41374392597342,94.7754898865216,43.61768151854911,124.32228577350637,111.63289623347097,169.8347393301045,118.5275089490703,142.77799366532378,127.35458348227117,133.83940847494875,40.26797044663742,69.55458987886841,62.84293828198754,46.863088519600474,145.41028734174614,44.601124822839424,154.1417379681553,101.90856398678473,0.4952904109992745,23.82477875554166,178.57218030288027,157.85583885931473,152.15505951905692,22.17235271393949,114.37370433361293,97.46343275361126,29.131717666952852,178.15712331296274,8.104790966473377,171.70488977122287,163.8343015060887,175.05069926984604,159.50287356751926,179.67760326712482,143.994544256068,157.00778863331496,38.833203194763044,112.7225584499656,24.001701439637465,40.58907248263898,28.262386247125058,34.65479950545361,132.40733922486393,148.67725772148697,20.550798364278602,175.34813558313346,179.15818471044938,23.434723083056994,44.867022472446386,167.09056671512985,22.914750845450584,30.337500498391094,
