,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406
Page Saccade Lengths,86.79354715556289,60.83401852015117,58.356038299224494,34.50662975700317,38.75569988880279,14.68678466921704,126.77006727666985,60.834203038591866,27.20670476128279,22.066337615909323,17.46998761708914,13.385802178760791,21.728363592616123,18.452981746986254,15.41689538291026,42.565980286535364,53.93456128250179,50.46917729941593,43.35157422312211,41.86712392991379,34.77594608451324,28.454903104011574,22.72407036936732,5.814596988551422,6.159961577274157,24.31144969802049,39.17937360830446,28.728663546402874,26.48069969592903,17.398832766923334,16.236234226824774,8.922641542002223,8.710941825673789,54.21827417398362,51.42494938704084,197.87225670816278,91.82403231697452,74.37721922192449,58.549048415170766,43.37485148697075,31.4445661598731,21.39077918849817,13.12104812505236,140.88429488210605,95.99929816336878,106.94980020461341,105.42605965138634,62.93967268350543,77.85035207594075,101.90929138401313,81.91599016716545,63.92458241413287,126.38054519619521,52.94965755855822,46.97161986899355,41.08955876363368,35.20119919152127,29.53056040138726,32.17699167141874,26.476044586231477,21.28792535072783,16.687660059428758,69.40137607431174,91.8763532076346,67.82589692624724,9.261526559397096,162.10596397156274,70.22156569199164,114.42568213920023,16.367229488239108,157.9035856416488,71.68310765652733,34.03237104720533,22.82732915511169,71.55937837160549,75.43021538496569,16.84370120827375,36.11688474985241,34.37116911577861,3.0142170050621737,17.84429349986033,62.67837036771228,14.038915052404368,33.664724551354105,24.689049068637388,23.00782283809388,33.54127336177757,24.767679010198556,51.663598140378184,27.721808669378408,29.032587487795546,24.579278421667713,142.5081556789635,110.96604671855509,92.49334052065332,93.4343908316225,100.81311723827463,33.22458184647448,27.761398099477084,19.490119565829346,12.98051816755769,26.122475946176326,92.4995841161539,103.4145907939961,71.24960356964952,76.32489833316347,39.71010308831955,29.989068054593528,53.085575896786025,33.32851954136058,31.87824065363681,70.3652331955033,80.34103588466739,73.73357457149639,54.0211734721782,66.25896707677491,53.24078687563505,41.653478879259,31.60105602256429,23.119685673651862,22.322696111710183,128.4899862800753,34.6305568428475,62.545791030733845,31.387267249270284,24.34465366286188,18.1805960993092,12.909511953471045,8.506726923966479,4.919848941989938,2.07923731690301,75.84575998169612,54.70574791815768,71.42521320559578,32.50261690346128,28.382979456885636,24.23516727199004,20.228645447610493,16.484229501192004,13.081873554373587,10.068364646259223,98.51854066024794,68.8467986063544,56.78022784979587,67.09627060853227,58.51294692459058,50.80399308094132,44.75805653577132,40.134717062189985,52.52752972230657,45.38555660698881,90.56219631129626,44.49072888941423,67.93138768555467,40.49285943443442,33.02537733459108,17.287406190088774,29.168764072886177,21.71036389827219,29.63252244130771,21.921519956232057,55.642536710472086,50.92824258142849,42.21665892516119,19.38084529314609,14.25046260776452,11.46927364344265,7.886023687920209,5.080464647094264,3.126070129459591,2.256616133173111,26.85897083904739,18.62335458124683,14.716503967871391,64.06744195373794,72.6255467798773,45.4473314340344,37.10396860949464,29.47575472580669,22.678033891641164,26.370309396825373,123.35686937582638,103.036449078388,103.91398129034806,68.48793547642356,19.73112946979932,14.349681981151667,10.590698320257696,8.430949336335052,7.594830788241466,7.503859142898281,29.663991687944712,25.23039498015949,21.054204796863853,17.227642762206,70.03826930876295,67.38429392860003,50.310693418760295,41.43783825545162,40.02968855178124,28.910695857442654,23.96178815408015,13.14225173899415,9.943505259492154,7.3834241729422,57.06112502334495,49.344482358054826,41.71565084643166,34.45168505345723,27.7443273711379,21.714719197818493,116.34264867941988,100.47882122038169,31.467948438960356,62.1662210760312,85.24475905375479,38.04184370826415,29.327103409561683,21.936203738808146,15.879655520590859,11.168817492421319,97.88372332519404,80.09905737014853,57.29787637804183,45.25120766547056,28.932970076202718,25.370065101414184,37.14055568831451,22.78303060914744,27.249098939790443,21.364088110597102,48.14376920301655,24.47745274617047,21.70607832909102,18.834212977172132,27.823105497844264,36.138814811333475,18.11155005255609,27.50962318772442,13.301204141611064,12.571793261305372,74.42190806981422,55.98700155487506,51.23188159744088,41.112573257187286,36.62514471756774,33.0647986833036,29.29233676804996,25.476681851795416,21.757953248611727,18.24468750169668,44.068014537051425,36.74474406478884,29.907770398314486,7.48534798216876,85.64491294112098,59.255539025328865,65.98515487123083,55.204534432379,92.02372439660182,75.68432226035078,99.37548915690886,99.24340412405778,111.50736074000959,81.21689399403,35.302803194085044,27.144631001912064,20.07233946066443,14.09173609325835,9.176435805471145,5.3057405741095085,106.94736600192702,58.66629762050672,79.64279926348112,67.69292446614138,109.28357978703244,54.772571343530636,149.27851992533397,126.52137066007306,8.217922012467964,99.9373990619759,45.287802724587884,44.440674383280154,56.37791743774692,50.328577678442855,16.339412056116643,45.86567903790332,29.404475342520055,36.75797279881232,31.10611601708663,54.775353433910134,75.21799342325383,67.8752856556085,56.68226146435791,43.25392075514339,98.28891389988502,98.40768534518556,63.35885780374632,77.97261367454388,33.008852543512695,52.038146376784375,43.51049667122502,49.196382628899066,12.905282531623094,6.191522422943358,37.937259831699784,43.73818761281695,33.17522772984542,25.487446757253416,23.566570384940853,9.304954081742736,118.08445595412486,104.78288235709097,89.49131951536116,74.6552283318361,13.185640898352156,11.583591093688804,12.984508485130624,11.627555328166567,7.838225714481823,5.841750882276922,36.5525754985631,29.149223927170855,43.48931437106252,30.073672425743172,1.7870195691108217,21.73631199707691,17.583655397410798,18.678893815959874,10.445927320638845,7.579708663411206,32.69828595290261,26.976449008161033,21.71078802710512,8.3933305604465,76.56530929014532,88.27108679047791,71.66548607769366,59.33558328813673,47.883574352980574,37.53367313372394,10.256999804777815,9.135341559230694,4.8920109195129005,10.480010314775607,12.494512303002342,86.6396965315541,90.49684718421386,76.8407340628966,54.30832475201549,43.86422569113596,38.05881201439939,32.90101844126196,15.868630830500596,27.7606947148855,7.1560628902940895,54.43537951226119,48.272169994990364,41.811935993252995,35.38795848979188,29.245091916472216,27.085565956382222,9.86489403020361,23.916329589513122,20.87792092386525,17.812926425795,2.8078320212891628,11.457327799758145,9.512402906757307,7.717881719896083,6.105948636126939,41.04303408613667,20.772616858377738,17.373207624785035,14.175879848791647,11.254469522495683,23.616215855363883,49.04053783417314,42.12632941034607,35.37770128998344,29.01677380167381,42.704070453082295,37.835198081609065,37.37901132184206,31.651625860838966,26.184590294932818,21.12587894604464,29.342264240310417,23.803873661912725,18.822150224511525,14.950200560925445,53.037045097617046,45.1112261557283,31.16054483863114,17.599744308342604,12.89020682375028,8.92231933656001,42.53558150125706,14.266762013326142,38.432444655760726,32.73690715059806,63.491880176615176,55.33604379466376,40.826610799532865,33.84774119076478,27.3543677883514,28.095713859087525
Page Absolute Saccade Angles,-135.53274239936457,-117.69960376307282,-142.55749666084242,-113.56979861488635,179.87428629750457,134.83962161151382,97.84106520182425,44.91233474405688,91.93167330939391,133.93134183040118,133.39700774275784,132.7466997789915,50.425958755882554,45.65562609522303,40.69155870491365,2.470836039032129,10.449849387733884,-66.79803282272006,-69.0596499793897,-91.2648430958519,-93.0073269790045,-95.77059931892832,-98.89294102283593,94.46301775872487,115.30175784261122,-150.3406079147067,-123.80496750091218,-130.88666971526177,-125.46897052235809,-136.88867498269022,-126.89550361243323,-149.19911169213051,-127.79510725227102,47.81040901152695,41.76767828451568,63.781742228803175,59.73684578565048,59.82183248232374,59.92023468704442,59.95002210138485,60.10097906407554,60.32696555326141,60.72679912748249,-102.68802533304047,-121.6773019631108,-119.08162666105734,-94.37387054557107,-125.45686368248818,-110.02288480615302,-121.40389321909068,-122.19758583412721,-123.13174499988227,62.446834134435676,113.1431236721916,109.99538353040168,107.18622693984938,104.41886353006822,101.57602215351919,85.67764176673938,82.6520697313436,79.27541641870705,75.31942691990142,-67.07879989741562,-20.56502135306914,-72.65957132317294,-53.670148298369824,115.15942891695818,-86.66765264810904,-25.07453934335353,43.80263339601906,171.5405651030922,56.06054812321825,-147.51360201869386,-90.75807193198204,12.630802156263206,28.957365240783822,67.27335486590891,-28.086348213265325,51.55816373145825,103.12048604515164,114.76645658074527,105.86398728962122,-49.847700107194726,138.63261163604582,-40.37311359964161,-41.22742439972754,144.89413126205852,-44.90715866025134,175.09510749790294,-37.41138587575175,140.49015772183674,140.59330373347515,-2.614114542860307,0.3508967685632098,0.11056060853078864,-68.76716843250263,22.91612604969988,-60.82819365855194,18.804738867298365,25.570859930006815,36.29182162823849,-177.20605468835316,-113.28657738735393,-127.02705543556422,-103.92923037667217,-133.29896715413435,-120.93407997370973,-123.29566269175064,-161.4270698704691,88.11241329047753,84.93552939044446,-172.97627382197635,178.76256589211687,142.39160981806813,-177.08989224134433,142.84748462798734,139.97376483113493,136.59837260709216,132.39863509498826,126.80867070923358,-57.19875771825866,11.50619518811893,45.428388408867065,64.71827210428971,76.9217698497157,77.06965331655317,77.25814084395446,77.52055933581724,77.93461585834197,78.73674703924952,81.16021037742064,-144.7438789373424,-149.7727617587655,-55.068877099256035,108.66760979762238,107.07199079494238,105.49213404531775,103.85558050560425,102.07920238231985,100.05118960344792,97.59964642864944,-149.76160938416174,-161.5696002025436,-160.92530374653822,-87.10150649694381,58.985333453049655,47.94114775770511,46.752827163721115,58.1038982152911,-45.046181598540294,-46.23347706198031,-76.79114323698276,-85.37074847266022,-77.65029110296682,96.08983251063454,73.80083020581176,121.90554818615682,147.05386412997365,91.50454359444299,-133.22379791581582,84.14721163122317,97.53821881441056,91.21690401126091,90.90648110514061,97.98280078686994,98.39297500910646,121.51637207277005,128.16449902460715,139.2896666928014,160.35048426030826,-162.97287388109422,126.26228294153579,149.56131168080375,152.91504085069286,-8.250189584024186,-14.066347680759403,26.461792619411302,26.89186342773927,27.38141892452537,27.972758067142177,-47.43102797817753,-142.4957987062738,-128.76611370003062,-133.75094989557496,-153.94434169053898,-179.10003921799404,168.72723654294003,151.86769046464215,130.49483371052204,108.45912859832771,90.3269522345379,118.73821127020562,114.9625851068334,111.03502487163874,106.78789077593748,9.379724595173819,7.666416602875771,7.816946008261146,6.911698970679335,4.899238871369956,-77.58490562101518,-111.02792407850808,-53.09438973411397,-60.65514647407875,-70.61198536927127,-146.99644301770303,-148.35624598675878,-149.72945107918306,-151.18151506241932,-152.79341724009203,-154.6815544805763,84.55145568445586,83.68795792130601,45.99008146963414,66.35934188863561,64.48441209677546,42.13821118695207,37.5507099125651,31.673226512702822,23.647283033503765,11.96685333290783,123.9974335935715,99.82670509385008,123.08235756887363,126.00121526100328,-100.11130079063078,-8.351177142746877,47.02008036595056,-34.9561425237065,46.285658178865,43.347218124047046,-148.76671194491712,-139.42874990030123,-136.90115990177205,-134.4760496587698,-134.06492543894885,-101.00616989366546,-140.0468360713844,-94.25269196144968,22.145506558353706,25.695298236530736,-126.773696461095,-139.12963401744315,-115.35502006335989,-114.60032372492377,2.451601422239295,7.038345743564216,11.271639495728861,15.327530694377923,19.35873843356785,23.51479515003387,-82.94746364615244,-84.53025071072594,-86.25207716564422,-74.15614477015082,94.99542886794791,85.95040758992265,97.13013804541472,97.7577343532146,81.04333742994942,80.82316942792912,-94.5431490883638,-84.76948168957088,-72.75412383598287,-81.87146176229226,-55.76236099925471,-54.05809998306962,-51.84496158981364,-48.69680834014106,-43.60877976446775,-33.59431091744771,105.47949621918951,108.93563644422824,133.22598679266812,105.30381868676017,-55.01445885529077,-52.08759956474216,-63.92341293529106,-64.19374934498133,14.70359148477789,-65.43810914741418,84.7969790219931,63.53677518815922,107.60546980867079,109.39463711772112,-17.21593207563155,132.49966188861768,-22.38202802830236,-55.019410950665,-56.749764336468104,136.4768175780496,162.8553763190764,138.02480232921087,137.78251454691846,177.52327118364084,108.69117242167594,113.46479312178447,104.37344711439893,93.25507546162187,102.30840095479905,87.3083152872489,139.70994225181337,-162.1783122230936,86.70076057772475,106.72130607288426,157.1080137906346,112.2936464096977,140.3456236102354,148.28633320704415,67.73336576482747,93.78604441954027,-59.827014382337154,-63.03396813865464,-62.9702941485952,-62.904314577054,-150.92447344671504,-168.85745563608216,-123.32444363083842,154.55819797272832,-137.68190693840168,-152.9416948829681,90.99096634876182,98.34127164975786,75.63717156666536,79.33122532880027,160.00857086397767,99.87178868921909,100.86197160406772,139.16095156799634,94.13826186236254,93.00649056183312,52.215175484356465,50.323521622251285,48.22009660935067,19.126822136818845,-98.57290017090217,-80.1991067013339,-83.83543704158419,-84.21890567664015,-84.64261825772745,-85.13713869872122,65.84130798330655,-70.79641929065434,-65.80438653202278,59.144015567121,3.4615149815176305,73.39000710328521,92.81189064616602,93.52664148696294,110.93861686941977,112.860086576263,-3.4502093910920086,-9.275288653756174,114.78877339724703,107.73431534054932,147.9445874464858,-85.9885553255819,-86.49539161409542,-86.98254480903405,-87.47314108683491,-87.99097375743649,120.64325310652772,108.27413202937718,118.77370782658252,117.74723017302126,116.72975070151078,28.591604479018677,73.0674833048377,70.45887968934893,67.59970407166092,64.31078266542526,-112.93832235295783,-130.82175854388336,-130.3861142707973,-129.91482102512276,-129.37770888828507,-105.87559978695845,-14.250520185897033,-12.73716866225797,-11.188405074599881,-9.528379406312455,110.13702451297675,122.62692779982672,116.42608604698596,117.77891188892565,119.20466947967932,120.78175140719215,148.0525824306388,150.72156057864544,153.79367758796735,111.60632031225485,-138.8336502301924,-136.80125645917798,171.68694962570407,164.90039982420788,162.8761607723292,159.92760694526004,-81.73626590402498,78.5413657252565,-77.9216754196092,-75.82921437137831,64.52799543324198,64.51561373979416,73.42446988242627,73.63740473555337,73.87203331963504,58.91874086513057
Page Relative Saccade Angles,162.16686136370825,155.14210710223037,151.0123019540439,113.44408491239089,134.96533531400925,143.00144359031043,127.07126954223266,132.98066143466298,138.00033147899273,179.46566591235663,179.34969203623368,97.67925897689106,175.22966733934047,175.03593260969063,141.77927733411846,172.02098665129824,102.75211778954603,177.73838284333038,157.7948068835378,178.2575161168474,177.2367276600762,176.8776582960924,13.355958781560775,159.16125991611364,85.64236575731793,153.46435958620543,172.9182977856504,174.58230080709632,168.58029553966787,170.006828629743,157.69639192030272,158.59599556014052,4.394483736202043,173.95726927298873,157.98593605571253,175.95510355684732,179.91501330332673,179.90159779527932,179.9702125856596,179.84904303730931,179.77401351081414,179.60016642577895,16.585175539477063,161.01072336992965,177.40432469794652,155.29224388451374,148.9170068630829,164.56602112366483,168.6189915870623,179.20630738496345,179.06584083424494,5.578579134317949,129.30371046224408,176.85225985821003,177.19084340944772,177.23263659021887,177.157158623451,164.1016196132202,176.97442796460422,176.62334668736347,176.04401050119438,37.601773182682955,133.48622145565352,127.9054500298962,161.0105769751969,11.170422784671999,21.827081565067218,118.4068866952445,111.12282726062742,52.26206829292685,64.51998302012603,23.574150141912096,123.2444699132882,76.61112591175475,163.67343691547939,141.6840103748749,84.64029692082578,100.35548805527644,128.43767768630664,168.35402946440635,171.09753070887598,24.288312603184046,8.480311743240538,0.9942747643125753,179.14568919991407,6.121555661786045,9.801289922309843,40.002266158154285,32.50649337365469,2.098456402411537,179.89685398836153,36.79258172366455,177.0349886885765,179.75966383996757,111.12227095896658,88.31670551779749,96.25568029174818,100.36706747414968,173.23387893729154,169.2790383017683,33.497876316591665,116.08052269900077,166.25952195178974,156.90217494110797,150.6302632225378,167.63511281957537,177.6384172819591,141.8685928212815,69.53948316094665,176.82311609996694,77.9118032124208,171.73883971409322,143.6290439259513,139.4815020594124,139.9373768693316,177.12628020314762,176.62460777595723,175.8002624878961,174.41003561424532,4.007428427492229,111.2950470936224,146.0778067792519,160.71011630457735,167.796502254574,179.85211653316253,179.81151247259874,179.73758150813723,179.58594347747527,179.19786881909243,177.5765366618289,45.904089314763056,174.97111717857692,85.29611534049054,16.2635131031216,178.40438099732,178.4201432503754,178.3634464602865,178.22362187671558,177.97198722112813,177.54845682520153,67.3612558128112,168.19200918161818,179.35570354399462,106.1762027504056,33.913160050006525,168.9558143046555,178.811679406016,168.64892894843,76.84992018616859,178.81270453656,149.44233382499755,171.42039476432254,172.2795426303066,6.259876386398653,157.71099769517724,131.89528201965493,154.8516840561832,124.45067946446933,44.728341510258794,37.37100954703898,166.60899281681262,173.67868519685035,179.6895770938797,172.92368031827067,179.58982577776348,156.87660293633644,173.35187304816287,168.8748323318058,158.9391824324931,143.32335814140245,109.23515682263,156.70097126073202,176.64627083011095,18.83476956528298,174.18384190326478,139.47185969982928,179.56992919167203,179.5104445032139,179.4086608573832,104.59621395468031,84.93522927190374,166.27031499375684,175.01516380445568,159.80660820503599,154.84430247254494,167.82727576093401,163.14045392170217,158.6271432458799,157.96429488780566,161.86782363621018,151.5887409643323,176.2243738366278,176.07243976480532,175.7528659042988,82.59183381923633,178.28669200770196,179.84947059461462,179.09475296241817,177.98753990069062,97.51585550761484,146.5569815425071,122.06646565560588,172.4392432600352,170.04316110480747,103.61554235156824,178.64019703094428,178.62679490757571,178.5479360167637,178.3880978223273,178.1118627595157,59.23301016503215,179.13650223685013,142.30212354832813,159.63073958099852,178.12507020813985,157.6537990901766,175.41249872561303,174.12251660013774,171.97405652080093,168.3195702994041,67.96941973933635,155.8292715002786,156.74434752497643,177.08114230787038,46.112516051634046,88.23987635211611,124.62874249130257,98.02377711034295,98.75819929742852,177.06155994518207,12.113930068964141,170.66203795538414,177.47241000147082,177.57488975699778,179.58887578017905,146.9412444547166,140.95933382228105,134.2058558900653,63.6018014801966,176.45020832182297,27.53100530237427,167.64406244365185,156.22538604591676,179.24530366156387,62.948074852836946,175.41325567867506,175.76670624783534,175.94410880135092,175.96879226081006,175.843943283534,73.5377412038137,178.41721293542653,178.27817354508173,167.90406760450657,10.848426361901307,170.95497872197475,168.82026954450797,179.37240369220012,163.28560307673482,179.7798319979797,4.633681483707094,170.22633260120708,167.984642146412,170.8826620736906,153.89089923696244,178.29573898381489,177.78686160674403,176.8518467503274,174.91197142432668,169.98553115297997,40.92619286336281,176.54385977496125,155.7096496515601,152.07783189409207,19.68172245794907,177.07314070945142,168.16418662945108,179.72966359030968,101.10265917024077,99.85829936780794,29.76491183059273,158.73979616616612,135.93130537948846,178.21083269094967,53.38943080664735,30.28440603575079,25.11831008307998,147.36261707763737,178.26964661419692,13.226581914517695,153.6214412589732,155.1694260101345,179.75771221770756,140.25924336327762,111.16790123803507,175.22637929989145,170.90865399261446,168.88162834722294,170.9466745068228,164.99991433244983,127.59837303543554,121.88825447490696,68.87907280081836,159.9794545048405,129.61329228224963,135.1856326190631,151.9480227994623,172.05929040319126,99.44703255778333,153.94732134528718,26.386941198122567,176.7930462436825,179.93632600994056,179.9340204284588,91.97984113033897,162.06701781063288,134.46698799475627,97.88264160356673,112.24010491113,164.74021205543357,63.93266123172991,172.649694699004,157.2958999169075,176.30594623786507,99.32265446482262,119.86321782524142,179.00981708515135,141.70102003607136,134.9773102943662,178.8682286994706,139.20868492252336,178.1083461378948,177.8965749870994,150.90672552746818,62.30027769227899,161.62620653043174,176.36366965974975,179.61653136494405,179.5762874189127,179.50547955900623,29.021553317972238,43.362272726039116,175.00796724136845,55.05159790085622,124.31749941439661,110.07150787823242,160.57811645711922,179.28524915920306,162.58802461754317,178.07853029315677,63.68970403264499,174.17492073733584,55.935937948996816,172.94554194330226,139.78972789406347,53.933142772067704,179.49316371148646,179.5128468050614,179.50940372219915,179.4821673293984,28.634226863964226,167.63087892284943,169.50042420279468,178.97352234643873,178.98252052848952,91.86185377750793,135.524121174181,177.39139638451124,177.140824382312,176.71107859376434,2.750894981616925,162.11656380907445,179.56435572691396,179.52870675432544,179.46288786316234,156.49789089867338,88.3749203989386,178.48664847636095,178.4512364123419,178.33997433171257,60.33459608071079,167.51009671315003,173.79915824715923,178.64717415806032,178.57424240924632,178.4229180724872,152.72916897655332,177.33102185199334,176.92788299067809,137.8126427242875,70.43997054244724,177.96760622898557,128.48820608488202,173.2134501985038,177.97576094812132,177.0514461729308,61.663872849285006,19.722368370718527,23.536958855134305,177.9075389517691,39.642790195379696,179.9876183065522,171.0911438573679,179.7870651468729,179.76537141591837,165.04670754549556,
