,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
AOI4 Saccade Lengths,41.79111702201393,25.552362586699843,47.37596822395071,107.68439888549285,234.59573758007875,81.07298104619825,6.511120395249329,61.67320040348286,139.30918316468822,30.08533251434513,48.21114917521576,67.54813090324822,42.297778652481995,74.73401413085682,51.98877736766325,97.333281777705,141.1021537867588,62.18198872453341,43.94762655076834,212.38785629151434,60.237307021322,69.13944525572252,58.56926798294428,39.277644416556825,54.40124146228653,89.05679634159809,19.400377409664568,62.321724596399385,84.20950484158202,15.384238111046123,47.105555236267094,44.693901147320794,11.008309164144961,6.495199083698981,28.726697024583128,15.564412621748595,9.085104677863058,82.30584517517642,32.34892122342282,55.21131306883605,8.956705281759572,5.541860803682187,9.194841239376355
AOI4 Absolute Saccade Angles,0.6588816156609949,-97.84616528280992,114.68787577417444,-166.59882325709543,-11.431111660246522,45.80138634973236,-54.89626521951869,-158.37992176024096,172.74874029407482,-91.52370389474451,-25.002129421295713,140.743553038957,147.7047874486279,-165.564226079545,-37.90225822672377,-9.706436258577652,4.854326911200869,175.47368139386091,110.04847295998775,175.7650781245349,-32.40807381736371,159.62142178025871,-15.269077696035003,-11.282282520888659,-60.05160331580516,137.05841508164082,107.76144319684333,-47.89328283034215,158.93855814793687,-167.06242588439542,-93.98073672611731,97.34320462155408,-134.79272204392504,-163.25708583805223,13.72794996951413,129.23696382366546,-166.3900119745744,-15.596043995314915,143.86343015084577,-97.93739433394798,99.96902947482292,-63.884651961443964,105.78844889789748
AOI4 Relative Saccade Angles,81.49495310152909,32.53404105698437,101.28669903126986,24.832288403151114,122.76750199002112,79.30234843074896,76.51634345927776,151.12866205431578,84.27244418881935,113.4784255265512,14.254317539747266,173.0387655903291,133.2690135281729,52.33803214717879,151.8041780318539,165.4392368302215,9.380645517339989,114.57479156612688,114.28339483545284,28.173151941898613,12.029495597622418,5.109500523706286,176.01320482485363,131.2306792050835,17.11001839744595,150.70302811520256,24.345273972814525,26.831840978279015,146.0009840323323,106.9183108417219,11.323941347671376,52.1359266654791,151.53563620587283,3.0149641924336494,64.49098614584865,115.6269757982399,29.20603202074049,20.540525853839313,61.800824484793736,17.906423808770853,16.146318563733136,10.326899140658577,
