AOI1,AOI2,AOI3,AOI4,AOI5,AOI6,NOT AOI
1,2,9,9,3,12,104
12,31,54,57,71,66,761
6,14,19,16,13,13,232
8,19,48,69,83,47,629
3,29,45,67,36,19,640
17,23,25,48,58,33,537
0,6,34,43,56,37,496
6,4,35,57,46,18,380
0,7,24,44,49,16,402
16,43,62,70,75,37,718
25,53,50,64,60,51,831
8,14,16,17,17,14,243
0,0,0,15,21,5,160
0,4,10,12,12,8,235
1,2,16,21,31,7,366
6,23,27,39,39,14,496
14,14,37,32,20,21,525
2,6,12,39,27,54,423
7,14,30,31,54,29,532
4,8,53,69,46,36,610
2,12,19,27,40,21,364
14,12,34,41,48,29,614
7,5,32,27,27,15,294
7,30,30,20,19,8,392
1,19,35,38,22,29,413
9,18,47,41,35,24,525
7,26,41,42,34,21,606
3,17,20,31,31,19,423
13,31,43,26,25,14,451
12,23,42,34,21,15,440
