,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145
Page Saccade Lengths,49.947521732407694,115.14751387322039,67.55671380574655,34.677398627981106,53.88914533211571,50.194896922366496,45.62301156164321,40.544414244972046,35.26945766550991,15.269506617257411,57.744683817442734,6.728818900858105,5.06020430163459,42.56575778990808,23.914860105572238,32.626981597337306,13.620373352606492,24.455370813679636,25.840630949325806,24.46555991670631,19.095989502295275,14.379038233061912,48.262540724458574,41.88542907100216,35.57403777801552,29.168845066559616,67.79499120238299,149.84680355398484,126.20080061577646,103.74454252025588,83.05661104534799,64.49429560703969,48.23744055020156,151.19831800382568,147.95931044013759,112.53010427925115,79.6854758987082,65.56511829470773,74.13388522153475,70.35836387332081,57.3063486268352,45.591398435101304,35.34444097722881,26.62407304707494,171.14561098212025,66.51794934174029,55.61307874058408,45.36360264661896,36.00424505329161,27.673501607929133,66.94378187808346,197.70300388498916,51.49982577901076,33.13527951114005,179.3983416180615,25.652130007556462,43.124598651939564,66.64172101702962,90.61362726238197,112.68565393884833,79.06958083199366,74.81135967359327,54.12815754834876,43.356668221451706,36.535213905844756,20.343204492619783,19.82464168888904,21.95124244198708,82.18178093420102,21.305843239089054,85.5897113027015,46.6208854469585,61.92102613954082,49.466514842302985,20.15317875226086,53.95973368314556,20.237119774910404,18.616652018494086,16.99621497961704,15.02422491574439,44.054831260985736,35.80524006861756,4.213959192164897,3.301342098882556,3.0695790676211323,2.216807541714317,37.69724901725181,22.287601183164824,19.318137616973065,43.92793797446317,21.426000234667583,17.78317035205312,30.466633858298184,49.7482167912473,21.93283930017649,17.628726737328876,21.60568608108874,32.99161818703056,47.710402927235705,31.651118075677577,36.22709136816223,29.673060370817552,1.1774468317015812,0.8143846487270227,36.77595552074844,27.947730936694825,23.389348015851283,19.06067885411322,17.625915838799312,63.115590857043095,19.602263746772667,42.5452820837815,35.409463571871854,28.73795066174302,23.20706110099713,17.751967371411066,32.93174671574564,27.26399797253699,23.187447025035723,10.784813001256195,10.064767894038168,9.22760851632603,3.4516242498708087,12.299849974629005,61.07960670089058,51.54804171041715,42.469822311967626,14.884924314823886,15.273704827509583,3.0490836463940396,6.4581254150412555,4.331177485203012,2.709464054742358,1.676046749173475,66.87708140372072,20.154837389584568,11.736666465110508,5.574359010951612,3.9310893474592907,2.718034530074415,36.13618699545238,76.66779554866194,68.18856278938286,64.97769627904978,63.48921149849945,48.66117746507188
Page Absolute Saccade Angles,160.8861481026568,-150.62714642952005,-138.8158087865277,64.8518440453707,98.65633400316835,95.08195328114164,91.96544778271223,89.11719550088871,86.39721884367219,136.58367924386457,90.66621509038008,-177.2414402035992,-158.32133695403618,26.584538147015866,39.90942427817377,22.645538914986933,-11.409097445952222,20.100790094617288,44.427848722383885,35.78177900843247,34.96935137677852,33.94879799813969,-75.78767572493886,-78.07286347308775,-80.36170951733149,126.16194053079197,62.307280466320094,55.48132280991017,55.760242201385616,56.057667888735516,56.39131255592794,56.78754173745317,57.29122305932107,-143.85014484717573,-137.2411604796293,-154.8743594872696,-149.98924682913798,-149.01100723960369,-113.54498596547533,-96.62652869747899,-93.25604936289868,-89.4152945196064,-84.81636609225973,-78.99851646949392,48.88802404089298,-90.11074832621539,-90.70109623891311,-91.34018028183372,-92.06896828535594,-92.95096584915241,65.16697655164656,-94.738554049667,-134.3182219626853,152.07670880183747,116.94658763668913,-58.57418833622651,74.01705340623175,95.76343364865312,92.23948724677857,60.424938881929236,77.13458406185433,106.74183251024863,-99.90483553242078,33.07559066806362,15.29804774926057,174.29372281845266,-5.096655653765405,-170.77983113649137,41.3495047231055,116.7894261690237,113.63108664589069,101.31981995668859,117.02510525527003,118.93847233383373,-36.34551313680443,-54.826170749614015,-46.2273877814607,-51.00314671212659,-55.757086868286,-59.627362427007895,98.42937441560534,-92.70607502268403,-10.718844332671589,-16.03001231312123,21.477751847889994,21.30351330316629,-133.23040462763285,77.90067102900173,77.67936286825784,-112.57211827891436,-141.28191852329414,-141.66641531568985,-146.77542401129512,-86.75430674606466,-65.3496033279739,-60.900818027208835,-60.350075577510104,51.27853037230926,67.3155175023485,111.00199135513294,-132.1964203965495,103.31058853341094,70.83806324750657,43.374978426415694,-90.50902196874691,-134.16341505145337,-134.5170548582176,41.558998477336544,42.217986248848675,79.81556853000095,-19.826338580890507,51.42992387838475,51.34912874794324,51.260821137435556,50.55765287209966,50.369027999845684,146.6464112334719,166.31829277770197,170.5541070151001,-130.15844325715483,-123.72633560408896,-118.17931060555883,-92.25143355822208,49.966476259116995,72.25638817261137,71.90995595423843,71.54212209286842,-23.59380547512385,-172.70477702806093,-84.81044622936822,102.75832951274397,110.48513608121162,124.17063777077347,151.00259151608049,-128.83163392884845,158.1901793007371,-69.52578153042164,-140.21604642748144,-139.25361335322614,-134.24318996381984,66.48262380639252,-66.91290432712285,-75.6803017844915,-74.46177981507425,-114.25096830212904,-55.86288497223502
Page Relative Saccade Angles,131.51329453217681,168.18866235700764,23.6676528318984,146.19551004220236,176.42561927797328,176.8834945015706,177.15174771817652,177.28002334278347,129.81353959980763,134.0825358465155,87.90765529397926,161.07989675043697,4.905875101052026,166.6751138688421,162.73611463681317,145.94536363906084,148.49011245943046,155.6729413722334,171.35393028604858,179.18757236834608,178.97944662136118,70.26352627692145,177.71481225185113,177.71115395575623,26.523650048123454,116.14533993552813,173.1740423435901,179.72108060852455,179.7025743126501,179.66635533280757,179.60377081847474,179.49631867813207,21.141367906496797,173.3910156324536,162.3668009923597,175.1148873418684,179.0217604104657,144.53397872587166,163.08154273200367,176.6295206654197,176.15924515670773,175.40107157265334,174.1821503772342,52.1134594896131,41.00122763289165,179.4096520873023,179.36091595707938,179.27121199647777,179.1180024362035,21.882057599201033,20.094469398686456,140.42033208698166,106.39493076452278,144.86987883485165,4.479224027084369,47.40875825754174,158.25361975757866,176.47605359812545,148.18545163515066,163.2903548200749,150.39275155160573,26.646668042669393,47.0195737995156,162.22245708119695,21.004324930807897,0.6096215277819202,14.316824517274048,32.12933585959685,104.5600785540818,176.841660476867,167.6887333107979,164.2947147014186,178.0866329214363,24.71601452936185,161.51934238719042,171.4012170318467,175.2242410693341,175.24605984384056,176.1297244412781,21.943263157386767,11.135449438289355,98.01276930998756,174.68883201955038,142.49223583898876,179.82576145527628,25.46608206920087,31.13107565663457,179.7786918392561,10.251481147172193,151.29019975562025,179.6155032076043,174.89099130439473,119.97888273476956,158.59529658190922,175.55121469923495,179.4492575503013,68.37139405018063,163.96301286996078,136.31352614721555,63.198411751682436,55.50700892996042,147.5274747140956,152.5369151789091,46.11599960483741,136.34560691729354,179.64636019323578,3.923946664445852,179.34101222848787,142.40241771884774,80.35809288910855,108.74373754072474,179.91920486955848,179.91169238949234,179.2968317346641,179.81137512774603,83.72261676637378,160.32811845576995,175.76418576260184,120.71255027225494,173.56789234693412,174.45297500146987,154.07212295266325,37.78209018266093,157.71008808650564,179.65356778162706,179.63216613863,84.86407243200773,30.88902844706293,92.10566920130731,7.568775742112186,172.27319343153235,166.31449831043813,153.16804625469297,99.8342254449289,107.02181322958552,47.71596083115873,109.3097351029402,179.0375669257447,174.98957661059373,20.72581377021237,46.60447186648464,171.23260254263133,178.78147803058278,140.2108115129452,121.611916670106,
