,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
NOT_AOI Saccade Lengths,115.14751387322039,67.55671380574655,34.677398627981106,53.88914533211571,50.194896922366496,45.62301156164321,40.544414244972046,35.26945766550991,15.269506617257411,57.744683817442734,6.728818900858105,5.06020430163459,42.56575778990808,23.914860105572238,32.626981597337306,13.620373352606492,49.16773352087303,24.46555991670631,19.095989502295275,14.379038233061912,90.1301348779964,35.57403777801552,84.79241240737419,379.7890213411903,147.55003855024333,48.23744055020156,408.6525842653535,79.6854758987082,65.56511829470773,74.13388522153475,70.35836387332081,57.3063486268352,45.591398435101304,35.34444097722881,26.62407304707494,128.5774671313476,55.61307874058408,81.3662238941937,27.673501607929133,174.80288172922852,33.13527951114005,179.3983416180615,25.652130007556462,43.124598651939564,66.64172101702962,90.61362726238197,112.68565393884833,148.7771839490224,54.12815754834876,78.93943110889016,20.343204492619783,19.82464168888904,21.95124244198708,82.18178093420102,106.86963987154947,46.6208854469585,111.37220810289733,73.35233270880128,38.82009246364254,16.99621497961704,15.02422491574439,11.28936678393493,4.213959192164897,3.301342098882556,3.0695790676211323,2.216807541714317,37.69724901725181,22.287601183164824,19.318137616973065,43.92793797446317,21.426000234667583,48.2051719107515,70.62333696479472,17.628726737328876,21.60568608108874,32.99161818703056,73.90572233549759,31.230938140565623,1.9368204427689644,60.1732028205885,23.389348015851283,36.685988988269095,62.87596337002095,42.5452820837815,35.409463571871854,51.94404487969042,35.66215024312458,50.41720631885314,20.81678375598152,12.4238151026562,72.6103962048329,51.54804171041715,42.469822311967626,14.884924314823886,15.273704827509583,3.0490836463940396,6.4581254150412555,4.331177485203012,2.709464054742358,1.676046749173475,66.87708140372072,20.154837389584568,11.736666465110508,5.574359010951612,3.9310893474592907,2.718034530074415,36.13618699545238,76.66779554866194,133.1587347179856,98.17103159761756
NOT_AOI Absolute Saccade Angles,-150.62714642952005,-138.8158087865277,64.8518440453707,98.65633400316835,95.08195328114164,91.96544778271223,89.11719550088871,86.39721884367219,136.58367924386457,90.66621509038008,-177.2414402035992,-158.32133695403618,26.584538147015866,39.90942427817377,22.645538914986933,-11.409097445952222,32.60445040884079,35.78177900843247,34.96935137677852,33.94879799813969,-76.84943128455676,-80.36170951733149,80.29446921083732,55.73143973279403,56.56450368105959,57.29122305932107,-144.47959669281192,-149.98924682913798,-149.01100723960369,-113.54498596547533,-96.62652869747899,-93.25604936289868,-89.4152945196064,-84.81636609225973,-78.99851646949392,29.046950339901745,-90.70109623891311,-91.66265921224108,-92.95096584915241,-97.95679698680658,152.07670880183747,116.94658763668913,-58.57418833622651,74.01705340623175,95.76343364865312,92.23948724677857,60.424938881929236,91.51920151738534,-99.90483553242078,24.951876812481885,174.29372281845266,-5.096655653765405,-170.77983113649137,41.3495047231055,114.26043625497294,101.31981995668859,117.87480986837711,-49.8299593263818,-48.51561875759397,-55.757086868286,-59.627362427007895,136.20176043760225,-10.718844332671589,-16.03001231312123,21.477751847889994,21.30351330316629,-133.23040462763285,77.90067102900173,77.67936286825784,-112.57211827891436,-141.28191852329414,-144.89283868948647,-80.24640958084086,-60.900818027208835,-60.350075577510104,51.27853037230926,84.52142653605773,176.2598980286875,59.65680725828534,-109.2092188784157,-134.5170548582176,41.875606161783224,61.91555442959647,51.42992387838475,51.34912874794324,50.94667269057966,116.990036682356,168.26499241130833,-127.05357324724291,-111.20205897354589,68.57257147104433,71.90995595423843,71.54212209286842,-23.59380547512385,-172.70477702806093,-84.81044622936822,102.75832951274397,110.48513608121162,124.17063777077347,151.00259151608049,-128.83163392884845,158.1901793007371,-69.52578153042164,-140.21604642748144,-139.25361335322614,-134.24318996381984,66.48262380639252,-66.91290432712285,-75.0857316786862,-89.28196450265865
NOT_AOI Relative Saccade Angles,168.18866235700764,23.6676528318984,146.19551004220236,176.42561927797328,176.8834945015706,177.15174771817652,177.28002334278347,129.81353959980763,134.0825358465155,87.90765529397926,161.07989675043697,4.905875101052026,166.6751138688421,162.73611463681317,145.94536363906084,135.98645214520698,176.82267140040832,179.18757236834608,178.97944662136118,69.20177071730356,176.48772176722522,19.34382127183118,155.4369705219567,179.16693605173444,179.27328062173854,21.77081975213298,174.4903498636739,179.0217604104657,144.53397872587166,163.08154273200367,176.6295206654197,176.15924515670773,175.40107157265334,174.1821503772342,71.95453319060432,60.251953421185156,179.03843702667203,178.71169336308867,174.99416886234582,70.03350578864404,144.86987883485165,4.479224027084369,47.40875825754174,158.25361975757866,176.47605359812545,148.18545163515066,148.90573736454388,11.424037049806124,55.14328765509733,30.658153994029206,0.6096215277819202,14.316824517274048,32.12933585959685,107.08906846813254,167.05938370171566,163.44501008831148,12.295230805241097,178.68565943121217,172.75853188930796,176.1297244412781,15.829122864610135,33.079395229726174,174.68883201955038,142.49223583898876,179.82576145527628,25.46608206920087,31.13107565663457,179.7786918392561,10.251481147172193,151.29019975562025,176.38907983380767,115.3535708913544,160.654408446368,179.4492575503013,68.37139405018063,146.75710383625153,88.26152850737024,63.396909229597846,11.133973863298968,154.6921640201981,3.6073389799991684,159.96005173218677,169.51436944878827,179.91920486955848,179.5975439426364,113.95663600822364,128.72504427104772,115.31856565855121,164.14848572630297,0.22536955540980105,176.66261551680591,179.63216613863,84.86407243200773,30.88902844706293,92.10566920130731,7.568775742112186,172.27319343153235,166.31449831043813,153.16804625469297,99.8342254449289,107.02181322958552,47.71596083115873,109.3097351029402,179.0375669257447,174.98957661059373,20.72581377021237,46.60447186648464,171.82717264843663,165.80376717602752,
