,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155
NOT_AOI Saccade Lengths,263.8228850211258,175.642047429942,151.71085221355125,91.5193873042334,68.90663026614364,63.750255851744036,198.44809553191274,197.78420317268507,1064.915118205724,81.84797811695506,95.56751873357312,135.15962409372898,115.92361095557642,101.21412467797217,106.49617319305773,192.4528712858325,136.26081421175056,120.20905092159143,289.4241196153095,53.07350576165487,193.16149852777497,124.45680080269021,53.066156132638774,43.379316250802795,29.014153515565795,27.528801300842936,20.685068503534037,14.870643882717197,10.075170391753339,6.292051763158092,85.93919847848436,56.59408357037954,65.38823661231902,302.39800748878605,145.44594624526593,83.77297390583104,38.89677328331563,7.619353443895932,180.6508623239033,176.21307763165007,107.70158214382717,53.287344443192666,41.155333897579546,30.577340671653747,21.569300137741042,14.085219474365099,8.045648113500633,3.4222383432354504,38.294978263313695,169.60036665692778,74.61000025390527,61.17603635493197,48.8487314606211,134.27940014747008,111.72192758772587,90.72485050856174,75.02229327468865,58.35549301060529,43.9634292203167,31.88553771339682,104.693956364591,106.37292807871546,31.569063327855954,119.35001287409708,192.34105337676354,404.37916684960635,171.65066741545215,36.053992893393236,148.17031502388357,138.46038628757896,560.2544975410227,88.66901279245677,60.17416860919429,65.24157853979747,23.844248138786984,37.271347775475455,23.55752672289396,9.754191509058519,22.684797576726407,53.25847514269486,105.9039809942748,42.04443632498878,57.35080469174568,33.451906921344474,84.40843362233801,143.78431702775634,180.06185366620707,46.98370103872084,58.77777142156662,70.81363228781923,199.7406064584241,42.80301673400224,146.5474730414607,30.080032444151584,85.65272476391402,69.83237430413675,15.188413799685385,15.705094900340672,37.1509411827241,28.753745891437514,99.01534775080613,34.64531429542967,52.128407837284115,65.04580161601591,39.645582500510066,51.731278433131436,10.994809018204784,26.023859567136356,21.29792432534264,2.176228443305659,33.245113731228805,27.1397874628646,22.18094690591171,12.503010035373237,23.888232281594945,19.40034440837502,66.42844596098175,27.161851830662535,21.086054220083824,15.767062267601199,17.085940875889843,16.616210136778086,29.884464169381303,16.578962076195594,101.48520430576288,90.2008981384464,36.22244313476318,73.26992013206215,46.42402834405336,29.32272144496798,31.914541411863947,24.620301057124365,40.67743987678719,73.72628792263649,96.14922155376216,104.89992881899194,95.27348819100835,73.90628497249855,51.26465212077317,37.850631222267964,26.447320819965682,16.980447363158806,9.318496985679285,3.293357052454313,36.7281193944719,225.36572899501255,207.1357244489811,314.0756804058873,121.9523648521361,37.25170058816146,33.22222680065377,0.824844329769373,32.72634113594592,24.16179981177228,35.83975359523367,47.059374223557214
NOT_AOI Absolute Saccade Angles,93.31915814244067,100.04900127241221,95.56485846579916,92.60835963006457,103.74053592132795,74.2530833882761,-88.75498977483576,-87.80274065386452,-87.38102797290695,-86.02638270964044,102.49413446518051,-79.54260877766194,-72.58308840702081,-79.94486549357222,-82.61483844957,96.41496903102971,90.07064051284127,90.27827159637253,93.55970052243138,88.96478233493961,-72.35503171277978,-78.14982964168364,-98.46843599027942,-100.23466418485455,-105.1541875421653,-104.10699781075171,-106.91906684711388,-110.76367777879427,-116.5967692290757,-126.81100614110179,95.72318480538833,96.68352510502673,107.05445393752768,79.91930385104774,75.32843606509643,73.30855973967388,69.18918126257265,58.83744214982778,-128.97814939548076,-117.26836119716108,-107.64225595339862,-131.93683344029844,-132.78554126892965,-133.87751022004824,-135.4158191403425,-137.88173845907465,-142.766725207148,-157.76279889003206,62.963080423533484,-21.18731795052501,-25.96574070037532,-25.041707197628785,-23.999740382175624,-86.16853398584891,-87.80302411035655,-89.58907640219245,-102.4625367347477,-105.9011574273743,-110.23480692023018,-116.0948707856032,176.20000231304383,110.23537065429191,42.33008729132907,77.33359757323703,101.01464897435147,92.86800365900952,101.82144075089998,63.80706216463366,-77.28482354578763,66.7957460732882,94.78668107416574,105.90126600451539,104.87699144620834,102.95051059146137,87.18509076343008,64.51959711111569,51.57561152776937,20.354178191450302,-14.440660798806926,-86.91345321871506,-51.740855145684954,-163.07268226865156,-109.82183017259518,-131.3068831412267,-88.1042206823644,-93.16185194912161,-83.60073425233101,-86.03485958601796,-85.45119460079502,92.08863639559202,115.63259564060556,-22.599199928117276,93.53514698570496,126.73861639553411,102.76459010880355,102.66349801310282,177.47159968611604,-156.70165556474913,81.62668311736773,78.26725678768152,82.45308565627734,-71.50273276090934,-72.10515268836596,-97.7268355362441,-91.12121059837568,-98.26956973251312,31.12581081138225,-91.63748091170109,-91.77743372028016,-54.653928641217774,-103.15366181257542,-103.75107499386141,104.01854164468884,-128.40162642730016,-69.6220030138973,-67.49370640916602,-85.42433073157879,-82.02218586362697,-81.44424526270987,-80.7092007280632,83.25096965884195,84.71161391051042,86.37546396898667,48.58649102502312,-111.86013485535051,-108.57025861405303,62.327852178587584,-4.272762791610752,11.962711030555308,-3.523981228619255,75.23814168328455,85.64672542262878,96.36972868399602,132.272018127822,96.32650258390812,93.06728128472476,88.06771579879508,93.63969390989494,93.82148254061309,93.88122602340654,93.96672172027135,94.10741904407762,94.4022278403229,95.52448893633037,59.62457729664643,-84.79065424734904,-90.43523288018278,-89.47943455597058,-87.40025901225958,-87.19936578218423,74.69468661523857,-20.78644195443844,-75.04695919554405,-52.229817397475856,76.15384354281339,-70.57384085707379
NOT_AOI Relative Saccade Angles,173.27015687002842,175.51585719338695,177.04350116426536,168.86782370873664,150.51254746694815,16.991926836888137,179.04775087902874,179.57828731904246,178.64535473673348,8.520517174820958,2.036743242842446,173.04047962935886,172.6382229134486,177.3300270440022,0.9701925194002905,173.6556714818115,179.7923689164687,176.71857107394115,175.40508181250823,18.680185952280617,174.20520207109615,159.68139365140425,178.23377180542485,175.08047664268926,178.95281026858638,177.1879309636378,176.15538906831964,174.16690854971858,169.78576308797395,42.53419094649011,179.0396597003616,169.62907116749903,152.86484991352006,175.4091322140487,177.98012367457744,175.88062152289876,169.64826088725516,7.815591545308523,168.29021180168027,170.37389475623758,155.70542251310016,179.1512921713688,178.9080310488814,178.4616910797057,177.53408068126782,175.11501325192668,165.00392631711597,40.72587931356554,95.84960162594152,175.22157725014966,179.07596649725346,178.95803318454685,117.83120639632672,178.36550987549236,178.2139477081641,167.12653966744477,176.5613793073734,175.66635050714413,174.13993613462694,112.29487309864705,114.0353683412481,112.09471663703715,144.99648971809205,156.31894859888553,171.85335468465803,171.0465629081095,141.9856214137337,38.9081142895787,35.919430380924176,152.00906499912244,168.88541506965035,178.97572544169293,178.07351914525304,164.23458017196873,157.3345063476856,167.05601441665368,148.77856666368095,145.2051610097428,107.52720758009185,144.82740192696988,68.6681728770334,126.74914790394364,158.51494703136848,136.7973375411377,174.9423687332428,170.43888230320943,177.56587466631305,179.41633501477708,2.4601690036129638,156.45604075498647,41.7682044312772,63.86565308617779,146.79653059017082,156.02597371326942,179.89890790429925,105.19189832698676,154.17325525086517,58.32833868211687,176.64057367031378,175.81417113140418,26.044181582813327,179.39758007254335,154.37831715212187,173.39437506213156,172.85164086586255,50.604619456104636,57.23670827691666,179.86004719142093,142.8764949209376,131.50026682864237,179.40258681871404,27.769616638550232,52.420168071989,121.22037658659714,177.87170339526872,162.06937567758723,176.59785513204818,179.42205939908288,179.26495546535335,16.039829613094845,178.53935574833156,178.33614994152373,142.21102705603647,19.55337411962638,176.71012375870257,9.101889207359388,113.39938502980166,163.76452617783397,164.5133077408254,101.23787708809618,169.59141626065576,169.27699673863276,144.09771055617398,144.0544844560861,176.7407787008166,175.00043451407035,174.42802188890013,179.81821136928187,179.94025651720654,179.9145043031352,179.85930267619375,179.70519120375474,178.87773890399248,144.10008836031608,35.58476845600453,174.3554213671663,179.0442016757878,177.92082445628898,179.79910676992463,18.105947602577213,84.51887143032299,125.7394827588944,157.1828582019318,51.61633905971075,33.27231560011282,
