,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
NOT_AOI Saccade Lengths,466.1509555074145,597.2847841903198,316.5655185538266,44.834038790508814,134.06731325030083,197.61582046490994,191.69297213117014,241.19740644886306,270.48875521331104,394.42377841876,462.6747967131246,257.2846060620874,85.14421828544906,146.68308454729797,586.9851340353341,797.8492698714632,499.311856285755,150.13074146969512,219.77941503466414,435.6933459346783,42.05080809162629,219.70111003998096,132.96162615978557,135.0143688542391,93.72567623949824,222.94065004515048,360.2456074549274,111.88829043698102,220.48635269626266,136.3372771478761,161.29463286282876,5.597197775711996,268.3558636431364,172.67109192683571,179.9233137339396,246.85194846525457,178.7745758217643,16.24712865178754,70.59870396718142,89.5611022841993,109.92155278790379,151.61958670774814,171.4001374698185,242.27802985144356,16.573448776849922,888.635734685546,445.3662401629111,386.86303467785217,296.57955783425786,225.7007753756931,125.30095524108535,536.7986366637069,503.7416822259749,1434.198286740447,343.46241006953824,314.4644338734432,197.98756178976785,178.29279956166135,198.1508780587845,267.6341283692065,325.99621966582197,138.48003869644845,319.97978036181297,169.77903200014842,233.46708819125007,175.2824631167623,397.6409748582418,199.8841534230753,149.4933222428563,434.32500536018983,366.2352172056942,302.764143821451,244.01189874206943,191.0767431141551,144.54993522069825,361.53864020687,285.73085305560016,275.0800091567716
NOT_AOI Absolute Saccade Angles,89.89420525981583,84.31288669727756,-76.41434320478618,-19.261956357840837,-42.542320565574144,-108.22341885135177,-122.55669207156589,-144.13837517917318,-140.04801556730695,-127.51988797314073,-120.59614413163816,-120.05191861490358,47.183897944379645,80.54002385822524,61.22091930597219,74.9928748334756,-10.856783656846218,53.80465245416906,139.55148077362176,-85.5326053457178,-168.28915054738746,-104.27244439817449,-53.32689984288282,-49.63872080002848,55.51892211794907,128.31999583042844,163.2328742728353,-175.5460577906602,138.43495095647265,116.1179829679259,113.4436488431429,42.72983596163884,-87.63982751957882,-75.59499588305621,-81.35201224728229,-83.00060821995687,-73.85952582598861,53.28381347699137,-71.62860260880578,74.27604838891547,71.59024499945937,79.65645922882291,72.52073679364638,75.65857607604228,-37.23795377788677,78.41910589188304,66.92761423599548,68.85339809090954,6.294993019622817,9.010681998087044,54.772312684182566,-103.34599298744685,-100.78342975514444,-118.42472245181399,-119.62638809022206,-112.95784135771366,139.3630340630055,133.8933831760742,101.6740180799576,82.05914629554488,85.3007294546219,90.13953447129339,69.6698380167191,64.47840747269774,65.43287506966415,-37.205479808974815,-54.92238345587287,-75.52070920900681,-68.53798392786182,-114.70375015488428,-113.67624643272877,-114.78279909683741,-116.00895204185225,-117.44335370216304,-119.23110167154374,78.92825124450958,77.15795003050093,82.80025087642524
NOT_AOI Relative Saccade Angles,174.41868143746171,19.272770097936274,122.84761315305467,156.7196357922667,114.31890171422238,165.66672677978588,158.4183168923927,175.9096403881338,167.47187240583375,173.07625615849744,179.45577448326543,12.764183440716794,146.6438740861544,160.68089544774693,166.22804447249658,94.15034150967819,115.33856388898472,94.2531716805473,45.08408611933955,97.24345479833032,115.983293850787,129.0544554447083,176.31182095714564,74.84235708202246,107.19892628752064,145.08712155759315,158.77893206349546,133.9810087471328,157.68303201145326,177.325665875217,109.28618711849596,49.63033651878233,167.95516836347738,174.24298363577392,178.35140402732546,170.85891760603178,52.85666069702001,55.087583914202845,34.09534900227875,177.3141966105439,171.93378577063646,172.86427756482345,176.8621607176041,67.10347014607095,64.34294033023019,168.50850834411247,178.07421614508593,117.44159492871327,177.28431102153576,134.23836931390446,21.881694328370614,177.4374367676976,162.35870730333045,178.7983343615919,173.33145326749164,72.32087542071918,174.5303491130687,147.7806349038834,160.3851282155873,176.75841684092296,175.1611949833285,159.53030354542568,174.80856945597867,179.0455324030336,77.36164512136105,162.28309635310194,159.40167424686604,173.017274718855,133.83423377297757,178.97249627784453,178.89344733589135,178.77384705498514,178.56559833968922,178.21225203061928,18.159352916053304,178.22969878599133,174.3576991540757,
