,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
AOI4 Saccade Lengths,7.102520871661641,90.24121221249706,277.6266881704456,234.67094835333367,202.06705711741046,55.29444169030041,120.40113323133446,154.93184721171835,197.75933132937288,17.58956898916798,63.4838444270115,176.22899418508572,529.7757540255014,520.1930993807522,246.857391978025,127.58292859826386,104.69625743464114,163.80932979952544,75.15633475782415,67.56643532138469,17.470026806766295,34.84472128237492,24.301809554164066,152.51887207502534,67.84253302559468,80.72962130227293,104.41036871295363,43.8428565325335,64.43877709385129,94.15012337127473,168.54710185315548,100.51748053857293,65.57409383757404,314.46903927354526,51.59318751212232,348.26173685849477,64.09689056203109,160.99413303734033,128.3486727636379,15.869841110961692,75.43020577476877,38.55709697460873,52.1384219644371,88.53187331871855,89.20853692563016,63.79144397035915,73.69659423368213,41.43216838955317,213.6666522803477,115.86975505404783,213.55279194012678,18.910152329542694,161.4920732474943,49.21580449424645,76.67381854099546,145.34456636198382,92.57963263251685,132.96741517545956,104.71689628456721,17.573141380756983,135.18109226145737,67.06771467402571,40.42781512020761,8.569903331295183,108.65909062443446,15.864507090583048,33.17754076071115,21.159449345518798,21.763173756229474,63.04724899269089,72.20720840632191,57.96094028505266,147.28394949158107,176.22371058844973,20.724387935384875,104.89165560648944,16.86805970943773,177.11137660436194,63.68101952786528,143.5374847407676,20.757135316508528,125.85620295987987,71.21109839385447,81.8048925921008,189.24448891006315,188.26789181632375,107.13483676399956,34.68092944463921,68.6279101680887,32.103556486250795,72.93838529177312,66.97186039075318,75.35344885266225,22.916739716028975,246.86019165378838,94.730226656811,67.20704385997048,186.74615622854415,2.507576683997008,90.68882102015033,251.65762448129115,84.48635245805492,114.47742046449099,93.92885643535769,32.311516354056764,26.45349774119408,12.601262702398278,108.8825569827561,27.73090025942364,82.42767240016154,76.51183160142692,32.53168910412827,161.28909001546808,497.829051278747
AOI4 Absolute Saccade Angles,56.26757617671141,-39.964253824276106,170.21978842105142,-2.2960898686116673,-168.53676767571994,55.23039698479708,-159.17265038760735,161.12902606827555,-16.568067129732345,150.679501857197,131.13533760009858,-167.3384943065798,-1.5290202033352283,-179.28977617071726,-1.6630844051057794,176.7591173262619,-176.46949036704729,6.035979562877157,-167.92008568641714,148.55362495266314,83.3200561288124,-142.7082642625809,-47.35846741511201,8.693490509634504,-164.41060251971132,-10.298153720554275,163.9254426698241,61.66588188861549,-3.236925968157721,-19.098182503361343,-179.84790742200875,23.39515654415788,-33.79472011439185,178.7492843666393,-99.00119371292823,1.7637710819801868,143.04495529456494,179.14647636473148,-170.31747090058354,-61.41441386327181,58.41661452325713,-27.318502859462164,-166.59616279079378,16.322797010727502,-60.868041188476525,153.79186402325965,159.23891521506692,157.85267545832852,-17.458331523552914,148.66564803698216,-10.214262388065553,-178.7074040899505,171.22334198636577,167.40000374090303,-153.5297570934061,-1.7049377638569922,141.38713166342134,-4.041385608113174,-10.27185825099692,179.29610763870397,170.18864626665217,-1.2534449248879949,-51.918663712410684,-130.37938330337673,173.85271834095238,63.40637108387169,157.5251972161947,-44.76816727622169,-122.71793826253679,1.3904663975925675,-19.9472362200452,130.10056317456758,-19.506066062889968,164.70255153932484,-114.08211423186678,158.636660905103,-114.89931287123996,-7.048224943530824,-37.87048521728539,167.01939501079542,-136.79618301677306,14.426587220720338,9.275674819388954,-163.99585801194772,-169.79771539324713,15.128272081886914,-1.8293783770188803,148.8914446020331,-96.92298952456416,-173.8495704730067,56.32059929646227,10.21980384009268,-163.80232821527122,-98.13978878542206,167.54861686944636,-59.25962318277842,125.42003774852576,5.575065156371586,-125.470853726826,175.09017949652767,-0.4165803422708269,-146.86504947721428,176.26571358397553,174.03312336743767,-9.282122692260295,-99.17827498454633,4.367938314021302,29.76711261078454,-146.4701776100173,-143.3723970746826,163.355630779759,69.51753051333407,-169.49481388567924,-3.7114047943924433
AOI4 Relative Saccade Angles,83.76816999901249,30.184042245327504,7.484121710336932,13.75932219289175,43.767164660517004,34.40304737240443,140.3016764558829,2.3029068019920906,12.752431013070646,160.45583574290157,118.4738319066784,14.19052589675541,2.2392440326179748,2.3733082343885257,1.5777982686323349,173.2286076933092,2.5054699299244416,6.0439347507057,136.4737106390803,114.76643117614924,46.02832039139331,84.65020315253112,123.94804207525348,6.895906970654205,25.88755120084299,5.776403609621619,77.74043921879138,115.09719214322679,164.1387434647964,19.250275081352612,23.243063966166613,122.81012334145026,32.54400448103112,97.75047807956749,79.23503520509159,38.71881578741526,143.8984789298335,169.463947265315,71.09694296268827,60.16897161347105,94.26488261728069,40.72234006866838,2.9189598015212845,102.80916180079599,34.65990521173617,174.55294880819272,178.6137602432616,4.688993018118575,13.876020439464952,21.12008957495231,11.506858298115047,169.93074607631627,176.17666175453726,140.92976083430912,28.1751806704509,36.90793057272166,34.57148272846549,173.76952735711626,9.567965889700867,170.89253862794826,8.557908808459842,129.3347812124773,101.53928040903398,124.23210164432908,69.55365274291931,85.881173867677,22.293364492416366,102.05022901368491,55.891595339870655,158.66229738236223,29.95220060538723,30.39337076254246,4.208617602214803,98.78466577119164,92.71877513696978,93.53597377634294,72.14891207229087,149.17773972624542,24.889880228080795,123.81557802756844,28.777229762506614,174.8490875986686,6.728467168663339,174.1981426187006,4.92598747513403,163.0423495410942,29.27917702094805,65.8144341265972,103.07341905155745,50.170169769468984,133.89920454363045,5.977867944636097,114.33746057015082,85.68840565486839,46.808240052224775,4.679660931304176,60.155027407845836,48.95408111680243,120.56103322335363,4.4932401612015145,33.55153086505656,143.13076306118975,177.7674097834622,3.315246059697973,90.10384770771398,76.45378670143238,154.60082570323675,3.7627097791981634,176.9022194646653,126.72802785444158,86.16189973357508,59.01234439901329,14.216590908713233,
