,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
AOI1 Saccade Lengths,21.989467948893996,346.62287388377,103.30585383672954,120.14197599567582,14.139247027180208,4.940715657753244,54.39545039249705,141.50640327564668,96.23561770769454,252.0306486434834,39.55055032661805,38.370602069646274,57.560157563347886,106.81624622294594,102.26869972949955,191.38390916452428
AOI1 Absolute Saccade Angles,98.81697487308091,-1.8744638655642598,-165.64591354065823,20.461009246062282,-169.94448469082903,133.23018309461668,-16.137250483270556,172.73062822964954,179.65583833210843,-3.0303756172174032,-119.02478769186517,48.20418850738828,168.72434034765564,177.11218372538107,-165.9669852214845,6.199224764107156
AOI1 Relative Saccade Angles,79.30856126135485,16.22855032490605,6.106922786720496,10.405493936891308,123.17466778544569,30.63256642211278,8.867878712920094,173.0747898975411,2.686213949325834,64.00558792535226,12.771023800746567,59.47984815973261,171.6121566222746,163.07916894686556,7.833790014408366,
