,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
AOI1 Saccade Lengths,452.70877388856854,106.1296090303493,70.27363156367667,41.13063091255024,15.437219241233032,59.06850064123974,28.13167899890675,16.127993344640885,41.93652361750403,12.790843139093088,62.42491901786557,132.23873785789795,383.5098224258321,61.46984153055564,134.45268810789426,71.20259806061367,72.167215134667
AOI1 Absolute Saccade Angles,177.31264173273996,-136.11539672584905,-0.2690877947076979,106.35279304452003,117.36541657777248,10.137251620943317,-0.36318291090269444,3.8967777688483367,6.941662688221834,-151.85824610860257,6.892911938405371,0.4675724456549271,-179.46287674393093,-13.210740471122595,-2.7481596410440288,-49.10604979909005,40.580573802209265
AOI1 Relative Saccade Angles,133.428038458589,44.15369106885866,73.37811916077229,168.98737646674755,72.77183504317084,169.49956546815397,175.74003932024897,176.9551150806265,21.2000912031756,21.24884195299206,173.57466050724955,0.06955081041415266,13.747863727191675,169.53741916992144,133.64210984195395,90.31337639870067,
