,0,1,2,3,4,5,6,7,8,9,10
AOI6 Saccade Lengths,108.84696930058219,248.5641761317014,93.86843419306747,14.305727644088227,131.4815855118692,36.385234777606236,35.82848004076741,23.049703736952193,60.5572324151089,79.19040317992666,8.809064044616685
AOI6 Absolute Saccade Angles,-172.6951156667051,-6.049672885672515,-171.39344823407973,-172.8789905643896,179.2255288749493,83.9877687013143,94.54159490296433,-123.03508328886313,-84.03436087270863,157.97546462776816,-36.49053934698351
AOI6 Relative Saccade Angles,13.354557218967427,14.656224651592801,178.51445766969013,172.1045194393389,84.76223982636499,169.44617379834997,37.576678191827455,140.99927758384553,62.0098255004768,14.466003974751667,
