,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169
AOI3 Saccade Lengths,67.27499630797458,66.01529361581161,82.66097070477942,63.56311603718336,44.54079639827319,246.7920715822125,27.854888599780086,182.17881871220675,49.689748038915404,70.81873871683224,8.877621617598562,82.78154773125821,51.86237265361394,310.9803657650968,170.30799774755147,166.4604051883511,91.80755945559761,93.96561043487958,61.61419668867406,37.82637640251948,80.37769284329518,65.65862996869039,30.97065422278459,69.57934310686913,159.41718403429368,77.0555663447848,503.58213394739676,305.24442979811647,54.92527194005369,21.55683134337486,77.7528799788528,54.516745570408496,81.33372942758116,27.752638643931263,121.15318181279817,69.6570527983306,88.81682709463821,59.909870237062634,25.997776850256976,56.97075866548509,34.81688316320726,121.08310881042011,35.32370706127025,61.45787735194449,26.373797347129088,87.78560356509776,21.296722274825317,46.50516270661831,5.577418358406279,60.57025615399477,23.635929940306575,18.496225570609443,59.20936773380384,192.829321902478,71.29503488508864,30.152847334651465,23.450607103374814,60.0257879762898,220.71586530343163,28.407033108420983,120.21200062832911,39.39961808841846,23.074928069179997,205.99091021521528,63.56858116489286,72.03674335908825,78.07715347378377,281.63353502170173,116.72072156359957,32.591536083187826,54.97811612525579,15.507030206743941,46.09610204485335,34.31215217709059,168.89527583812355,68.86381449666865,62.62102360547675,49.50457958693669,30.609158512750316,111.25083099643442,42.745970403400484,18.408537111437713,37.68724630989916,28.74656048472334,23.0786877475232,67.17582312527757,32.252229299308304,27.147050567003685,44.785169214668876,34.75691156883654,157.66323046719305,54.106235625890136,121.97216179719979,14.251377292552457,129.17630127144182,98.1285928049912,55.24531947277987,62.62337393695395,36.4314068301989,96.07501073623368,147.3195818737156,30.275011887628843,562.0187241840612,241.42279737262916,35.52570953090023,50.26513992659441,71.62235296035458,162.73711783494292,83.78867386728157,288.44739790322205,418.96511125227977,313.38691288202995,47.868277851073216,60.83994043777813,63.18049579321728,44.90664192910699,58.7366329051654,127.0995586143356,61.43025065003596,91.7443687413344,243.39680625797007,147.18261636759217,67.58600445117331,164.61109715985322,57.69803153169599,145.48272359089364,138.1690572728032,78.6654266726474,276.9649938268286,87.85510885123824,109.98697406021105,91.61899504453591,110.49524730107146,118.88380117491316,25.935763350852255,52.087319770497906,102.53617605176447,82.15493042292114,77.26374781144702,49.12027605296474,10.736542321961457,48.589409118824,61.48151480848532,186.8872566417274,91.8511571678702,157.2452034145086,87.51367278586719,59.92044433737705,46.92627705039744,46.24902209631804,13.84645919659056,170.28265195929055,68.5202298724904,90.25427318216893,49.955926634932,42.74344192157914,160.2935224346055,21.593167414908077,33.225245769017896,44.49311591929535,46.37329172185714,10.806633609791708,12.945098248468685,31.922882090537513,70.14373834526612,92.33068411915595,49.78243740008453,159.81562922319634,35.01131787165493,56.62714232008977
AOI3 Absolute Saccade Angles,-115.64650459343062,140.10835374882603,176.17351803894113,157.82228929615877,-18.27608350545422,-4.575920975200507,-76.719808895024,175.40582236146446,175.16305095905787,-152.5773178438236,42.17703939738951,37.44380812271115,-25.384185012486057,-176.7181332716975,-1.9139827274331591,19.400533744895096,-24.686064081143204,150.43524890309442,-124.14055894412492,-145.6212777025407,33.98890389065276,-16.53129064314304,93.12137226552989,165.57738331868254,-5.194723230592643,-170.59237884139924,177.86174913363254,-3.2517088377669223,28.769943642096226,-17.61020176384706,179.93273295767557,4.845599910127313,-109.46227284748069,100.17471233035234,-11.093372823221031,153.78585662648788,17.32082922492062,-49.2152861343886,140.84501888192423,-164.54519414201877,95.65213006374152,-172.24900253157045,-37.04069676606382,12.36978458805646,149.14908115201433,-151.00258148994362,23.357026307470402,105.71999219740512,40.976762374730406,7.857528518788293,157.0890870979965,-147.79414179126212,-73.02988072572884,-1.5772820386106279,14.39117999619067,31.716655368950185,-169.74529650981924,-11.120623532755355,177.84158249632162,-141.46286905911873,-178.52824368187612,83.52067297802158,23.345747276586962,172.9271574795229,-18.955825316041555,-133.45147614203705,7.570522019517307,5.45824621176728,-179.88384838867088,-93.3500350770734,164.959604011332,-51.57463460312093,150.02931959056943,129.452472245808,-5.216287266901627,153.34773695432528,-154.90387991014597,-163.00418477956725,-152.48910486332403,-2.7026018330024697,89.80688638478858,-162.02059029930527,-166.7913739607722,5.169897305994994,-64.17283057108348,19.73940845789102,-139.9834982641175,45.731504646520705,139.18459974142175,-157.32186769211805,-15.424800901249032,82.44259194217159,-7.162821953400363,70.08105803052298,-166.2748766168096,176.75643019685353,-16.33232281121514,-160.39525010975441,-11.302932673816464,174.69416899279457,159.05239650528827,153.4477689780913,-0.670170132245143,-170.5457485021436,-47.36487746736705,75.06352092880506,13.677976552770177,178.51037356353606,-140.39469129810632,1.9666965034155242,177.61668586253361,-9.055351793999227,41.001135270011275,134.77485160742458,-140.85999972567595,-35.81131569883845,130.06711471904512,-176.8760208889957,-148.11927484622106,174.59534099178094,6.306162068544963,-167.882740266178,117.19829636555788,-8.580324810826406,-129.65504709320328,170.77012324568233,17.99138505475945,-66.33047363251059,177.10685102149472,4.127362505718898,7.203860684787354,23.183414071090564,-160.15332538117107,-173.8187719070989,145.27088826876,-166.4245632862222,-11.330748524885317,11.636048785161332,-17.92551374070868,169.24146926101375,-80.33105473562371,155.2234719139851,102.83455272472402,-6.901700335485722,-178.99256089503484,171.0206403769864,-30.71552088901456,31.46646226034585,-54.041813344203575,-20.728991391474466,-163.64817150328648,168.0167441018357,161.56038571873353,-3.895096834573404,-97.35853713733712,18.073308764763702,164.47603486408588,41.27284496891323,-124.57947463687452,-57.78300697669516,71.13274757623792,158.3149035737004,49.993353553756485,-129.84882274116853,1.5788518325914462,-161.73550448329908,25.21481739272252,6.452879443356455,174.6837299217572,177.92558561141684
AOI3 Relative Saccade Angles,75.7548583422566,143.93483570988485,161.64877125721765,3.901627198387004,166.29983746974628,107.85611208017649,72.12563125648845,179.75722859759344,147.74036880288145,14.754357241213121,175.26676872532164,117.1720068648028,28.666051740788582,5.195849455735686,158.68548352767172,135.9134021739617,4.878687015762372,94.57580784721934,158.51928124158422,0.3898184068065569,129.4798054662042,70.34733709132706,107.54398894684735,9.227893450724824,14.602344389193433,168.45412797503175,1.1134579713994797,147.97834752013685,133.6198545940567,17.542934721522588,4.912866952451783,65.692127242392,29.636985177833022,68.73191484642663,15.120770550291065,43.53497259843272,113.46388464069078,10.060305016312824,125.39021302394298,80.19732420576027,87.90113259531198,44.79169423449337,130.58951864587974,43.220703436042115,120.15166264195793,5.6403922025860025,97.6370341100653,115.2567701773253,146.8807661440579,30.768441420791813,124.8832288892586,105.23573893446672,108.54740131288177,164.0315379651987,162.6745246272405,21.461951878769405,21.375327022936137,8.962206029076953,139.30445155544032,142.93462537724258,82.04891665989769,119.82507429856537,30.418589797064087,11.882982795564429,65.5043491740045,38.97800183844564,177.88772419224998,5.34209460043813,93.46618668840253,78.30963908840539,36.53423861445293,21.60395419369035,159.4231526552386,45.33124048729035,21.435975778773095,128.25161686447126,171.89969513057875,169.48492008375678,30.213496969678445,87.49051178220894,71.82747668409385,175.22921633853306,8.038728733232805,110.65727212292151,96.08776097102552,20.27709327799153,5.715002910638156,86.54690490509898,116.50646743353977,38.102933209130995,82.13260715657937,90.39458610442804,102.75612001607665,56.35593464733259,163.03130681366312,13.088753008068656,35.93707270146073,30.907682564062053,5.997101666611034,164.35822751249367,174.39537247280305,25.88206088966356,10.124421630101564,56.81912896522348,57.571601603827894,118.61445562396511,15.167602989234144,138.90506486164236,37.63861219847816,4.350010640881919,6.67203765653283,129.9435129359895,86.22628366258672,95.63485133310047,74.95131597316251,14.121569582116416,126.9431356080408,151.24325395722536,142.71461583800198,11.710821076764034,5.811097665277054,105.08103663173586,54.22137882361572,58.92527771762316,120.42517033888555,27.221261809077134,95.67814131272998,63.43732465400532,7.020511484224161,176.92350182093156,164.02044661369678,3.3367394522616274,166.3345534740722,139.08966017585882,131.69545155498216,24.906185238663124,157.03320268995336,150.43843747412998,7.166983001722402,69.57252399663744,55.554526649608796,127.61108081073894,70.26374693979027,7.9091394404508595,170.01320127202126,21.73616126600096,117.81801685063961,94.49172439545059,146.6871780472709,37.08081988818802,151.6649156051222,173.5436416168978,14.544517446693073,86.53655969723629,64.56815409789918,33.597273900677834,56.796810104827365,14.147680394212262,113.20353233982065,51.08424544706692,92.81784400253754,71.67844998005609,0.15782370507498764,48.57232542624002,16.685643684109486,6.950321876021582,161.23806205063394,11.769149521599267,176.75814431034033,
