,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
AOI4 Saccade Lengths,104.00022319143187,134.78844721474138,79.92535564083394,146.58050541105683,31.329671682310206,52.93276708881732,133.53277357504706,59.3208856751716,32.13525989170149,106.47170804213306,29.487635685933,72.30641235795234,32.47315666313181,47.12614547093202,32.03992876691554,33.25195961005713,99.54898900300728,165.18041552495774,269.49246224771184,227.84856658913034,91.74862020937924,119.53880040455684,51.94822710475498,4.152593606141303,34.98058151230815,74.50227873038496,23.779336786989365,69.26381530884834,48.277282699579914,41.98248837027813,84.20881853225912,258.2468863754352,214.19234061730728,186.79097328052137,55.324887620316446,58.181129003825475,334.9925568818422,318.4917202949403,135.41821044618052,36.15985369114232,242.43004978053955,97.745797128357,30.086557397004427,219.7842985836391,165.88262790955014,140.93461427346654,104.22836252977164,56.65273089028446,16.110790807015757,42.004725488291164,117.09968159865518,113.8178516995707,85.87384558193021,216.55769770937414,118.26034795850236,144.56319188929328,138.67823958945664,120.26083003714838,74.1478015712943,10.418990618848978,29.704650196165307,26.915282418789225,12.375500009990278,30.102997549528165,38.420421668222474,61.439747498512155,7.698937635061209,87.24286406618853,81.35598875766364,160.11774765452944,30.03866055283637,35.178768930442374,102.73391913480421,24.042501649774035,62.761190128804664,179.37680273254009,73.83936402141607,32.51571964417762,53.062420679029344,132.1080427043626
AOI4 Absolute Saccade Angles,162.18008551545657,11.761533168998177,-113.94576760408164,3.726159535923969,144.8992641312145,27.228057763545397,-163.2182441925878,69.76276825136512,174.55487136851764,-161.71702277605962,-35.3711218515898,10.87816296617399,-19.16146225402428,-28.920622738640002,95.9646707168854,-106.00419541777887,12.42538228912289,168.30546523034906,179.68665274078177,-14.324161647443185,149.80362041895262,9.533661006343655,-1.6971437978842876,74.64515457980968,-152.89707464062556,-172.0751657485817,171.85526317797638,-28.195600817976544,25.992266717115136,77.91710620703664,-66.06565914909558,1.2126868349454285,170.1198482198787,-171.8092349466732,107.72335519886056,-96.4544848118977,1.1137999220382198,173.78920455066006,-170.25731795282985,-164.18284509341083,-4.3619994984533745,-0.8025177922381247,70.73272792319688,-175.2006751594648,-3.672866983905124,179.2960910864018,142.21675915338125,-36.510520888970895,153.5774548567312,56.48365311960527,-38.313668305753616,162.6350754801574,164.06861088328574,-8.965106371604161,-1.8406717021038683,158.30728095926833,179.05392315111308,-144.99185282255831,162.5115546335152,-93.54402608881927,-29.44280383324229,87.76395050661739,-129.92800982331278,19.97807661447393,-35.778386286582766,-5.193597104496305,-43.48455118144742,59.23021334923243,-163.60821835365323,-18.255776653917152,94.27107404927676,126.98110742187995,-159.88193061355398,-174.45138380341433,-167.46471646722418,1.277767155135876,37.00416052993493,-41.68821854746598,-165.64032315019432,-172.13953819802663
AOI4 Relative Saccade Angles,29.581447653541627,54.29269922692018,62.328072859994386,38.82689540470947,62.3287936323309,10.4463019561332,52.98101244395293,75.2078968828475,156.2718941445772,53.65409907553017,133.75071518223623,149.96037477980175,170.24083951538427,55.11470654447461,21.968866134664257,61.57042229309825,24.119917058773844,168.61881248956726,14.010814388224963,15.872217933604196,39.73004058739104,168.76919519577206,103.657701622306,47.542229220435246,160.82190889204384,163.93042892655808,20.05086399595293,125.81213246490833,128.07516051007852,36.01723464386777,112.72165401595899,11.092838615066718,161.92908316655186,99.53259014553372,24.177840010758235,82.43171526606409,7.32459537137818,164.04652250348988,173.92552714058104,20.17915440504253,176.44051829378478,108.46475428456499,65.93340308266166,8.472191824440344,2.968958070306899,142.92066806697946,1.2727199576478503,10.087975745702098,82.90619826287409,85.20267857464111,20.948743785911013,178.56646459687167,6.966282745110101,172.8755653304997,19.852047338627806,159.25335780815527,144.04577597367134,127.50340745607349,76.05558072233445,115.89877774442303,62.793245660140315,37.69196032993018,30.09391356221328,124.24353709894332,149.41521081791353,141.70904592304888,77.28523546932014,42.838431702885664,34.647558300263924,67.4731492968061,147.28996662739678,106.86303803543392,165.43054681013967,173.01333266380985,11.25751637763995,144.27360662520093,101.30762092259909,56.047895397271695,173.5007849521677,
