,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117
AOI4 Saccade Lengths,93.06287997565914,18.788311659380692,97.39561012241867,51.03050048397662,65.38957357944093,167.59660804246252,63.11534095587101,51.18628240166124,219.33195997485134,76.74757668948412,93.2870834508833,34.76950990766481,71.94902405700104,95.0824900170288,38.165828090198936,38.56031961021143,84.93359126911976,32.005944711088596,4.528947296606929,49.42350613802267,63.1436174339606,61.03215391420774,18.874432854704075,21.33753213103426,42.12809205535784,27.72924107430969,86.60994620445577,45.53934145037255,44.26103355166963,95.16675840722831,207.77776006308994,57.698698108160634,66.92954948509599,77.80013886751054,35.565711533811815,144.8108870085607,167.5465126727103,73.41099191551922,83.64115519670699,126.66126680709402,20.718144874794184,35.417979330882225,55.229120045172465,49.78309050728556,36.78680226061615,97.40237330988022,85.41650539123766,152.4965114977058,240.80361236552832,174.5705216995068,37.36638508352271,167.99838092537948,30.28534774757605,64.02561239246941,78.9109181159014,48.59820133351383,22.04394845643933,48.92305377458558,133.2054760156811,49.34651369702728,104.90013445607153,47.20318976519161,15.648144042356856,103.25241156568386,7.856378222421613,57.775790000879745,30.950428316371777,190.8324203840746,55.96049961186701,8.06283518042995,294.3264700775073,42.93902018143658,42.77683751649058,79.44365796797513,102.02849702965851,35.463253935688584,157.69012972374102,88.37082242715725,75.89834571480654,62.26080594253314,186.1609211180599,72.56766610187091,137.25636796170403,77.03731143228616,191.82957290907504,72.0107873143485,76.14709413989685,111.25034552301977,21.00505840120709,207.69064738786588,194.0873429909743,137.83107401637042,40.08137007806208,138.2555076815146,41.91305550183526,33.031484466471454,35.91638603886164,34.09443452504068,27.31439807586736,78.51429966037634,175.2293822427048,417.45428896923676,194.95377384256662,31.70567654563144,189.92411200490702,99.01720152530744,187.8303647705326,70.3589390770813,113.40638393681564,185.31290973508086,35.711166914650185,29.521158972947372,35.814004051022295,175.71098511026975,143.06026588153136,103.28881632162954,76.522734746956,79.00367296421982
AOI4 Absolute Saccade Angles,-61.27209782563072,58.46919506155808,161.0603802681791,148.0723505267703,-126.92105817295904,13.20734018221388,174.85420588609733,-87.76314409824258,177.41683617021866,11.561872531255878,-2.6527189287680355,24.498798259180997,-25.57875313448713,175.15625851281587,95.73770038475033,-136.44507953102723,170.50171768219954,156.59103376305538,48.575667394262815,7.516636863825599,-80.2662091961718,82.45980312790864,-106.63220608588497,167.50693268422754,-119.26893842527299,13.746282639845154,6.635679934030313,178.1804748594994,-146.77125326616294,153.5147736743071,-3.670837829231662,30.210823268344086,-65.99108057046047,-170.30300131192584,66.91483033259661,-168.29274226994718,9.237270426161814,165.14424843247534,158.94452930740997,-22.319485004462706,-136.59671527417038,-154.0410237889738,69.71870786738415,10.464747966570437,-66.05422033137224,156.76633715196698,-157.97811699807517,-8.51101172125937,167.82925682048187,-17.065582175917818,136.7500401815306,175.5960668153583,11.830213549468441,-43.679591260143965,-172.38896473471064,20.069241887488516,126.86719785306224,-43.895352037714375,29.612280149344482,-167.38060403559243,-169.17431129022165,-126.0584137267493,173.62702325559457,166.68842885766196,68.91732749549068,13.824754168316472,-10.317044111543527,0.26315488317633046,-49.075500305047925,14.411827200443764,178.25391663422758,130.76824697408227,-73.78414266537327,1.1581895118702183,140.8055613871584,-162.38997955138714,-15.94066238704583,34.03497601448276,-143.05639624856076,-16.754627322312018,158.81839146355318,-140.64668482636466,4.128661005486488,30.386960476913195,-170.20297273440343,8.927698103263284,-34.259972757675655,42.50510708765129,4.237024592044822,-165.2535804869922,-4.664159885642645,161.48379372605717,-50.79876686909934,17.092955531788792,-103.65278552197191,-157.01956412624835,-17.066509823266117,140.95837531370253,3.436217194201155,172.10618886836014,178.79957932873862,0.5543482252867901,-172.5427943431223,121.4095232100957,-6.810019887816574,154.22843944066761,-173.75383972416842,-175.46733882228688,4.180661065851374,-1.8146924542217675,144.7785225364293,-113.37743553580088,94.67095698448809,-161.56384566171718,-3.2598570321886924,145.84682673196474,-153.58579426684963,39.32415501022203
AOI4 Relative Saccade Angles,60.25870711281119,77.40881479337901,167.01197025859122,94.99340869972936,39.87160164482706,18.353134296116554,82.6173499843399,85.17998026846122,14.145036361037226,165.7854085399761,152.84848281205095,129.9224486063319,20.735011647302986,100.58144187193446,52.18277991577754,126.94679721322674,166.0893160808558,71.98463363120744,138.9409694695628,92.2171539400026,17.273987675919557,9.092009213793615,94.13913877011251,106.77587110950053,46.98477893488187,172.88939729418516,8.455205074530916,144.9517281256623,120.28602694047001,22.814388496461245,146.11833890242423,83.79809616119545,75.68807925853463,57.217831644522455,55.20757260254377,2.4699873038910223,24.093021993686484,173.80028087493466,1.264014311872656,65.72276973029236,162.55569148519658,43.75973165635795,120.74604009918626,103.48103170205732,42.820557483339186,134.7444541500421,30.532894723184224,3.6597314582587637,4.894838996399685,26.18437764255157,141.1539733661723,16.234146734110134,124.49019519038761,51.29062652543333,12.458206622199144,73.20204403442628,9.237450109223406,106.49236781294115,16.99288418493688,178.20629274537077,136.88410243652763,119.68543698234386,173.0614056020674,82.22889863782875,124.9074266728258,155.85820172013996,169.41980100528014,130.66134481177573,116.51267249450831,16.15791056621618,132.5143303398547,24.552389639455527,105.05766782275651,40.35262812471183,123.19554093854553,33.5506828356587,130.02436159847142,2.9086277369564915,53.698231073751266,4.426981214134798,119.46507628991786,35.22465416814885,153.7417005285733,20.589933211316605,0.8693291623333063,136.81232913906106,103.23492015467305,141.73191750439352,10.509394920962974,19.41057939865044,13.852046388300202,32.2825605951565,112.10827759911187,59.254258946239304,126.63322139572355,40.04694569701777,21.97511486303135,42.47784188049862,11.330028325841022,173.3066095396215,1.7547688965481851,6.902857431590932,113.95231755321795,51.780456902087735,18.961540671515806,147.98227916483603,178.28650090188157,0.35200011186178515,174.00464647992686,33.40678500934892,78.15595807223018,28.048392520288953,76.23480264620527,21.696011370471517,30.89331623584658,119.43262099881434,12.909949277071648,
