,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
AOI2 Saccade Lengths,188.68644910844117,190.56603024960452,288.02145934958656,199.4065354700147,440.11734486762566,146.55552877779533,326.8703934952098,98.99616625206308,16.493800284416913,99.20722911702886,117.84309177661673,99.23758225153168,52.51707721623719,85.24967075937566,57.73072073679097,49.63704726931077,134.58820170299612,208.4139095564645,26.277753275862224,435.90343096271823,168.07533291984078,247.4170220219813,60.99402250306847,101.43932400019146,31.278321488090278,40.61978205214897,34.03330863103443,100.06373104699468,275.3376042711143,53.555467794161196,501.3284696656979,87.76440041688622,206.68944525445326,9.39878836230081,64.27228830397993,243.89213579297137
AOI2 Absolute Saccade Angles,-166.99312561519122,1.59745478102256,-178.102305248063,-178.24905681266165,6.041376752118256,-20.393603996142136,173.41232723237806,-151.9160947709542,178.32148836255956,20.921983568815214,-174.65442962233055,169.60120053696096,10.529858314720958,-44.33314600461383,87.69290287211706,-25.136468099958673,18.29580032343635,-9.046673614608121,-9.485592626829254,177.29255894146328,0.3937056909343187,-177.52704441908838,-23.231641393657636,5.7188693527173,-56.94433699900195,170.91976787214173,134.92648714520504,167.55641839607938,179.90924739315636,-52.85145695562642,-1.1730195133827308,170.33124432733808,8.444824738235038,-117.67895073991718,-162.16767314125212,-177.88467792289745
AOI2 Relative Saccade Angles,11.409419603786231,0.3002399709144458,179.85324843540133,4.290433564779903,153.5650192517396,13.805931228520203,145.32842200333226,150.2375831335138,22.600495206255648,15.576413191145758,164.25563015929146,20.928657777760023,125.13699568066521,47.97395112326912,67.17062902792426,136.56773157660498,152.65752606195554,179.56108098777887,6.778151568292524,3.1011467494710487,2.0792498899773095,25.704596974569267,151.04948925362507,117.33679364828076,47.864104871143674,144.0067192730633,147.3700687491257,167.64717100292302,52.76070434878276,128.32156255775632,8.495736159279192,18.11358041089696,53.8762245218478,135.51127759866503,164.28299521835464,
